"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
13103	0	43876	75868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																137111	0	139458								
13251		356	0																																	1142	0	963								
13457		0	0																																	279	0	2315								
14155		20583	2828																																	2863	0	6966								
14650		0	0																																	506	0	174								
14753		0	0																																	572	0	6379								
14865		7888	12376																																	43512	0	95033								
14977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																111	0	6831								
16551		6384	5807																																	6028	0	719								
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																15281	0	148396								
17147	0	46808	501322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2370990	0	375203								
17259		641	13																																	0	0	509								
17950		4166	5056																																	10325	0	16740								
17978		14597	215																																	0	0	203								
18050		4763	10715																																	3691	0	7539								
18827		14805	75294																																	126938	0	13025								
18836		2194	5313																																	1491	0	4865								
18854	602	36281	92762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																39650	0	14543								
19356		477	2540																																	6451	0	278								
19936		251	3763																																	11459	0	6887								
19972		479	0																																	0	0	0								
20053		1843	566																																	5732	0	5900								
20633		2278	2666																																	3375	0	1867								
20857		134	4503																																	13325	0	65257								
21256		0	0																																	84	0	3								
21359		2	510																																	633	0	2546								
21658	0	0	6752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2813	0	4347								
22048		2827	12345																																	9582	0	4559								
22543		8729	1582																																	25134	0	1886								
22552		138	405																																	7608	0	6009								
22730		728	2692																																	3304	0	3047								
23456		4643	4050																																	3528	0	3678								
23504	981884	17564	421597	0	0	14916	0	0	0	0	0	0	14916	0	0	0	0	0	0	0																800663	0	26017								
23643		1329	4859																																	8202	0	1627								
23755		4117	3400																																	10070	0	741								
24006		5926	82910																																	122516	0	0								
24378		1064	1112																																	14	0	4								
24453		14046	9592																																	22950	0	4224								
24659		0	434																																	3827	0	3726								
24668		32473	12187																																	384361	0	46028								
24949		1163	9556																																	23239	0	5708								
25357		4549	12040																																	3676	0	24631								
25647	0	706	7761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4830	0	1884								
26457	0	507	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																37	0	2808								
26765		83116	409252																																	186388	0	32574								
27070		1353	9859																																	21732	0	6873								
27548		6440	50303																																	130609	0	43586								
27614		1042	2870																																	6149	0	15379								
27847		11380	12877																																	7012	0	539								
28013	0	6034	122869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																72681	0	30084								
28152	0	1648	4030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																9877	0	6513								
28675	0	1819	3675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																5304	0	3271								
28732		8594	292																																	3100	0	1860								
29476		74	2935																																	2182	0	422								
29636		16211	62754																																	22381	0	8522								
29878	0	2714	38085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	16185								
30052		3597	379																																	17	0	0								
30502		5963	27300																																	24663	0	32587								
30650		8605	3934																																	8771	0	1202								
30810																																														
31134	0	2581	2096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4036	0	5098								
31255	0	14863	31951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																38507	5706	1153								
31657		1414	0																																	2379	0	3250								
31826	0	2879	13762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1162	0	17013								
31835		0	0																																	3212	0	14480								
32234		687	2959																																	8042	0	1601								
32766		3277	18990																																	2357	0	1388								
32971		15222	3245																																	6270	0	5470								
33147		1043	2946																																	12819	0	20202								
33259		22534	74116																																	44516	0	12540								
33268		2572	2787																																	2263	0	3716								
33370		446	77																																	0	0	0								
33839		0	0																																	197	0	1193								
33857	0	49562	9444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																55379	0	83994								
34434		6671	5244																																	5742	0	20452								
34537	0	144432	159234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																434716	0	624700								
34555	0	4199	13542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4893	0	7757								
34742		60862	13998																																	10488	0	6126								
35057	3000	2119	1854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2159	0	9882								
35301																																														
35570	3889500	437606	420968	0	0	33518	0	0	0	0	0	0	0	33518	0	0	0	0	0	0	292	14892	0	0	0	0	0	0	0	0	0	0				810085	0	708159								
35646		542	0																																	2573	0	0								
35879		1237	281																																	0	0	8678								
36456		0	0																																	1291	0	9029								
36933		11538	9239																																	2023	0	1981								
37051		1101	1236																																	2296	0	9884								
37341		0	0																																	915	0	1513								
37435		76274	64237																																	18958	0	9784								
37640	0	29503	142632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																288178	0	182112								
37659	0	4	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																913	0	156								
37949		0	0																																	0	0	21523								
38740		2675	8780																																	5658	0	2360								
39327		17055	35438																																	17184	0	25950								
39756	11875	23530	8392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																82247	0	49953								
40033		0	186																																	617	0	114								
40499	0	31394	269785	0	0	78224	61283	0	0	15510	62714	0	0	0	0	12120	49163	0	0	0																145694	0	252192								
40855		1458	416																																	2689	0	1881								
41553		0	0																																	172	0	1178								
41629		403	5334																																	4263	10000	4720								
41825		11201	41073																																	106582	0	6692								
41955		0	0																																	6978	0	0								
42037		0	0																																	1455	0	0								
42354		688	1681																																	2848	0	2711								
42372		19818	266																																	456	0	16309								
42420	0	140850	340153	0	0	214736	0	90539	0	0	7500	2185	138580	66471	0	0	0	0	59230	31309																708733	0	147113								
42448	149500	106312	107535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																56109	0	36296								
42457		4	445																																	639	0	9289								
43052		1465	0																																	11782	0	1764								
43351		17031	437																																	13087	0	14808			0					
43856		822	0																																	2050	0	63								
43959		5746	5991																																	4448	0	1963								
44040		1150	51																																	5812	0	20828								
44433	0	19508	13492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																7458	0	0								
44741		5626	22349																																	4576	0	4788								
44750		4521	3984																																	3875	0	136								
44929	0	0	2822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3012	0	2012								
45038	0	2972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																10727	0	4041								
45047		2347	0																																	1544	0	7445								
45056		177	189																																	3635	0	9475								
45430		2672	165																																	3	0	338								
45458		1089	5671																																	4560	0	14913								
45551		0	10524																																	0	0	231939								
45560	0	61648	122069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																105235	0	40130								
45775		1342	0																																	238	0	10118								
46053		167	60																																	4442	0	16037								
46941		393	4312																																	1430	0	6674								
47247	0	59726	1223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																25656	0	2797								
47256		1067	4																																	8	0	750								
47452		1172	202																																	1053	0	13								
47500		1475	7503																																	16494	0	18456								
48057		0	128																																	935	0	7614								
48150		231	0																																	119	0	2615								
48374		866	60753																																	35974	0	39234								
48440		0	0																																	8601	0	0				FHLB Pool (8026)	FHLB New (14578)	FHLB (17742)		
49054		3144	12108																																	3225	0	3177								
49148		6	0																																	5555	0	1753								
49241		14947	45331																																	62649	0	23837								
49652		0	6352																																	5575	0	9687								
49858		48206	808																																	1222	0	13								
49951		1621	3007																																	781	0	4917	Federal Home Loan Bank							
50144		133	0																																	1770	499	214								
50461	0	10278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																11675	0	192								
51253	0	5014	2988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																786	0	6468								
51356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	1175								
51459		133	4351																																	6320	0	31500								
51842	0	465	34815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																19310	0	22073								
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	0								
52951		321	556																																	2454	0	5115								
53051		0	115																																	3107	0	2627								
54058	0	4631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	35307								
54656	0	2921	59616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																23348	0	12493								
54973	0	119552	47630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																423080	0	205727								
55336		3593	6515																																	7368	0	4001								
55635		0	5615																																	2695	0	287								
55653		0	2132																																	5197	0	27								
55970		18985	25570																																	4843	0	10243								
56258		0	6438																																	22194	0	7905								
56351	0	93582	144061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																89136	3000	75149								
56548		1258	9429																																	1596	0	8442								
56717		1807	24989																																	33873	0	15327								
57040	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	8323								
57451		2472	13992																																	55918	0	4735								
58225		2857	5093																																	7748	0	1224								
58243	0	98234	143737	0	0	1917	0	0	1917	0	0	0	0	0	0	0	0	0	0	0																600478	40675	287421								
58355		1956	0																																	2872	0	1282								
58551		0	0																																	988	0	8788								
58636		20971	16596																																	4278	0	2671	17 million LOC with FHLB for MS Public Deposits							
58757		5859	6047																																	20824	0	23010								
58971	0	99114	432625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1333765	2087	436758								
59316		13212	77974																																	69169	0	18365								
59352		2030	7479																																	7456	0	11318								
59370		1795	3213																																	16276	0	6904								
59754		0	0																																	46	0	177								
60143																																														
60330	0	12349	20961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																53834	0	25991								
60545		401	425																																	7641	0	15918								
60554		0	0																																	1820	0	7544								
60648		2528	5891																																	5349	0	6617								
61122	0	24993	21291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																106498	0	5600								
61355		19406	40594																																	97405	0	4513								
61476		13635	15889																																	5226	0	41161								
61757	0	3487	11823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																23850	0	10176								
61832		5649	5945																																	7409	0	2233								
61953		4995	1526																																	198	0	543								
62044		392	125																																	505	0	139								
62110		0	0																																	0	0	0								
62147		1702	1830																																	310	0	1970								
63050		3472	37																																	1525	0	5827								
63069																																														
63201		803	77																																	8349	0	111								
63573		0	4125																																	1475	0	0								
63733	0	28762	18020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																22920	0	60635								
63742		6246	12043																																	59228	0	1523								
64150		3044	2429																																	5532	0	11022								
64552	10925	10073	9451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																7461	0	5988								
64730		7388	5812																																	7407	0	1725								
65205		3977	19270																																	3505	0	3908								
65513																																														
65559	0	12476	2292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																36343	0	39779								
65746	2792	25420	72780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																30408	0	15538								
65858		124331	163511																																	118192	0	102565								
66154		8401	11755																																	14096	0	30								
66275		1396	17983																																	25613	0	28839								
66677	0	8418	2781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	20538								
67142		7560	8950																																	947	0	1866								
67151		86136	74477																																	79452	0	9436								
67209		34505	141144																																	43058	0	17445								
67254		0	0																																	0	0	0								
67656	0	10470	69199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																9751	0	18108								
67870		5260	4335																																	3614	0	18								
68671		2159	0																																	0	0	0								
68756	0	26953	11120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																34916	0	48168								
68831		1538	1524																																	1983	0	6992								
69333	0	12134	39281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																172401	3401	5289								
69678		1658	18334																																	53674	0	28874								
70218	0	850	2950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																601	0	1652								
70414		1760	17211																																	19087	0	36984								
70638		2349	2214																																	2168	0	18459								
70955		0	0																																	0	0	881								
71073		1442	703																																	2704	0	36599								
71457		0	12546																																	9194	0	71696								
71859		0	0																																	219	0	0								
72258		481	1262																																	10000	0	9231								
72351		3	0																																	457	0	1003								
72454		443	100																																	6184	0	4446								
72678		5277	0																																	1631	0	3228								
73116		16483	22926																																	20962	0	75								
73152		0	0																																	244	0	4352								
73554		21	358																																	8711	0	28786								
73956		152	100																																	1971	0	397								
74056		233	31408																																	1581	0	26561								
74140	0	7488	19862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																146557	5000	79480								
74403	44250	15647	43289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																80641	0	17952								
74449		234	0																																	1	0	20								
75259		20174	14900																																	68213	0	48596								
75446		692	1751																																	9989	0	15063								
75455		0	0																																	32	0	270								
75633																																														
75651		0	0																																	1902	0	2802								
76153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																435	0	5244								
76443		8477	768																																	493	0	1562								
76854		2582	13681																																	18002	0	1655								
77150	0	251	2373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2332	0	7933								
77253		2256	5277																																	7027	0	13363								
77422		3307	7041																																	2000	8750	3827								
77851	0	20725	174944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																308194	16169	189803								
78157		0	258																																	54	0	335								
78241		435	128																																	2492	0	979								
78559		808	625																																	974	0	3071								
79042	0	18004	13652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																130	0	709								
79127		227	17																																	931	0	55								
79145		3136	8555																																	2064	0	4968								
79257		0	6																																	508	0	203								
79855		4126	3684																																	3712	0	6573								
80150		0	0																																	0	0	1108								
80374		2493	0																																	737	0	913								
80431		858	0																																	1405	0	439								
81175		7119	11371																																	18288	0	37548								
82033		4232	12610																																	2872	0	4704								
82257		0	0																																	1633	0	4918								
82350		0	13																																	857	0	558								
83151		6511	7565																																	16594	0	2768								
83236		0	2121																																	0	0	0								
83375		13366	92515																																	139404	0	31326								
83638																																														
83834		636	7139																																	7894	0	3834								
83852		0	105																																	1636	0	9335								
83955		442	502																																	4999	0	3889								
84046		0	0																																	1167	0	1699								
84541		9655	3901																																	46155	8800	65654								
84804		462	0																																	253	0	1620								
85052		0	1032																																	3434	0	170								
85472	1566630	129288	712672	0	0	50038	0	21847	0	0	0	0	50038	0	0	0	0	0	7706	14141	4410	23666	26546	0	0	0	0	0	0	0	26546	0				577867	0	131497								
85931		4045	1972																																	3879	0	1911								
86349		2124	1196																																	7184	0	1509								
86675		17932	12728																																	0	0	0								
87047		595	2883																																	657	0	582								
87159		130	5410																																	2510	0	4290								
87234		27481	24520																																	20838	0	17								
87476		165	546																																	0	0	0								
87579	0	7674	12892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1445	0	23348								
88231		107078	31232																																	13518	0	469								
88259		784	7																																	1691	0	7380								
88352	0	1004	3709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																9615	0	3365								
88455		2359	2451																																	19687	0	119463								
88950		343	2106																																	5859	0	2235								
89032		5724	513																																	4852	0	1474								
89135		3146	2891																																	3138	0	35								
89854		1233	2921																																	8146	0	17067								
89957		17131	3769																																	559	0	1388								
90047		150	0																																	83	0	1824								
90177		0	0																																	0	0	7841								
90328		5704	31670																																	13788	0	24275								
90337	27794	17958	35761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																48846	0	6042								
90579		5104	16738																																	4229	0	0								
91615	9150	0	0																																	0	0	15277	FHLB							
91754	0	6624	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																22630	0	17664								
91950		0	0																																	0	0	4373								
92144		0	0																																	0	0	4483								
92676	0	2833	34922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																55377	0	14793								
92706		5868	2511																																	3102	0	6745								
92902		0	0																																	0	0	0								
93244		5365	8100																																	6028	0	7309								
93543		5148	12247																																	17449	0	15142								
93619																																														
94139	130000	11646	8781																																	24841	0	10517								
94522		35021	22631																																	26933	0	11360								
94755		1194	781																																	2522	0	7298								
94858		3663	1117																																	1793	0	6345								
95051	0	958	1359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4538	0	4600								
95677		0	0																																	1023	0	248								
96553		666	205																																	2031	0	7758								
97055		23	121																																	7081	0	39594								
97279		43	152																																	1603	0	1683								
97457		2078	610																																	3841	0	6768								
97804		344	74690																																	78820	0	13511								
97943		4016	1182																																	14680	0	18450								
98351		6465	4282																																	173	0	471								
98463		872	3149																																	52363	0	38962								
98717	0	0	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	0								
99143		1440	3512																																	5337	0	10558								
99376	4309	0	679422	0	0	18576	0	0	0	0	0	0	0	18576	0	0	0	0	0	0																166669	158860	184				Commitments to purchase loans	Recourse on loans			
99442		3628	4769																																	12414	0	19483								
99536		27993	58116																																	15582	0	1249								
99853		0	100																																	104	0	170								
100236		15783	12800																																	9087	0	3921								
100357		17678	6942																																	35799	0	60578								
100562	0	25603	449864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																323005	0	194279								
100777		12577	0																																	9354	0	2217								
100843		1932	17051																																	3747	0	31909								
101019																																														
101037		47795	34744																																	28755	0	88248								
101439	0	258	4817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2946	0	4233								
101671	0	0	26919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																38805	0	17314								
101738		2406	93																																	11500	0	4761								
101952		883	0																																	10958	0	3692								
102333		306	86																																	55	0	0								
102342		5661	0																																	13582	0	50791								
102539		0	0																																	132	0	428								
102557		4558	0																																	9037	0	187								
102874	0	5109	7558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1094	0	4934								
103134		2442	5597																																	4315	0	5975								
104234		1766	1690																																	12	0	409								
104542		0	0																																	0	0	0								
104971		0	0																																	0	0	0								
105026		9920	1688																																	19287	0	5397								
105473		56323	50605																																	80845	2500	92397								
105530		2269	0																																	286	0	2578								
106359	0	58267	111067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																89947	0	21351								
106452		60202	35040																																	41351	0	10818								
106676		2454	648																																	0	0	0								
107244	1415635	1958523	8945265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	0	0	0	0	0	0	0	0	0	0				98081	228161	149370								
107459		0	0																																	176	0	1222								
107570		1862	11788																																	33773	0	1805								
107758		750	0																																	1091	0	4002								
108072		1897	1301																																	8153	0	3528								
108269		579	0																																	60	0	77								
108652		865	0																																	235	0	5								
108746		0	0																																	0	0	5277								
108951		6240	4288																																	42313	0	24225								
109136		27435	5805																																	3022	0	1776								
109154		7012	0																																	1672	0	0								
109453		5459	3004																																	2858	0	13051								
109574		18294	7777																																	21642	0	10909								
109659		2446	5774																																	7410	0	5338								
110413	0	292	35563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																48456	0	12427								
110936		6365	30272																																	3119	0	858								
110945		2193	8944																																	7833	0	14084								
110972		1374	1723																																	1600	0	598								
111157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1244	0	19359								
111205		9685	12331																																	56180	0	21866								
111942		9302	5888																																	36419	0	7147								
111979		10730	21																																	18918	0	15695								
112163	0	90156	78223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																164077	0	47638								
112332		3009	339																																	248	0	2546								
112510		128	4																																	895	0	2941								
112556		0	116																																	85	151	3223								
112837																																														
113003	0	1099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	3836								
113030		496	284																																	505	0	1112								
113441		9063	52769																																	30801	0	46021								
113601		86255	188957																																	529	0	37								
113740	0	4260	28922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																66765	0	2495								
113937		8527	4339																																	9406	0	6894								
114149		0	5340																																	11245	0	6916								
114260	0	41281	423513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														17167	58829	204552	0	16648								
114457		1399	61																																	9228	0	10476								
114774		14887	0																																	0	0	15685								
114840		7922	11284																																	22125	0	4589								
114859		886	698																																	516	0	3797								
115146		0	93																																	1906	0	9520								
115575		36289	10401																																	22044	0	11988								
116358		440	1509																																	1446	0	418								
116554		0	0																																	157	0	0								
116741		0	0																																	1166	0	6792								
117038	7500	3032	847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																7205	0	8187								
117074		0	1476																																	0	0	250								
117458		96	24827																																	22581	0	62055								
117775	0	927	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																31457	0	474								
118156		4432	16690																																	40647	0	13409								
118660		0	0																																	4122	0	0								
118736		964	1460																																	2957	275	5376								
119153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																26953	0	5470								
119528		0	37377																																	45038	0	26717								
119779	0	32373	41269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																43631	0	27205								
119872		15577	13743																																	8597	0	6737								
120476		0	0																																	0	0	0								
120542		1832	14773																																	18206	0	248								
120609		19752	41651																																	75745	0	25276								
120953		0	0																																	7883	0	14209								
121642	0	119678	549812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																152483	0	288320								
121651		5	798																																	593	932	84								
121914		1374	13604																																	5866	0	8923								
122153		618	140																																	1012	0	0								
122546		197	0																																	230	0	417								
122854	1527190	548904	1010284	0	0	5251	9414	0	0	5251	0	0	0	0	0	9414	0	0	0	0	735	9631	0	0	0	0	0	0	0	0	0	0				740468	82298	210428								
123075		0	0																																	0	0	2684								
123374		2950	2237																																	959	0	239								
124344		3812	90014																																	27685	0	674								
124830		4520	1337																																	3668	0	11061								
