"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37		0	65																																	3	0	1188								
242		90	190																																	0	0	3366								
279		13185	558																																	682	0	13376								
354		0	0																																	54	0	153								
457		536	1147																																	2112	0	2117								
505		11342	16296																																	14573	0	33129								
1155		3924	14355																																	19465	0	12246								
1351		84	212																																	3601	0	1705								
1454		0	24265																																	23997	0	18897								
1669		4722	6528																																	8060	0	638								
1856		125	951																																	2011	0	1891								
2161	0	3074	8629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																9895	0	0								
2732		1800	32952																																	32776	0	1175								
2750		55	2831																																	1533	0	10887								
3252		113	1176																																	3281	0	11301								
3458		5	109																																	668	0	273								
3720		2637	2946																																	2790	0	4718								
3971		14408	46687																																	81927	0	8524								
4156		2929	3024																																	4188	0	6093								
4231		483	2250																																	160	0	2719								
5069		40582	7016																																	800	0	0								
5135		2512	10452																																	6569	0	29821								
5210		12963	68141																																	102903	0	43571								
5461		277	4333																																	12410	0	23020								
5751		37	4731																																	11245	0	8557								
6039	0	7999	11631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4011	0	7073								
6329	0	54486	37361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																21097	0	17223								
7009		0	0																																	0	0	0								
7045	0	497	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2167	0	3506								
7072		837	621																																	2761	0	6823								
7456		705	266																																	6905	0	24666								
7634		1711	166																																	191	0	593								
8033		17484	8874																																	7817	0	20758								
8462		0	403																																	2573	0	3292								
8631		819	1037																																	627	0	100								
9357		0	4153																																	125548	363794	3823								
9553		1112	228																																	2612	0	22750								
9807	0	129447	330323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																7345	0	5991	MUNICIPAL LETTER OF CREDIT FHLBNY							
9955		319	6721																																	9686	0	17598								
10250		2499	12424																																	37803	0	9164								
10849		3419	8678																																	2560	0	1023								
11145	0	3193	22471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																6059	0	2916								
11640		3644	7591																																	5881	0	22419								
11837		1797	408																																	102	0	998								
12030		653	7784																																	12133	0	6788								
12142		2316	1972																																	12993	0	6972								
12311																																														
12647		813	45																																	3224	0	9953								
12656		0	0																																	658	0	34								
12946		11349	46031																																	97330	0	18932								
