"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	0					44	0	57459					0	0	0			0	46539	0	0										0		
242	0	972					204	0	16965					4350	0	0			0	10688	0	0										0		
279	0	13225					2034	36039	35954					28084	0	0			2413	3602	0	0										0		
354	102	0					20	575	0					0	0	0			0	0	0	0										0		
457	0	1013					464	24	1013					8500	0	0			24	0	0	0										10		
505	0	4508					5175	0	77923					10000	0	0			0	37176	0	0										0		
1155	0	1284					362	0	26911					0	0	0			0	22493	0	0										0		
1351	0	0					224	59878	6145					0	0	0			10304	0	0	0										0		
1454	0	30043					1394	0	495307					0	0	0			0	164768	0	0										89		
1669	0	48261					209	30683	93085					0	0	0			30683	0	0	0										0		
1856	0	0					284	1000	12669					2500	0	0			0	0	0	0										0		
2161	0	0					908	0	61194					0	0	0			0	37824	0	0										0		
2732	0	0					1014	0	49650					0	0	0			0	24678	0	0										0		
2750	0	0					204	0	14172					250	0	0			0	9762	0	0										552		
3252	0	70277					626	0	167276					5000	0	0			0	46945	0	0										0		
3458	0	96					400	2487	15240					4258	0	0			2487	8576	0	2500										0		
3720	0	2704					283	1615	89115					0	0	0			1615	29665	0	0										0		
3971	0	12582					4345	0	114446					83157	0	0			0	5791	0	0										1003		
4156	0	2059					426	0	61805					3750	0	0			0	41605	0	8223										115		
4231	0	0					0	0	53052					0	0	0			0	33771	0	0										0		
5069	0	0					0	0	8841					0	0	0			0	2110	0	0										1003		
5135	0	26499					1143	0	82069					23315	0	0			0	1582	0	0										0		
5210	0	0					2368	7220	411676					21416	0	0			0	42710	0	44605										1046		
5461	0	5016					3246	0	305393					0	0	0			0	122701	0	0										0		
5751	0	0					339	3000	80810					0	0	0			0	42685	0	0										158		
6039	0	20997					222	0	25894					0	0	0			0	2904	0	0										0		
6329	0	0					767	0	106112					5000	0	0			0	12426	0	0										0		
7009	0	192054					0	0	304832					0	0	0			0	87776	0	0										14080		
7045	0	0					759	0	166661					3000	0	0			0	64115	0	0										0		
7072	0	0					3335	35026	34928					10272	0	0			5628	3844	0	0										0		
7456	0	0					471	0	39271					0	0	0			0	34158	0	0										0		
7634	0	0					78	0	13077					0	0	0			0	7708	0	0										0		
8033	0	0					1530	0	4488					5136	0	0			0	2492	0	0										0		
8462	0	0					21	0	88538					0	0	0			0	21106	0	0										0		
8631	0	0					331	0	14814					0	0	0			0	834	0	0										0		
9357	0	0					1033	0	35658					0	0	0			0	0	0	0										987		
9553	0	0					2803	29740	45641					60075	0	0			29740	14714	0	0										0		
9807	0	65490					5826	0	342907					0	0	0			0	263454	0	41838										1264		
9955	0	0					2609	0	69340					24270	0	0			0	51513	0	0										0		
