"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Not fully insured, affiliate sweep d	Fully insured, non-affiliate sweep d	Not fully insured, non-affiliate swe	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	11847	0	5547	20656	0	33353	0	0	0	0	36757	0	518		15141	2257		27806	36239	0	0	228	0	0	2896	7561	9577	909	10457	0	770	640	301	5802	1710	0	0	770	0													
242	7924	0	861	11297	0	18312	0	0	0	0	23879	0	3359		4637	5381		17451	20520	0	0	0	0	0	823	2849	2483	560	3672	0	3070	788	0	2077	3858	0	0	3070	0													
279	73426	0	830	53595	0	120525	0	0	0	0	157395	0	1003		27353	9317		119695	156392	0	0	6093	0	0	12881	25405	21783	1486	38286	1584	6955	4557	0	34203	13097	0	0	8539	0													
354	1940	0	126	8402	0	9061	0	0	0	0	9147	0	929		1352	4660		8935	8218	0	0	0	0	0	867	1417	0	0	2284	0	261	0	0	932	261	0	0	261	0													
457	8260	0	599	10951	0	14512	0	0	0	0	34722	0	5429		6303	16536		13913	29293	0	0	849	0	0	1623	4001	3378	384	5624	0	0	540	0	3083	540	0	0	0	0													
505	112318	2	53773	176059	0	272280	0	0	19995	0	408836	0	111270		17270	237923		218505	297566	0	0	705	0	0	7730	14218	4967	305	21701	22340	8437	599	0	9948	31376	34761	19995	30777	0													
1155	1480	5	10133	44421	0	198536	0	0	0	0	60054	0	991		21518	17450		188043	59063	355	0	2447	0	0	11629	10423	9529	1015	18316	1544	4826	2157	0	11079	8527	756	0	5326	0													
1351	11612	0	9453	29735	0	50612	0	0	0	0	114233	0	9393		35178	31097		41159	104840	0	0	4996	0	0	10767	32678	16117	0	43445	1216	6957	3788	0	24384	11961	0	0	8173	0													
1454	989	0	37644	379363	0	561358	0	0	0	0	444497	559	45253		34097	350032		523714	398685	0	0	9324	0	0	18444	18102	10391	5261	30762	32912	2641	2959	2766	18100	41278	254	0	7683	0													
