"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
937339	0	0	3753	36430	0	90030	0	0	0	0	143251	0	16989		22228	101705	15726	86232	126150	45	112	7782	0	0	4072	11106	12281	5666	15178	1143	3267	2568	1442	10898	8420	0	0	4410	0	false							
937553	22633	0	6381	23031	0	44020	0	0	6	0	69874	0	9528		17852	14224		37639	60346	0	0	1206	6	6	3113	13864	8391	1638	16977	650	793	2320	2246	9156	6009	0	0	1443	0								
937740	79709	0	8821	180639	0	239613	0	0	0	0	530634	0	98454		69125	306217		230792	432180	0	0	17029	0	0	24809	55270	21664	4627	80079	8773	25160	3816	589	37245	38338	0	0	33933	0								
937759	12742	0	5115	33710	0	49155	0	0	0	0	77652	0	41154		4955	24193		44040	36498	0	0	1058	0	0	2673	6389	1074	323	9062	24220	5728	310	0	5504	30258	0	0	29948	0								
937834	9314	0	0	23696	0	30178	0	0	0	0	45002	0	0		14344	5543		28910	45002	1268	0	1305	0	0	2601	13945	8123	2308	16546	261	2358	549	0	12633	3168	0	0	2619	0								
937843	34336	0	8935	23966	0	47791	0	0	0	0	56459	0	9609		12388	1177		38856	46850	0	0	1180	0	0	7746	5664	4454	1382	11720	851	536	0	313	6858	1700	0	0	1387	0								
938354	9519	0	563	7937	0	11208	0	0	0	0	12180	0	598		1303	618		10645	11582	0	0	0	0	0	218	1581	209	35	1799	0	0	0	0	740	0	0	0	0	0								
938550	21746	5	3852	23347	0	43043	0	0	0	0	52053	0	917		8346	10865		39186	51136	0	0	3441	0	0	3131	4785	4229	1579	7511	1320	796	3602	0	5378	5718	0	0	2116	0								
938859	361557	0	1058	56501	0	76468	0	0	0	0	709065	0	846		26119	299871		75410	708219	0	0	2795	0	0	11019	25407	4492	586	36426	1919	3614	600	0	15385	6133	22573	0	5533	0								
939070	57745	15	3403	57044	0	84428	0	0	0	0	130935	0	10304		23118	10921		80513	109228	497	11403	2261	0	0	10610	17950	14417	2253	28560	5265	10016	1758	0	22112	17039	9695	0	15281	11880								
939249	255275	0	147249	245637	0	693644	0	0	0	0	706449	254	53476		164240	157815	57014	546395	652719	0	0	19428	0	0	79667	75214	86184	14634	152553	9932	15715	7412	4601	91459	37660	0	0	25647	0	true	117706	201173	90261	30982	237422	15714	
940021	34139	0	14274	30197	0	44735	0	0	0	0	42916	0	321		5436	732	1987	30461	42595	0	0	762	0	0	2190	3737	1120	98	5924	316	583	0	0	1710	899	0	0	899	0	true							
940311	12956000	10000	15297000	21640000	9000	30817000	0	0	219000	0	19672000	0	1120000		2399000	963000	942000	15300000	17908000	201000	644000	106000	219000	219000	681000	650000	912000	915000	1331000	2195000	160000	133000	107000	759000	2595000	6000	0	2355000	8000	true	4397000	530000	0	839000	8512000	3840000	
