"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
24659													12	0	7	0	0	0																			
24668													0	0	0	93	0	0																			
24949													0	0	0	0	0	0																			
25357													121	5	15	20	0	17																			
25647				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
26176													0	0	0	0	0	0																			
26457													3	0	0	0	0	0																			
26765													0	0	0	1	0	0																			
27070													0	0	1	0	0	0																			
27548													12	0	0	2	0	12																			
27614													0	0	0	9	0	0																			
27847													26	2	68	228	0	23																			
28013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	16	0	0	0	0	0	0	0	0	0	0	0							
28152				0	0	0	0	0	0	0	0	0	15	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0							
28675				53	0	0	0	0	0				0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
28732													0	12	0	49	5	7																			
29476													0	0	0	0	0	0																			
29636													28	0	26	30	0	0																			
29878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0							
30052													0	0	0	0	0	0																			
30502													0	0	0	9	0	21																			
30650													0	0	0	0	0	0																			
30810							0	0	0																												
31134				0	0	0	0	0	0	0	0	0	59	20	9	3	9	102	0	0	0	0	0	0	0	0	0	0	0	0							
31255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
31657													27	0	0	37	0	0																			
31826	0	0	0	0	0	0	0	0	0	0	0	0	20	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
31835													8	0	78	23	0	61																			
32234													0	0	0	0	0	0																			
32766													6	0	0	0	0	0																			
32971													0	0	0	0	0	3																			
33147													78	0	134	15	0	6																			
33259													0	0	0	0	0	0																			
33268													0	0	0	0	0	0																			
33370													0	0	0	0	0	0																			
33839													0	0	0	0	0	0																			
33857	0	0	0	0	0	3751	0	0	18	0	0	3733	7	0	27	0	0	19	0	17	26	0	0	0	0	0	0	0	0	0							
34434													126	0	56	2	13	7																			
34537	0	0	0	0	0	1936	0	0	1761	0	0	175	46	0	25	722	0	398	0	0	363	0	0	0	0	0	0	0	0	0							
34555				0	0	0	0	0	0	0	0	0	28	26	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
34742													0	0	0	0	0	0																			
35057				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
35301							0	0	0																												
35570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4453	0	150	0	0	0	0	0	0	0	0	0	0	0	0							
35646													3	0	19	79	0	2																			
35879													0	0	0	80	0	13																			
36456													40	0	0	0	0	0																			
36933													110	0	25	33	0	4																			
37051													0	0	0	0	0	0																			
37341													18	0	0	0	0	36																			
37435													103	0	96	316	0	102																			
37640	0	0	0	0	0	0	0	0	0	0	0	0	9	0	22	44	0	26	0	0	0	0	0	0	0	0	0	0	0	0							
37659				0	0	0	0	0	0	0	0	0	8	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0							
37949													0	0	0	0	0	0																			
38740													42	9	12	1	1	40																			
39327													0	0	0	0	0	0																			
39756	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	53	0	0	0	0	0	0	0	0	0							
40033													32	0	0	0	0	0																			
40499	0	0	0	0	0	0	0	0	0	0	0	0	1088	0	317	16	0	40	1	0	2046	0	0	0	0	0	0	0	0	0							
40855													0	0	0	0	0	0																			
41553													0	0	0	3	0	0																			
41629													307	42	0	29	0	0																			
41825													0	0	0	0	0	0																			
41955													0	0	0	185	6	0																			
42037													0	0	0	141	10	59																			
42354													5	0	0	2	0	0																			
42372													0	0	0	10	0	0																			
42420	0	0	0	0	0	188	0	0	0	0	0	0	1041	87	237	583	462	76	0	0	7481	0	0	0	0	0	188	0	0	0							
42448	0	0	0	0	0	0	0	0	0	0	0	0	91	0	81	30	2	13	0	0	0	0	0	0	0	0	0	0	0	0							
42457													0	0	0	0	0	0																			
43052													0	0	6	0	0	1																			
43351													4	0	0	16	5	53																			
43856													0	0	0	0	0	0																			
43959													0	0	0	1	0	0																			
44040													36	3	0	52	0	0																			
44433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	0	0	0	0	0	0	0	0	0	0	0	0							
44741													20	0	8	6	0	22																			
44750													16	0	77	0	0	0																			
44929				0	0	0	0	0	0				0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
45038				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
45047													73	0	91	79	0	5																			
45056													0	0	0	0	0	0																			
45430													12	0	20	7	0	0																			
45458													6	0	0	6	0	27																			
45551													6	0	0	2	0	0																			
45560	0	0	0	14	0	0	0	0	0	0	0	0	184	44	0	8	0	123	0	0	742	0	0	0	14	0	0	0	0	0							
45775													0	0	0	6	0	0																			
46053													40	0	0	0	0	0																			
46941													4	0	0	0	0	0																			
47247	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
47256													0	0	0	0	0	0																			
47452													0	0	0	1	1	11																			
47500													0	0	5	22	0	8																			
48057													0	0	0	18	0	0													0	0	0	0	0	0	
48150													0	0	0	0	0	0																			
48374													194	0	75	1010	0	78																			
48440													29	0	10	29	0	0																			
49054													0	0	0	0	0	0																			
49148													0	0	0	11	0	2																			
49241													10	0	0	51	0	6																			
49652													2	0	0	0	0	0																			
49858													0	0	0	7	0	0																			
