"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	0					43	0	54207					0	0	0			0	45320	0	0										0		
242	0	1457					199	0	15344					4400	0	0			0	9022	0	0										0		
279	0	0					2027	35497	11767					30208	0	0			4034	899	0	0										0		
354	0	0					0	0	489					0	0	0			0	0	0	0										0		
457	0	0					496	27	0					9500	0	0			27	0	0	0										6		
505	0	0					5575	0	67915					15880	0	0			0	29964	0	0										0		
1155	0	1296					360	0	25310					0	0	0			0	19852	0	0										0		
1351	0	0					224	47767	5680					0	0	0			11643	0	0	0										0		
1454	0	39367					1211	0	461392					0	0	0			0	150795	0	0										85		
1669	0	16461					188	34608	66171					0	0	0			32608	0	0	0										0		
1856	0	0					1686	0	17933					17500	0	0			0	0	0	0										0		
2161	0	0					583	0	53748					30498	0	0			0	37799	0	0										0		
2732	0	0					926	0	48836					0	0	0			0	21782	0	0										0		
2750	0	0					203	0	11787					410	0	0			0	9300	0	0										9983		
3252	0	25338					672	0	121616					5100	0	0			0	34866	0	0										0		
3458	0	0					401	2700	10043					4305	0	0			2700	4821	0	2000										0		
3720	0	759					283	1615	83805					0	0	0			1615	24172	0	0										0		
3971	0	12271					5396	0	107906					88003	0	0			0	5645	0	0										1005		
4156	0	0					597	0	50779					7250	0	0			0	32327	0	8827										109		
4231	0	0					0	0	54943					0	0	0			0	33192	0	0										0		
5069	0	0					0	0	8726					0	0	0			0	2109	0	0										1005		
5135	0	57500					1069	0	82649					21343	0	0			0	2097	0	0										0		
5210	0	0					2799	9155	355008					38700	0	0			0	35706	0	31282										1049		
5461	0	1001					3006	0	203613					5000	0	0			0	98087	0	0										0		
5751	0	0					261	0	79799					0	0	0			0	42867	0	0										148		
6039	0	10250					222	0	27670					0	0	0			0	3358	0	0										0		
6329	0	0					1002	0	74700					5000	0	0			0	10487	0	0										0		
7009	0	192019					0	0	301171					0	0	0			0	84181	0	0										12826		
7045	0	0					759	0	146326					0	0	0			0	57842	0	0										0		
7072	0	0					3686	27612	18413					12900	0	0			4923	3551	0	0										0		
7456	0	0					470	0	28317					0	0	0			0	24336	0	0										0		
7634	0	0					103	0	12835					0	0	0			0	6936	0	0										0		
8033	0	0					1527	0	2589					12136	0	0			0	2089	0	0										0		
8462	0	0					21	0	87400					0	0	0			0	16126	0	0										0		
8631	0	0					336	0	7720					0	0	0			0	848	0	0										0		
9357	0	0					1033	0	40059					55503	0	0			0	0	0	0										989		
9553	0	0					2737	28104	41930					58926	0	0			28104	14995	0	0										0		
9807	0	55529					5631	0	318015					0	0	0			0	248190	0	34553										1267		
9955	0	0					2831	0	64658					19485	0	0			0	50462	0	0										0		
10250	0	0					2175	0	170081					0	0	0			0	79731	0	0										0		
10849	0	0					733	0	63815					0	0	0			0	16511	0	0										0		
11145	0	0					1350	0	42601					24719	0	0			0	31067	0	0										0		
11640	0	0					2358	0	130953					0	0	0			0	86630	0	0										0		
11837	0	1500					67	0	63276					0	0	0			0	6158	0	0										0		
12030	0	19198					10152	917	31395					0	0	0			603	0	0	0										0		
12142	0	0					708	100	127276					0	0	0			89	56127	0	0										0		
12311																																		
12647	0	0					2015	33201	0					4000	0	0			23467	0	0	0										0		
12656	103	0					14	2516	0					0	0	0			2013	0	0	0										73		
12946	0	0					8838	0	292170					53654	0	0			0	205453	0	0										3775		
