"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							9561	2067	54207	0	0	238	105	801	87107	69998	121	70119	0	962	0	0	16988	1200	87107	0	0	11500	0	0	3500	0	20794	49204	1a	1231	0	21090	20128	788	0	0	0	0	16988	0	0	
242																																							3065	3230	15344	0	0	571	0	434	54143	44616	22	49038	0	175	4400	0	5105	120	54143	0	0	4851	0	0	120	0	13135	31481	4	1231	0	24518	24343	14	7156	0	0	0	5105	0	0	
279																																							20995	5779	11767	0	640	6807	209	9055	316508	252668	1974	284850	0	1562	30208	0	31658	1	316508	0	0	31550	0	0	0	0	34582	218086	1a	1231	0	213890	212328	107	13431	0	0	0	31658	0	35497	
354																																							697	619	489	0	0	95	0	139	17860	16108	99	16207	0	171	0	0	1653	100	17860	0	0	616	0	0	936	561	7417	8690	4	1231	0	7972	7801	1	7459	0	0	0	1653	0	0	
457																																							18738	488	0	0	0	248	31	1539	64863	50285	89	59874	0	674	9500	0	4989	60	64863	0	0	989	0	0	3940	0	13691	36594	4	1231	0	44022	43348	0	438	0	0	0	4989	6	27	
505																																							109591	6562	67915	0	1994	9680	0	16592	725224	643564	8374	667818	58	7565	15880	0	57348	6480	725224	0	0	34657	0	0	18403	0	158370	485193	2a	1231	0	518905	511340	-2192	1550	0	0	0	57406	0	0	
1155																																							47799	8282	25310	0	0	4577	133	8004	297261	269163	1864	271027	0	4190	0	0	26234	1600	297261	0	0	19367	0	0	4900	67	38445	230718	5	1231	0	207279	203089	367	0	0	0	0	26234	0	0	
1351																																							15377	8674	5680	0	0	4710	180	2112	192694	164328	537	164865	0	1369	0	0	27829	240	192694	0	0	27056	0	0	530	0	30257	134071	4	1231	0	109563	108194	3	0	0	0	0	27829	0	47767	
1454																																							160060	14348	461392	0	0	4342	0	14687	1030296	922889	3231	926120	0	4729	0	0	104176	1000	1030296	0	0	101711	0	0	1214	4677	324473	598416	2b	1231	0	375434	370705	251	0	0	0	0	104176	85	0	
1669																																							29635	14188	66171	0	0	3903	0	15652	360944	309755	135	309890	0	3659	0	0	51054	800	360944	0	0	48528	0	0	800	0	79847	229908	4	1231	0	200446	196787	926	0	0	0	0	51054	0	34608	
1856																																							20653	556	17933	0	98	428	0	2566	75787	46552	82	64134	0	296	17500	0	11653	500	75787	0	0	173	0	0	13732	0	4192	42360	4	1231	-3000	32565	32269	248	1284	0	0	0	11653	0	0	
2161																																							46977	4977	53748	0	0	8187	0	9175	297732	237714	3273	271485	0	2124	30498	0	26247	1000	297732	0	0	14811	0	0	10949	0	73603	164111	1a	1231	0	172443	170319	-513	4349	0	0	0	26247	0	0	
2732																																							168247	15176	48836	0	1112	2991	0	4270	688247	582391	1911	584302	0	5034	0	0	103945	0	688247	0	0	97829	0	0	5789	0	174904	407487	2b	1231	0	452649	447615	327	0	0	0	0	103945	0	0	
2750																																							2319	692	11787	0	0	241	0	2865	68989	60572	499	61481	0	506	410	0	7508	111	68989	0	0	429	0	0	6900	0	8533	52039	4	1231	0	41435	40929	68	173	0	0	0	7508	9983	0	
3252																																							4489	12536	121616	0	0	504	0	3603	257564	222169	147	227416	0	4136	5100	0	30148	200	257564	0	0	29128	0	0	300	0	44445	177724	9	1231	0	103952	99816	520	15000	0	0	0	30148	0	0	
3458																																							6430	1017	10043	0	0	2689	0	1629	69889	57763	438	64506	0	519	4305	0	5383	100	69889	0	0	4242	0	0	1101	0	8836	48927	5	1231	0	44731	44212	-60	1169	0	0	2000	5383	0	2700	
3720																																							83288	7749	83805	0	0	3516	518	11455	346451	302835	2127	304962	0	1702	0	0	41489	2400	346451	0	0	22958	0	0	18600	234	85011	217824	1b	1231	-3230	155973	154271	761	0	0	0	0	41489	0	1615	
3971																																							39683	4819	107906	1329	7089	6851	398	28597	875218	669783	10531	768317	0	7302	88003	0	106901	2	875218	0	0	8277	0	0	100923	0	188619	481164	1b	1231	0	682995	675693	-2301	1848	0	0	0	106901	1005	0	
4156																																							11942	8988	50779	0	1783	6480	0	8458	286396	244041	737	260855	0	2743	7250	0	25541	1200	286396	0	0	17222	0	0	6657	0	63157	180884	4	1231	0	162830	160087	462	37770	0	0	8827	25541	109	0	
4231																																							37845	1488	54943	0	0	952	0	668	138872	118935	429	119364	0	712	0	0	19508	500	138872	0	0	6440	0	0	12100	0	35710	83225	2a	1231	0	43688	42976	468	0	0	0	0	19508	0	0	
5069																																							75646	578	8726	0	0	35439	4871	6571	438345	234182	4535	238717	0	7988	0	0	199628	4500	438345	0	0	189713	0	0	4129	0	57934	176248	1b	1231	0	313497	305509	1286	0	0	0	0	199628	1005	0	
5135																																							76446	12028	82649	0	1042	7404	2170	13935	546732	438704	2322	462369	0	4770	21343	0	84363	651	546732	0	0	59330	0	0	24391	0	101583	337121	1b	1231	0	355828	351058	-9	0	0	0	0	84363	0	0	
5210																																							482453	24303	355008	1849	39567	34201	0	90004	2640070	2301074	17791	2388847	0	20237	38700	0	251223	4798	2640070	0	0	149558	0	0	108340	12000	99098	2201977	2a	1231	0	1610718	1590481	-11473	0	0	0	31282	251223	1049	9155	
