"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							10392	2248	53347	0	0	213	0	1748	87842	73495	96	73591	0	960	0	0	14251	1200	87842	0	0	11761	0	0	3500	0	23635	49859	1a	1231	0	20854	19894	-2210	0	0	0	0	14251	0	0	
242																																							2945	2201	18384	0	0	544	0	421	53236	44994	16	49360	0	173	4350	0	3876	120	53236	0	0	4947	0	0	120	0	13259	31735	4	1231	0	25865	25692	-1311	3049	0	0	0	3876	0	0	
279																																							5335	5828	63978	0	504	6795	209	10391	368875	295137	2315	324505	0	1610	27053	0	44370	1	368875	0	0	32277	0	0	15276	0	56341	238796	1a	1231	0	226173	224563	-3184	19742	0	0	0	44370	0	31530	
354																																							500	612	745	0	0	80	0	273	25077	20772	132	21004	0	181	100	0	4073	100	25077	0	0	698	0	0	3286	4528	10097	10675	5	1231	0	11650	11469	-11	6870	0	0	0	4073	0	0	
457																																							1991	1450	1431	0	0	214	31	1574	65336	52134	92	60226	0	674	8000	0	5110	60	65336	0	0	1188	0	0	3940	0	11876	40258	4	1231	0	58988	58314	-78	325	0	0	0	5110	6	0	
505																																							148680	9548	81277	0	1914	9019	0	17548	802458	723353	8624	741977	56	8186	10000	0	60425	6480	802458	0	0	38416	0	0	18403	0	167826	555527	2a	1231	0	542258	534072	-2874	400	0	0	0	60481	0	0	
1155																																							52525	13761	63588	0	9412	7438	0	9598	456406	409010	2227	411237	0	3894	0	0	45169	1600	456406	0	0	22844	0	0	23696	400	74303	334707	5	1231	0	303578	299684	-2971	0	0	0	0	45169	0	0	
1351																																							15268	4855	7764	0	0	4470	99	1907	199736	170435	420	170855	0	1220	0	0	28881	240	199736	0	0	28652	0	0	530	0	31102	139333	4	1231	0	103063	101843	-541	0	0	0	0	28881	0	63530	
1454																																							116420	14053	534409	0	0	4164	0	15532	1074531	996032	3129	999161	0	5035	0	0	75370	1000	1074531	0	0	108353	0	0	1214	130	355276	640756	2b	1231	0	394768	389733	-35197	0	0	0	0	75370	90	0	
