"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
151957																																		6866	0	75000	6484	0	155000		0	0	0	0	0	2665	2	0			0	155000	0	0	0	0	0	0	0	0	0	0					89	382																					19	3907	0	0	0	0	0	0																					http://www.1st.bank	
152057																																		0	471	0	0	0	2500		0	0	0	0	471	10	0	0			0	0	2500	0	0	0	0	0	0	0	0	0					0	0																					1	158	0	0	0	0	0	0																						
152253																																		0	280	0	0	0	0		0	0	280	0	0	531	1	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					7	107	0	0	0	0	0	0																						
152431																																		1866	0	0	1287	579	3308		0	0	0	0	0	75	0	579			0	0	0	1745	1563	0	0	0	0	0	0	0					0	0																					1	53	0	0	0	0	0	0																						
152440																																		71	1028	6500	0	71	6500		0	0	773	0	255	453	0	71			0	6500	0	0	0	0	0	0	0	0	0	0						0																					5	30	0	0	0	0	0	0																					HTTP://WWW.CSB123.COM	
153054																																		0	0	0	0	0	0		0	0	0	0	0	9958	2	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					6	441	0	0	0	0	0	0																						
153353																																		16479	0	8009	12573	2085	28949		0	0	0	0	0	13056	3	282286			0	8009	140	200	20600	0	0	0	0	0	0	0						1821																					0	0	0	0	0	0	0	0																					http://www.peoples.bank	
154154																																		7789	24	29000	7498	291	29000		0	0	0	0	24	9475	2	291			0	29000	0	0	0	0	0	0	0	0	0	0						0																					19	2582	0	0	0	0	0	0																					http://www.bankfnbt.com	
154770																																		203	0	0	0	203	16529		0	0	0	0	0	0	0	203			0	0	15000	1277	252	0	0	0	0	0	0	0					0	0																					34	4022	0	0	0	0	0	0																						
155759																																		0	0	0	0	0	0		0	0	0	0	0	32	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																						
