"IDRSSD"	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	
	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	
37																							0	0	3742	3367	0	0	7409	6877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
242																							0	0	6031	5593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
279																							0	0	0	0	29497	28067	18076	17274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
354																							0	0	500	495	0	0	62	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
457																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
505																							0	0	0	0	0	0	23196	22959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1155																							0	0	6608	6518	0	0	1104	1114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1351																							53999	49705	6982	6454	21	20	1175	1164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1454																							0	0	156465	147260	0	0	180893	168458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1669																							0	0	11508	11363	0	0	24097	21890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1856																							0	0	222	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2161																							0	0	0	0					0	0	0	0	0	0	3771	3721	0	0	0	0	0	0	0	0	0	0	0	0	
2732																							0	0	22470	21953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2750																							0	0	6588	6337	0	0	249	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3252																							0	0	7013	6954	0	0	10672	10473	0	0	0	0	0	0	4662	4496	0	0	0	0	0	0	3602	3434	0	0	0	0	
3458																							0	0	322	281	0	0	5600	5170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3720																							7744	7321	9792	9675	0	0	70327	66133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3971																							0	0	42998	38545	0	0	11129	10773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4156																							0	0	9071	8471	0	0	7133	6786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4231																							0	0	1500	1462	0	0	18729	17569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5069																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5135																							0	0	45846	45034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5210																							0	0	258526	241534	5817	5712	216662	208649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3030	2857	0	0	0	0	
5461																							0	0	96759	91424	0	0	134974	125116	0	0	0	0	0	0	6522	6390	0	0	0	0	0	0	0	0	0	0	0	0	
5751																							0	0	5487	5428	0	0	6701	6556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	760	759	0	0	0	0	
6039																							0	0	1500	1407					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6329																							0	0	40000	38925					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009																							0	0	25000	24988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7045																							0	0	1018	984					0	0	0	0	0	0	549	529	0	0	0	0	0	0	0	0	0	0	0	0	
7072																							0	0	6996	6531	27214	25199	859	834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7456																							0	0	3471	3298	0	0	361	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7634																							0	0	321	303	0	0	4582	4319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8033																							0	0	5500	5286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8462																							0	0	30206	28996	0	0	40111	38657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8631																							0	0	11150	10497	0	0	9026	8460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9357																							0	0	23617	23108	0	0	3183	3145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3579	3571	0	0	0	0	
9553																							0	0	143	141	0	0	19445	18579	0	0	0	0	0	0	70	68	0	0	0	0	0	0	0	0	0	0	0	0	
9807																							0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9955																							0	0	27256	25983	0	0	524	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10250																							0	0	18662	17584	0	0	130414	122474	0	0	0	0	0	0	782	766	0	0	0	0	0	0	0	0	0	0	0	0	
10849																							0	0	9554	9264	0	0	13571	13183	0	0	42	39	0	0	8612	8471	0	0	0	0	0	0	0	0	0	0	0	0	
11145																							0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10307	9273	
11640																							0	0	12643	11333	0	0	13857	12524	0	0	0	0	0	0	15073	14582	0	0	0	0	0	0	0	0	0	0	0	0	
11837																							0	0	10856	10441	0	0	42314	39775	0	0	0	0	0	0	802	766	0	0	0	0	0	0	0	0	0	0	0	0	
12030																							0	0	5228	5239	0	0	0	0	0	0	0	0	235	230	3168	3186	0	0	0	0	0	0	0	0	0	0	0	0	
12142																							0	0	11168	10175	0	0	58427	54031	0	0	0	0	0	0	10353	9551	0	0	0	0	0	0	3507	3204	0	0	0	0	
12311																																																			
12647																							24396	22922	0	0	7596	7022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	465	0	0	0	0	0	0	
12656																							549	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12946																							0	0	168447	161159	0	0	111551	105517	0	0	84	78	0	0	10405	9446	0	0	0	0	0	0	0	0	0	0	0	0	
13103																							0	0	3730	3692					0	0	61031	58892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13251																							0	0	0	0	0	0	1816	1690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13457																							0	0	1412	1299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14155																							0	0	250	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14650																							0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14753																							0	0	3245	3025	138	141	549	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14865																							0	0	60174	58531	0	0	4174	4132	0	0	0	0	0	0	9673	9440	0	0	0	0	0	0	3709	3682	0	0	0	0	
14977																							0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16551																							0	0	3555	3561	0	0	727	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17110																							0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400126	370128	84261	77860					0	0	0	0	0	0	47557	45211	0	0	0	0	0	0	0	0	0	0	0	0	
17259																							0	0	749	702	0	0	6509	6118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17950																							0	0	9121	8854	0	0	150277	142712	0	0	0	0	0	0	24995	24172	0	0	0	0	0	0	962	937	0	0	0	0	
17978																							94786	89830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18050																							0	0	0	0	911	902	181939	172552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22843	22610	0	0	0	0	
18827																							0	0	40740	38283	0	0	9121	8763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18836																							0	0	5031	4804	0	0	7805	7441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18854																							0	0	254	251					0	0	0	0	0	0	21902	20955	0	0	0	0	0	0	2853	2720	0	0	0	0	
19356																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19936																							0	0	18099	16670	289	284	36362	34351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19972																							0	0	0	0	56	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20053																							0	0	790	768	0	0	1758	1719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20633																							0	0	10476	9943	0	0	11703	11144	0	0	0	0	0	0	6495	5950	0	0	0	0	0	0	0	0	0	0	0	0	
20857																							0	0	5307	5137	0	0	2704	2682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21256																							0	0	3399	3233	0	0	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21359																							0	0	1505	1426	0	0	10823	10036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21658																							0	0	19768	18648					0	0	0	0	0	0	2298	2198	0	0	0	0	0	0	149	149	0	0	0	0	
22048																							0	0	5409	5198	0	0	33510	31326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22543																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22552																							0	0	0	0	0	0	8131	8181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22730																							0	0	2803	2704	0	0	45344	42967	0	0	0	0	0	0	7624	7518	0	0	0	0	0	0	2076	1941	0	0	0	0	
23456																							0	0	0	0	0	0	69622	65669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88858	83833	0	0					0	0	0	0	51256	47113	43549	41601	0	0	0	0	105289	99175	260595	247865	0	0	0	0	
23643																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23755																							0	0	7268	6895	0	0	52333	49161	0	0	0	0	0	0	4471	4254	0	0	0	0	0	0	0	0	0	0	0	0	
