"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Fully insured, affiliate, retail swe	Not fully insured, affiliate sweep d	Not fully insured, affiliate, retail	Fully insured, non-affiliate sweep d	Fully insured, non-affiliate, retail	Not fully insured, non-affiliate swe	Not fully insured, non-affiliate, re	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
1008151	18209	12	10134	31861	0	53731	0	0	0	0	38249	0	637		10917	0		43585	37612	0	0	345	0	0	3534	6812	4898	968	10346	1103	1105	1620	0	5295	3828	0	0	2208	0																	
1008209	1018	0	22642	62047	0	136014	0	0	0	0	108824	0	3256		13012	80454		112627	105568	745	0	1669	0	0	5894	9473	2736	2027	15367	2381	4470	0	371	7118	7222	31266	0	6851	0																	
1008432	72055	0	1197	96528	0	111871	0	0	14496	0	186837	0	10686		10066	67856		110674	175652	0	499	1467	14496	11957	13501	20807	8444	224	34308	1046	1144	1760	0	32910	3950	15746	0	2190	0																	
1008450	5375	0	5405	10216	0	19606	0	0	3180	0	20958	0	3130		3001	4714		12955	17828	1246	0	250	1930	496	2056	3268	1706	914	5324	903	771	0	1250	4944	2924	0	0	1674	0																	
1008553	21154	0	12351	12873	0	50300	0	0	1296	0	61293	0	1124		7131	4979		37949	60169	0	0	14798	1296	304	2029	7607	6193	3815	9636	3368	4356	5942	1851	12513	15517	0	0	7723	0																	
1008674	188302	0	18386	166282	0	267946	0	0	0	0	357816	0	31337		18974	97116		249560	326479	0	0	5006	0	0	7820	15907	8674	1473	23727	18915	10580	7616	1410	14902	38521	0	0	29495	0																	
1008955	8077	0	1007	29935	0	41290	0	0	0	0	71051	0	6013		16246	39554		40283	65038	0	0	3638	0	0	9505	6688	3881	2097	16193	0	255	994	0	5925	1249	0	0	255	0																	
1009242	127693	0	61587	239014	0	356737	0	0	1670	0	474281	0	76653		80831	154040		294653	396870	497	758	8365	0	0	20444	67514	39232	18950	85793	5358	29872	9159	2019	65309	46408	81116	0	35230	0																	
1009354	326818	0	75514	974450	0	1485749	0	0	0	0	1515188	0	27117		179517	848995	72789	1404908	1468179	5327	19892	18758	0	0	58234	111467	69426	20374	167385	15555	24923	38709	687	79984	79874	0	0	40478	0	0		0		0		0		0	true	344605	390609	442986	406009	309723	17095	
1009756	13932	117	16995	95878	0	118363	0	0	10669	0	186444	17	26941		49029	100417	13495	101251	159259	0	227	2903	10669	1000	9127	24881	27802	9694	24928	275	318	0	0	22475	593	35262	0	593	249	0		0		0		0		0	true							
1009840	18131	0	4348	10428	0	23822	0	0	0	0	32328	0	2681		4059	5629	2400	19474	29647	0	0	207	0	0	1356	4019	899	127	5375	958	690	519	0	2342	2167	0	0	1648	0	0		0		0		0		0	false							
1010015	33691	0	36602	194791	0	194791	0	0	5988	0	66904	0	2534		14828	0		158189	64370	0	0	1112	5988	1994	4685	9566	6274	3438	13964	0	3372	5301	578	9134	9251	0	0	3372	0																	
1010574	39149	0	49858	163372	0	163372	0	0	0	0	113846	0	0		24744	16838		113514	113846	0	0	3968	0	0	13119	27554	9646	278	40673	1470	4524	1267	0	25853	7261	0	0	5994	0																	
1011432	46912	0	14255	56893	0	83926	0	0	0	0	80906	0	3392		12005	15284		69671	77514	0	0	1194	0	0	2362	8169	5316	1441	10531	1002	0	420	0	5283	1422	0	0	1002	0																	
