"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
2713920		0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2716088			4333	127	1	0	4205	0	0																						
2716828			2122	0	2	0	2120	0	0			0	0																		
2718596			1744	10	1	0	1735	2	0																						
2719810			0	0	0	0	0	0	0				0																		
2723376			0	0	0	0	0	0	0																						
2724766			650	8	0	0	642	0	0																						
2726050			2274	45	113	0	2198	82	0																						
2728661			13948	308	264	0	13723	347	0			0	0																		
2729677			0	0	0	0	0	0	0																						
2730431			762	-47	1	0	808	0	0																						
2732565			3289	0	20	0	3269	0	0																						
2733263			3904	0	10	0	3913	19	0																						
2734729			26561	1486	14	0	25061	0	0			0	0																		
2735137			2073	30	0	0	2043	0	0																						
2735146			235525	7289	3821	0	226813	2398	0				5913																		
2736219			14033	1886	757	0	13692	2302	0																						
2736291		0	101181	-1744	3154	0	101204	1433	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-274	0	
2736451			6759	100	27	0	6734	102	0				0																		
2736714			12501	648	2	0	11851	0	0																						
2737980			4755	740	129	0	3886	0	0				0																		
2743244			19244	150	47	0	19176	129	0			0	0																		
2744782			7710	0	122	0	7593	5	0			0	6																		
2745426			6235	30	47	0	6162	4	0				0																		
2745529			0	0	0	0	0	0	0																						
2746245			1899	30	27	0	1881	39	0																						
2746263			22509	300	389	0	22552	732	0			0	0																		
2747279			1487	0	0	0	1487	0	0																						
2747466			1570	16	8	0	1567	21	0																						
2747587			9650	0	229	0	9421	0	0																						
2748502			7568	-2799	97	0	10270	0	0																						
2749059			709	0	4	0	705	0	0																						
2753917			1249	0	0	0	1249	0	0																						
2754222			356	145	0	0	211	0	0																						
2756730			1669	90	0	0	1597	18	0																						
2756909			3450	-96	140	0	3406	0	0																						
2757205			18808	1280	386	0	18266	1124	0				614																		
2758613			28251	791	1351	0	27841	1732	0																						
2759629			2006	30	4	0	1972	0	0																						
2760232			3403	-400	389	0	3423	9	0																						
2764212			29981	0	136	0	29845	0	0				0																		
2765602			4104	100	1	0	4003	0	0																						
2769570			2588	60	6	0	2761	239	0																						
2769954			1122	37	3	0	1082	0	0																						
2771694			10170	-2400	174	0	13452	1056	0																						
2774707			0	0	0	0	0	0	0																						
2775151			2354	0	6	0	2348	0	0																						
2775179			7572	150	11	0	7411	0	0																						
2775692			1129	7	2	0	1120	0	0																						
2785477			3617	200	59	0	3358	0	0																						
2785646			9491	525	9	0	9139	182	0																						
2787770			6870	-300	263	0	6915	8	0				0																		
2788656			2854	75	11	0	2768	0	0																						
2791085			2473	0	6	0	2467	0	0																						
2791517			4122	0	9	0	4114	1	0			0	0																		
2793593		0	2387	0	22	0	2374	9	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2794732			803	100	14	0	689	0	0			0	0																		
2796277			124	0	0	0	124	0	0			0	0																		
2797162			5440	0	213	0	5227	0	0				0																		
2797210			0	0	0	0	0	0	0																						
2797359			7102	600	1	0	6501	0	0																						
2797724		1637	103834	-2100	336	0	106059	461	0			0		94	0	-2	0	0	92	210	0	871	0	0	1081	0	0	491	-219	0	
2800491			2389	0	10	0	2379	0	0																						
2805535			3608	0	0	0	3648	40	0																						
2805928			1497	24	0	0	1474	1	0			0	0																		
2806635			6236	0	10	0	6233	7	0																						
2806840			1949	23	11	0	1962	47	0			0	0																		
2806877			1876	-1390	1308	0	2323	365	0				0																		
2807173			395	110	0	0	285	0	0																						
2808602			24774	953	18	0	24702	899	0			0	0																		
2809373			0	0	0	0	0	0	0																						
2811086			243	-17	0	0	260	0	0																						
2815879			2644	0	0	0	2646	2	0																						
2819167			5239	533	600	0	5192	1086	0																						
2819242			3934	4	2	0	3933	5	0																						
2820604			5494	0	117	0	5378	1	0																						
2823221			2720	60	12	0	2662	14	0																						
2826017			0	0	0	0	0	0	0			0	0																		
2833882			8433	0	30	0	8403	0	0																						
2834759			17777	0	365	0	18506	1094	0																						
2835103			3536	67	7	0	3464	2	0																						
2836306			2567	30	15	0	2592	70	0																						
2838207			9205	1420	16	0	8133	364	0																						
2839053			987	-65	0	0	1052	0	0																						
2839790			7213	81	100	0	7050	18	0																						
2845755			3848	50	7	0	3791	0	0																						
2845782			0	0	0	0	0	0	0																						
2847085			705	21	30	0	654	0	0																						
2847142			11289	1348	4	0	9937	0	0																						
2849285			6834	225	0	0	6627	18	0																						
2849463			3495	40	45	0	3410	0	0																						
2849801		0	32944	1025	180	0	30408	169	1500			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2850722			26000	-2107	371	0	29000	1264	0			0	0																		
2850768			1393	0	4	0	1389	0	0			0	0																		
2855866			6551	106	26	0	6532	113	0																						
2855978			4268	0	1	0	4267	0	0																						
2857600			5394	0	1	0	5393	0	0																						
2858492			7603	75	4	0	7530	6	0																						
2858960		0	20326	2778	31	0	17806	289	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2181	0	
2860039			815	0	6	0	809	0	0																						
2860271			2862	70	4	0	2788	0	0																						
2860459			4883	651	51	0	4568	387	0				0																		
2861317			2875	0	0	0	2875	0	0																						
2867337			23904	950	87	0	23243	376	0				0																		
2869162			7611	150	1	0	7460	0	0																						
2871099			3514	125	14	0	3641	266	0																						
2871558			2378	0	0	0	2379	1	0																						
2873598		0	361	175	0	0	186	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2877345			8193	145	23	0	8025	0	0				0																		
2877484			185	0	0	0	185	0	0			0	0																		
2877831			1203	26	3	0	1185	11	0																						
2877840			9651	0	75	0	9576	0	0																						
2880019			9988	2947	94	0	9855	2908	0																						
