"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
1669																																																																																				382192	0				13.3592%			51093		382455	-4054	0										49493	382455	0	0.0000%	23452	0	116	23568	6.1665%	0	0	0	0	1		1600		1	0	47039	0	0	0	-4054	0	0	0		0	51093	0	0	51093	0	0	0	0	0	0						0	0	0		
1856																																																																																				47776	0				13.2485%			6330		47779	5	0										196	47877	0	0.0000%	3306	0	0	3306	6.9198%	0	0	0	0	1		6232		1	0	6433	98	0	0	5	0	0	0		0	6330	0	0	6330	0	0	0	0	0	0						98	0	0		
2161																																																																																				361707	0				10.5321%			36104		342800	-6434	0										14755	342800	0	0.0000%	9968	0	569	10537	2.9131%	0	0	0	0	1		21349		1	0	29670	0	0	0	-6434	0	0	0		0	36104	0	0	36104	0	0	0	0	0	0						0	0	0		
2732																																																																																				743570	0				14.2862%			105893		741224	-964	0										101216	742336	0	0.0000%	84712	0	1775	86487	11.6313%	0	0	0	0	1		5789		1	0	106041	0	1112	0	-964	0	0	0		0	105893	0	0	105893	0	0	0	0	0	0						1112	0	4431		
2750																																																																																						8300	519	519	11.8089%	16.9384%	15.8793%	7781	49001	65891	-546	0			8.9384%							170	65891								0	0	0		0		7611	15.8793%	1	0	7235	0	0	0	-546	0	0	0		0	7781	0	0	7781	0	0	0	0	0	0	0	0	0	519	0	0	0			
3252																																																																																						33645	1643	1643	10.7625%	26.0806%	24.8070%	32002	129004	297347	-3112	0			18.0806%							31502	297347								0	0	0		0		500	24.8070%	1	0	28890	0	0	0	-3112	0	0	0		0	32002	0	0	32002	0	0	0	0	0	0	0	0	0	1643	0	0	0			
3458																																																																																						6537	598	598	7.9571%	11.9976%	10.9000%	5939	54486	74638	-1076	0			3.9976%							4738	74638								0	0	0		0		1201	10.9000%	1	0	4863	0	0	0	-1076	0	0	0		0	5939	0	0	5939	0	0	0	0	0	0	0	0	0	598	0	0	0			
3720																																																																																				381552	0				10.6942%			41643		389399	-3026	0										25143	389399	0	0.0000%	22367	0	346	22713	5.9528%	0	0	0	0	1		16500		1	0	38617	0	0	0	-3026	0	0	0		0	41643	0	0	41643	0	0	0	0	0	0						0	0	0		
3971																																																																																						103730	8497	8497	10.1738%	11.9343%	10.9567%	95233	869172	936059	-7091	0			3.9343%							5938	940188								0	0	0		0		93425	10.9567%	1	0	92272	353	3687	90	-7091	0	0	0		0	95233	0	0	95233	0	0	0	0	0	0	0	0	0	8497	0	4129	0			
4156																																																																																						26033	2530	2530	8.0864%	12.8751%	11.6238%	23503	202197	290650	-3548	0			4.8751%							17429	292433								0	0	0		0		7857	11.6238%	1	0	21738	1783	0	0	-3548	0	0	0		0	23503	0	0	23503	0	0	0	0	0	0	0	0	0	2530	0	1783	0			
4231																																																																																				152324	0				12.7645%			19250		150809	-2067	0										6653	150812	0	0.0000%	4711	0	0	4711	3.0927%	0	0	0	0	1		12600		1	0	17186	0	0	3	-2067	0	0	0		0	19250	0	0	19250	0	0	0	0	0	0						3	0	1667		
5069																																																																																						213283	6194	6194	41.9320%	43.4790%	42.2164%	207089	490542	493869	700	0			35.4790%							198460	493869								0	0	0		0		8629	42.2164%	1	0	207789	0	0	0	700	0	0	0		0	207089	0	0	207089	0	0	0	0	0	0	0	0	0	6194	0	0	0			
5135																																																																																				609295	0				14.2203%			87437		614875	-628	0										63437	615917	0	0.0000%	78336	0	2058	80394	13.1946%	0	0	0	0	1		25042		1	0	87851	1042	0	0	-628	0	0	0		0	87437	0	0	87437	0	0	0	0	0	0						1042	0	2059		
5210																																																																																						270185	19055	19055	9.1993%	17.1981%	15.9852%	251130	1571016	2729880	-30904	-5992			9.1981%							168110	2754006								0	0	0		0		113138	15.9852%	1	0	250344	27842	2276	0	-24912	0	-5992	0		0	251130	0	0	251130	0	0	0	0	0	0	0	0	0	19055	0	30118	0			
5461																																																																																				844405	0				8.9641%			77789		867783	-23324	0										71557	867851	0	0.0000%	47531	0	520	48051	5.6905%	0	0	0	0	1		6300		1	0	54533	0	68	0	-23324	0	0	0		0	77789	0	0	77789	0	0	0	0	0	0						68	0	8703		
5751																																																																																				263946	0				14.9640%			39296		262604	-3694	0										31034	263694	0	0.0000%	29305	0	400	29705	11.2542%	0	0	0	0	1		9352		1	0	36692	1089	1	0	-3694	0	0	0		0	39296	0	0	39296	0	0	0	0	0	0						1090	0	110		
6039																																																																																				405087	0				8.8884%			35630		400858	-386	0										4593	400858	0	0.0000%	37704	0	524	38228	9.4370%	0	0	0	0	1		31037		1	0	35244	0	0	0	-386	0	0	0		0	35630	0	0	35630	0	0	0	0	0	0						0	0	0		
6329																																																																																						146779	13473	13473	9.0537%	13.6715%	12.4166%	133306	1073611	1472396	-7882	0			5.6715%							93850	1472940								0	0	0		0		40000	12.4166%	1	0	125968	0	0	544	-7882	0	0	0		0	133306	0	0	133306	0	0	0	0	0	0	0	0	0	13473	0	544	0			
7009																																																																																						108589	0	0	8.8798%	21.6922%	21.6922%	108589	500589	1222876	-4837	0			13.6922%							107537	1222876								0	0	0		0		1052	21.6922%	1	0	103752	0	0	0	-4837	0	0	0		0	108589	0	0	108589	0	0	0	0	0	0	0	0	0	0	0	0	0			
7045																																																																																						25013	1161	1161	8.6534%	20.2062%	19.2683%	23852	123789	275637	-5592	0			12.2062%							21427	275637								0	0	0		0		2425	19.2683%	1	0	18260	0	0	0	-5592	0	0	0		0	23852	0	0	23852	0	0	0	0	0	0	0	0	0	1161	0	0	0			
7072																																																																																						41182	3111	3111	10.1054%	16.0256%	14.8150%	38071	256976	376738	-1742	0			8.0256%							38316	381043								0	0	0		0		4060	14.8150%	1	0	40634	3707	598	0	-1739	0	-3	0		0	38071	0	0	38071	0	0	0	0	0	0	0	0	0	3111	0	4305	0			
7456																																																																																						11461	887	887	8.3928%	13.7075%	12.6467%	10574	83611	125989	-1387	0			5.7075%							3574	125989								0	0	0		0		7000	12.6467%	1	0	9187	0	0	0	-1387	0	0	0		0	10574	0	0	10574	0	0	0	0	0	0	0	0	0	887	0	0	0			
7634																																																																																				86036	0				12.1228%			10441		86127	-792	0										2181	86127	0	0.0000%	1794	0	0	1794	2.0852%	0	0	0	0	1		8260		1	0	9649	0	0	0	-792	0	0	0		0	10441	0	0	10441	0	0	0	0	0	0						0	0	1486		
8033																																																																																				382468	0				14.3535%			55062		383614	-225	0										47062	383614	0	0.0000%	61058	0	587	61645	16.1177%	0	0	0	0	1		8000		1	0	54837	0	0	0	-225	0	0	0		0	55062	0	0	55062	0	0	0	0	0	0						0	0	0		
8462																																																																																				183235	0				15.1735%			27691		182496	-3541	0										26991	182496	0	0.0000%	1008	0	618	1626	0.8874%	0	0	0	0	1		700		1	0	24150	0	0	0	-3541	0	0	0		0	27691	0	0	27691	0	0	0	0	0	0						0	0	10106		
8631																																																																																				73096	0				9.7617%			7223		73993	-1182	0										5923	73993	0	0.0000%	2801	0	145	2946	4.0303%	0	0	0	0	1		1300		1	0	6041	0	0	0	-1182	0	0	0		0	7223	0	0	7223	0	0	0	0	0	0						0	0	0		
9357																																																																																				576170	0				13.8115%			79180		573292	-784	0										54891	605663	0	0.0000%	15311	0	590	15901	2.7598%	0	0	0	0	1		56660		1	0	110767	28667	3704	0	-784	0	0	0		0	79180	0	0	79180	0	0	0	0	0	0						32371	0	465056		
9553																																																																																						19617	1212	1212	7.9434%	12.8277%	12.0352%	18405	152927	231701	-2731	0			4.8277%							16304	231701								0	0	0		0		2100	12.0352%	1	0	15673	0	0	0	-2731	0	0	-1		0	18405	0	0	18405	0	0	0	0	0	0	0	0	0	1212	0	0	0			
9807																																																																																						327283	24043	24043	10.6626%	17.0925%	15.8369%	303240	1914774	2843954	-2499	0			9.0925%							170968	2843954								0	0	0		0		132272	15.8369%	1	0	300741	0	0	0	-2499	0	0	0		0	303240	0	0	303240	0	0	0	0	0	0	0	0	0	24043	0	0	0			
9955																																																																																				202170	0				11.8653%			24032		202541	-3141	0										20899	202541	0	0.0000%	22633	0	9	22642	11.1995%	0	0	0	0	1		3133		1	0	20891	0	0	0	-3141	0	0	0		0	24032	0	0	24032	0	0	0	0	0	0						0	0	0		
10250																																																																																						54142	4235	4235	7.8813%	16.0272%	14.7736%	49907	337813	633233	-17528	0			8.0272%							13657	633233								0	0	0		0		36250	14.7736%	1	0	32379	0	0	0	-17528	0	0	0		0	49907	0	0	49907	0	0	0	0	0	0	0	0	0	4235	0	0	0			
10849																																																																																				294187	0				9.4335%			27661		293221	-2150	0										14066	295018	0	0.0000%	17979	0	29	18008	6.1213%	0	0	0	0	1		15391		1	0	27307	694	0	1102	-2150	0	0	0		0	27661	0	0	27661	0	0	0	0	0	0						1797	0	0		
11145																																																																																						43532	0	0	10.2599%	16.8945%	16.8945%	43532	257670	424291	-7410	0			8.8945%							17982	424741								0	0	0		0		26000	16.8945%	1	0	36572	450	0	0	-7410	0	0	0		0	43532	0	0	43532	0	0	0	0	0	0	0	0	0	0	0	450	0			
11640																																																																																				419443	0				11.1946%			47565		424891	-6465	0										4070	424891	0	0.0000%	70861	0	255	71116	16.9549%	0	0	0	0	1		43495		1	0	41100	0	0	0	-6465	0	0	0		0	47565	0	0	47565	0	0	0	0	0	0						0	0	0		
11837																																																																																						16567	892	892	10.9800%	23.2405%	21.9892%	15675	71285	142760	-2084	0			15.2405%							3675	142760								0	0	0		0		12000	21.9892%	1	0	13591	0	0	0	-2084	0	0	0		0	15675	0	0	15675	0	0	0	0	0	0	0	0	0	892	0	0	0			
12030																																																																																						82547	3993	3993	14.7824%	26.4975%	25.2157%	78554	311528	531403	-200	0			18.4975%							77954	531403								0	0	0		0		600	25.2157%	1	0	78354	0	0	0	-200	0	0	0		0	78554	0	0	78554	0	0	0	0	0	0	0	0	0	3993	0	0	0			
12142																																																																																						32347	1960	1960	9.3942%	19.5177%	18.3350%	30387	165732	323464	-13236	0			11.5177%							9487	323464								0	0	0		0		20900	18.3350%	1	0	17151	0	0	0	-10085	0	-3151	0		0	30387	0	0	30387	0	0	0	0	0	0	0	0	0	1960	0	0	0			
12311			16646882	1485038	2155961	8.4119%	12.4436%	10.8320%	14490921	133779000	172266411	-1283872	0			4.4436%						2417088	177737830								0	0	0		16352770	9.9406%	0	17485986	5223285	200970	38360	-1253492	241979	-193423	-78936		8804	13298439	0	0	13298439	780000	0	412482	1192482	0	1192482	670923	0	0	2155961	0	5471419	0																																						2																	0				1																															
12647																																																																																						20745	1073	1073	9.8415%	16.0440%	15.2141%	19672	129301	199888	0	0			8.0440%							2790	200312								0	0	0		0		17306	15.2141%	1	0	20096	0	424	0	0	0	0	0		0	19672	0	0	19672	0	0	0	0	0	0	0	0	0	1073	0	424	0			
12656																																																																																						2384	132	132	10.0263%	22.6659%	21.4109%	2252	10518	22461	0	0			14.6659%							1792	22461								0	0	0		0		460	21.4109%	1	0	2252	0	0	0	0	0	0	0		0	2252	0	0	2252	0	0	0	0	0	0	0	0	0	132	0	0	0			
12946																																																																																						233224	21811	21811	9.2156%	13.3902%	12.1380%	211413	1741749	2294070	-31204	0			5.3902%							147839	2314775								0	0	0		0		84279	12.1380%	1	0	200914	16297	4408	0	-31204	0	0	0		0	211413	0	0	211413	0	0	0	0	0	0	0	0	0	21811	0	20705	0			
13103																																																																																						415157	20900	20900	13.5078%	14.8827%	14.1335%	394257	2789525	2918740	-38193	9471			6.8827%							375630	2944130								0	0	0		0		34519	14.1335%	1	0	371956	11072	4847	0	-28749	0	-9471	0		0	394257	0	0	394257	0	0	0	0	0	0	0	0	0	20900	0	15919	0			
13251																																																																																						7220	488	488	10.4440%	18.5509%	17.2970%	6732	38920	64458	-295	0			10.5509%							4232	64458								0	0	0		0		2500	17.2970%	1	0	6437	0	0	0	-295	0	0	0		0	6732	0	0	6732	0	0	0	0	0	0	0	0	0	488	0	0	0			
13457																																																																																				28396	0				15.8209%			4296		27154	-75	0										103	27154	0	0.0000%	4942	0	0	4942	17.4039%	0	0	0	0	1		4193		1	0	4221	0	0	0	-75	0	0	0		0	4296	0	0	4296	0	0	0	0	0	0						0	0	0		
14155																																																																																				308293	0				10.6066%			32120		302830	-783	0										31784	302830	0	0.0000%	0	0	849	849	0.2754%	0	0	0	0	1		336		1	0	31337	0	0	0	-783	0	0	0		0	32120	0	0	32120	0	0	0	0	0	0						0	0	4021		
14650																																																																																				50101	0				10.7591%			5440		50562	0	0										5030	50652	0	0.0000%	230	0	0	230	0.4591%	0	0	0	0	1		500		1	0	5530	90	0	0	0	0	0	0		0	5440	0	0	5440	0	0	0	0	0	0						90	0	0		
14753																																																																																						6036	363	1340	7.4121%	20.8757%	16.2413%	4696	28914	63356	-533	0			10.2413%							3119	63356								0	0	0		0		1577	16.2413%	1	0	4163	0	0	0	-533	0	0	0		0	4696	0	0	4696	0	0	0	0	0	0	977	0	0	1340	0	0	0			
14865																																																																																						66681	5436	5436	8.0471%	12.0097%	11.0307%	61245	555225	761080	-1480	0			4.0097%							44018	762492								0	0	0		0		18639	11.0307%	1	0	61177	0	1166	246	-1480	0	0	0		0	61245	0	0	61245	0	0	0	0	0	0	0	0	0	5436	0	1412	0			
14977																																																																																				52980	0				19.2065%			10432		54315	0	0										10432	54315	0	0.0000%	11443	0	0	11443	21.5987%	0	0	0	0	1		0		1	0	10432	0	0	0	0	0	0	0		0	10432	0	0	10432	0	0	0	0	0	0						0	0	0		
16551																																																																																				428080	0				9.5029%			41426		435929	-4944	0										23859	438362	0	0.0000%	25984	0	100	26084	6.0933%	0	0	0	0	1		20000		1	0	38915	2433	0	0	-4944	0	0	0		0	41426	0	0	41426	0	0	0	0	0	0						2433	0	0		
17110																																																																																						35184	361	361	19.2376%	21.5467%	21.3256%	34823	163292	181015	0	0			13.5467%							27537	181015								0	0	0		0		7286	21.3256%	0	0	34823	0	0	0					0	0	34823	0	0	34823	0	0	0	0	0	0	0	0	0	361	0	0	0			
17147																																																																																						1452024	146733	146733	8.7559%	12.4555%	11.1968%	1305291	11657685	14907502	-82303	0			4.4555%			1				564692	15481302								0	0	10992		0		1314399	11.1968%	1	0	1796788	543649	18790	369	-80100	-52	-2151	0		0	1316283	0	10992	1305291	0	0	0	0	0	0	0	0	0	146733	0	573800	0			
