"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Not fully insured, affiliate sweep d	Fully insured, non-affiliate sweep d	Not fully insured, non-affiliate swe	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	12281	0	8246	23966	0	36649	0	0	0	0	36390	0	469		14434	2530	2349	28403	35921	0	0	225	0	0	3074	10085	6108	592	13159	520	516	382	302	5424	1721	0	0	1036	0	0	0	0	0	0	true							
242	8219	0	1060	13235	0	21639	0	0	0	0	24081	0	4149		4085	6065	1371	20579	19932	0	0	0	0	0	1366	2263	1722	287	3619	0	3626	531	0	1554	4157	0	0	3626	0	0	0	0	0	0	true							
279	82685	0	521	61204	0	138223	0	0	0	0	163792	0	1186		24164	12598	12197	137702	162606	0	0	5095	0	0	9775	22076	21370	1295	31851	5646	4017	4329	0	30354	13992	0	0	9663	0	0	0	0	0	0	true							
354	2465	0	148	12084	0	12084	0	0	0	0	18039	0	983		1392	6455	0	11936	15913	0	1143	0	0	0	598	1607	1295	2879	2205	261	0	1492	988	4987	2740	0	0	261	4122	0	0	0	0	0	true							
457	8950	0	502	12371	0	16542	0	0	0	0	36246	0	4639		5859	17605	2216	16040	31607	0	0	991	0	0	2212	3833	2609	492	6045	0	545	0	0	3287	545	0	0	545	0	0	0	0	0	0	true							
505	119365	4	45583	169948	0	280811	0	0	0	0	372317	0	88274		17383	214302	3699	235224	284043	0	0	771	0	0	7953	15966	4008	655	23732	6666	2759	641	0	11199	10066	23629	0	9425	0	23629	0	0	0	0	false							
1155	1186	1	17323	85938	0	298510	0	0	0	0	97264	0	9552		26844	42978	9125	280831	87712	355	0	2865	0	0	13059	14808	11473	1571	24552	5358	3931	2898	0	14069	12187	1603	0	8560	0	0	0	858	0	858	true							
1351	12180	0	11459	30672	0	52828	0	0	0	0	116586	0	10057		34277	33309	10089	41369	106529	0	0	5003	0	0	11614	31742	15982	0	43356	1053	9107	1598	0	25062	11758	0	0	10160	0	0	0	0	0	0	false							
1454	1072	0	38583	307259	0	490353	0	0	0	0	411717	671	27071		33545	315948	26633	451522	383975	248	0	10169	0	0	19383	18386	10575	4794	30540	30926	4060	3788	2785	19593	41559	8684	0	7495	0	0	0	5140	0	5140	true							
1669	50572	0	36068	98619	0	195577	0	0	0	0	149264	0	359		22668	46605	9831	159464	133852	45	15053	3973	0	0	12050	17665	8404	3266	29063	4605	2815	2747	533	18718	10700	0	0	7154	0	0	0	0	0	0	false							
1856	1495	0	1549	4571	0	7975	0	0	0	0	31816	0	4547		3264	16805	0	6426	21577	0	5692	0	0	0	3331	5905	1268	0	9236	1290	1467	256	0	7240	3013	0	0	2757	496	0	0	0	0	0	false							
2161	69872	0	10485	108994	0	134525	0	0	35911	0	195093	0	29300		36523	75669	7398	124009	165793	31	0	0	35911	0	3956	7698	31913	191	11654	875	3876	279	764	7236	5794	47506	0	4751	0	0	0	46142	0	40387	true							
2732	68154	0	5462	179704	0	244106	0	0	0	0	358501	0	11273		26868	135379	11427	238644	347228	0	0	4180	0	0	15925	32618	6682	685	48418	59370	35271	4417	0	29042	99058	0	0	94641	0	0	0	0	0	0	true							
2750	20876	0	6571	7316	0	22284	0	0	0	0	34799	0	7229		5030	909	1765	15713	27570	0	0	856	0	0	4801	3054	3256	122	7356	602	0	1179	0	6203	1781	0	0	602	0	0	0	0	0	0	true							
3252	20719	0	108190	54396	0	148302	0	0	14132	0	110014	0	45412		8107	19669	5672	40112	58133	0	6469	0	10813	10813	9364	18465	3686	2092	27829	17476	18214	328	0	25500	36019	4045	3319	35690	5659	0	0	2555	0	2555	false							
3458	4696	0	2908	10304	0	18161	0	0	2000	0	45730	0	8071		9149	13180	1078	15253	37659	0	0	266	2000	2000	6214	11752	3813	489	17966	586	4129	870	0	13121	5585	0	0	4715	0	0	0	0	0	0	true							
3720	93475	0	31619	103549	0	216204	0	0	0	0	129889	0	7969		16035	3436	5662	184585	121920	0	0	1911	0	0	7926	15956	1505	0	23882	1706	5474	412	0	9352	7592	0	0	7179	0	0	0	0	0	0	true							
3971	130441	0	199	167178	0	272962	0	0	203336	0	561731	0	2153		257243	116439	13466	272763	353002	0	206576	3702	203336	163739	83301	131987	78433	4391	215287	1349	7310	6689	1391	40869	16739	0	0	8659	3075	0	0	0	0	0	true							
4156	34248	0	15151	55933	0	125856	0	0	0	0	126445	47	15036		14519	44122	3690	110696	109629	9	1733	1639	0	0	17900	13683	7544	2657	31583	1619	3086	601	986	27264	6292	15597	0	4705	747	0	8776	0	0	8776	true							
4231	26105	0	21042	40712	0	66181	0	0	0	0	68086	0	2978		12602	11558	12195	45139	65108	0	0	8143	0	0	2863	10771	4408	6837	13628	273	1943	1104	2223	12277	5543	0	0	2216	0	0	0	0	0	0	true							
5069	39440	0	0	43587	0	45338	0	0	120204	0	252610	6000	987		54072	58641	1054	45338	179995	0	65628	711	120204	77710	13141	45660	46863	99	58801	8520	14053	25193	1000	51691	48766	0	0	22573	7338	0	0	0	0	0	false							
5135	38854	0	50947	110427	0	219938	0	0	18551	0	267248	0	14220		66924	64144	18320	168991	234011	0	19017	9815	18551	0	30233	73055	22610	0	103288	14131	23600	621	0	58974	38352	0	0	37731	0	0	0	0	0	0	true							
5210	414794	36	191730	619712	0	1232112	0	0	0	0	1138626	0	93834		192114	351193	75231	1038855	1044792	1491	0	21392	0	0	69925	145523	63607	11101	213049	22932	43874	11341	4336	98042	82483	34546	0	66307	2437	0	0	0	0	0	true							
5461	485749	0	30799	70421	0	70421	0	0	0	0	696165	0	20532		4656	189557	3002	39622	675633	0	0	796	0	0	3280	5675	1176	340	8955	5123	5265	0	0	5815	10388	76395	0	10388	0	0	0	76395	0	76395	true							
5751	21276	0	12925	45792	0	88633	0	0	3499	0	128257	0	18495		14770	72659	6045	75708	107500	0	2262	2456	1984	744	9247	12308	7167	1357	21555	2200	502	1541	0	15309	4243	7273	1019	2701	994	0	0	0	0	0	true							
6039	57410	0	16986	186199	0	218390	0	0	0	0	167690	0	7071		36019	37563	9768	201404	160619	0	0	2296	0	0	14247	38664	10503	925	52911	2544	3904	1929	0	28320	8377	0	0	6448	99	0	0	0	0	0	true							
6329	143081	0	7556	525717	0	696741	0	0	0	0	665474	0	48061		70305	251136	13846	687693	614186	1492	3227	4489	0	0	58246	114987	19516	6621	173233	12531	49516	7446	2394	129065	71887	117442	0	62047	0	0	0	82217	0	82217	true	161474	124027	0	251136	143080	0	
7009	0	0	0	203867	0	203867	0	0	0	0	570133	0	0		0	570133	26	203867	570133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91909	478224	0	0	0	false							
7045	40581	0	19365	34564	0	158120	0	0	0	0	91966	0	6631		15770	23035	6429	138755	85335	0	0	302	0	0	5158	11147	7227	4518	15360	0	0	302	0	12280	302	0	0	0	0	0	0	0	0	0	true							
7072	131772	5	2049	89621	0	126345	0	0	1270	0	280794	0	15427		37443	68209	15344	124291	265367	0	0	4063	1270	1002	13410	29170	16904	1978	42580	1530	13114	4706	0	24019	19350	0	0	14644	0	0	0	0	0	0	true							
7456	36086	0	23851	26859	0	64445	0	0	0	0	54782	0	5026		11199	0	2564	40594	49756	0	0	235	0	0	4183	7869	4061	233	12052	559	1791	0	0	5147	2350	0	0	2350	0	0	0	0	0	0	true							
7634	13972	0	1671	17988	0	23777	0	0	0	0	53839	0	170		12611	1794	7014	22106	53669	0	0	4781	0	0	5785	20699	2271	761	26484	1709	6580	0	267	16906	8556	0	0	8289	0	0	0	0	0	0	false							
8033	37704	0	2494	92954	0	143049	0	0	7000	0	151750	0	745		40869	0	7407	140555	148925	0	2080	3851	0	0	19394	37580	22199	6575	56974	16811	3747	6438	1303	44879	28299	3858	7000	20558	2080	0	0	0	0	0	true							
8462	1264	0	6717	61600	0	115836	0	0	0	0	37866	0	9796		7777	5509	3455	108869	28070	250	0	1847	0	0	9438	7801	1189	0	16732	3250	9415	0	0	10651	12665	0	0	12665	0	0	0	0	0	0	true							
8631	20693	0	1223	24819	0	30199	0	0	0	0	37422	0	1061		5546	4880	1977	28976	36361	0	0	960	0	0	1338	5138	2190	960	6475	320	1905	0	0	4080	2225	0	0	2225	0	0	0	0	0	0	true							
9357	196008	220	4246	59797	0	68095	0	0	1	0	435804	10031	0		770	236481	663	63629	425773	0	0	351	1	1	417	980	461	0	1397	1458	0	0	0	1087	1458	18873	0	1458	0	0	0	18873	0	18873	true							
9553	23886	0	14306	35211	0	69173	0	0	4160	0	79061	0	4000		17217	9598	6548	54867	73304	0	1757	0	4160	0	6920	17985	8807	4289	24905	1753	3688	1315	821	20784	7577	0	0	5441	993	0	0	0	0	0	true							
9807	826559	0	31714	156360	0	226063	0	0	0	0	2247851	0	537229		43594	1092420	78943	194349	1710622	0	0	2419	0	0	15507	56792	22425	389	72298	182105	49411	2245	0	51517	233761	10600	0	231516	17534	0	0	0	0	0	true	11348	28208	625071	173995	466106	334705	
9955	17373	30	3984	47363	0	75675	0	0	90	0	83553	0	17294		4528	56411	731	71661	66259	0	0	0	90	0	1647	4009	2088	212	5656	0	1513	300	0	3428	1813	0	0	1513	0	0	0	0	0	0	true							
10250	271062	0	1245	45074	0	83392	0	0	0	0	506833	0	6876		39633	158558	26466	82147	499708	0	249	10330	0	0	8926	15030	23144	12438	23956	2772	4477	3639	6785	19905	17673	821	0	7249	249	0	0	0	0	0	true							
10849	97454	0	11539	7730	0	25651	0	0	0	0	235826	0	41489		33938	56824	8002	14111	194337	1	0	2328	0	0	14642	32260	15517	738	46902	2768	7245	8378	0	29219	18391	0	0	10013	747	0	0	0	0	0	false							
11145	68261	0	51548	106379	0	200459	0	0	0	0	157080	0	18079		18026	46273	8786	148910	139001	1	0	4631	0	0	5625	11203	8447	5640	16828	2058	3559	4474	1541	12889	11632	0	0	5617	0	0	0	0	0	0	true							
11640	24078	0	62656	110508	0	236828	0	0	0	0	134924	0	3038		27291	43146	18169	174172	131886	0	0	10614	0	0	12170	20558	11332	7372	32680	3634	4784	4423	3426	24142	16267	0	0	8418	0	0	0	0	0	0	true							
11837	8380	0	37298	17029	0	71582	0	0	0	0	46940	0	80		10818	18296	2128	34284	46860	0	0	613	0	0	2532	12038	2952	1172	14570	0	1221	349	0	7876	1570	0	0	1221	0	0	0	0	0	0	true							
12030	59387	0	46063	185002	0	250285	0	0	0	0	216312	0	3101		49932	53056	15417	204222	213011	0	200	4905	0	0	20240	42454	20228	2290	62694	4062	4189	10406	0	35280	18657	0	0	8251	0	0	0	0	0	0	false							
12142	46118	0	28948	106118	0	193651	0	0	0	0	102107	0	2634		17902	16639	6797	164703	99473	0	0	2191	0	0	11734	18651	1700	0	25439	2046	4919	300	0	14183	7265	0	0	6369	0	0	0	0	0	0	true							
12311	20897245	17184	8022970	63796885	0	86819249	0	0	3986231	0	61870646	0	1556481		1866040	37953576	1286075	78770724	60305964	8371	8201	124599	3980664	3980545	893801	1231864	399935	87734	2125665	162233	189230	43748	11280	747294	406491	2068388	5567	351463	0	0	279878	5539867	0	1842052	true	12486772	18654107	23952229	11884580	434093	20450967	
12647	36279	0	2737	54471	0	66428	0	0	0	0	101131	0	7986		10125	44679	3064	63691	93145	0	0	942	0	0	4222	7594	5005	0	11816	259	3093	0	0	6696	3352	0	0	3352	0	0	0	0	0	0	true							
12656	3379	0	1234	6595	0	10207	0	0	0	0	9601	0	1602		1917	2142	735	8973	7999	0	0	217	0	0	753	1877	887	30	2630	256	0	277	0	1630	533	0	0	256	0	0	0	0	0	0	true							
12946	172115	0	461995	597054	0	896389	0	0	0	0	1363433	0	304472		133343	612932	50348	434394	1058961	0	0	23784	0	0	65639	151496	51295	11604	215620	142764	110202	44852	534	146691	298352	321573	0	252404	0	0	0	0	0	0	true							
13103	881744	0	58104	180702	0	402007	0	0	0	0	2155927	0	435074		112761	964915	62923	343686	1718949	217	1904	26561	0	0	49898	85589	34824	21067	135487	37775	62877	10786	6454	78615	117892	0	0	100652	0	0	0	5139	0	5139	true	13007	146738	478056	260617	297916	373490	
13251	6491	0	899	12920	0	19192	0	0	0	0	39341	0	3139		4733	28118	959	18293	36202	0	0	0	0	0	1172	2939	621	0	4011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true							
13457	4212	0	531	6145	0	10651	0	0	0	0	12367	0	332		1763	2744	1081	10120	12035	0	0	0	0	0	766	2071	670	0	2837	1905	0	0	0	1744	1905	0	0	1905	0	0	0	0	0	0	false							
14155	37993	0	13235	91947	0	161170	0	0	0	0	126301	0	14760		14806	57341	6372	145698	110547	2237	994	2540	0	0	6414	13379	4120	2857	19792	943	3255	0	0	11964	4198	51293	0	4198	0	0	0	40725	0	40725	true							
14650	9465	0	7114	13054	0	23351	0	0	0	0	22315	0	458		3607	1813	2381	16237	18137	0	3720	1489	0	0	3412	2539	3335	129	5514	706	518	398	0	5808	1622	0	0	1224	0	0	0	0	0	0	true							
14753	23357	0	1196	22262	0	22262	0	0	0	0	34878	0	2537		6875	0	2754	21066	32341	0	0	795	0	0	2498	6918	690	188	9416	500	727	0	0	3419	1227	0	0	1227	0	0	0	0	0	0	false							
14865	178071	2	36126	474711	0	474711	0	0	0	0	296085	0	19083		22442	73014	14091	438583	276995	0	7	4409	0	0	19743	9585	8179	2507	24523	555	2109	1914	410	17571	4988	78596	0	2664	0	0	0	0	0	0	true							
14977	6699	0	0	12030	0	16319	0	0	0	0	27595	0	0		6647	954	3801	16319	27595	0	0	1911	0	0	3996	9680	1808	0	13676	1041	2465	951	0	8837	4458	0	0	3506	0	0	0	0	0	0	false							
16551	71487	0	12798	103479	0	173234	0	0	0	0	213216	0	7593		46944	55826	22985	160436	205623	0	0	7077	0	0	10961	27836	31852	958	38797	1956	8946	3393	0	24664	14295	0	0	10901	0	0	0	0	0	0	true							
17110	0	0	0	0	0	0	0	0	0	0	138204	0	6807		19713	0	8663	0	131397	0	0	5148	0	0	59788	0	0	0	59788	78415	0	0	0	40075	78415	0	0	78415	0	0	0	0	0	0	false							
17147	1979155	0	1863110	3488176	0	8838733	0	0	364855	0	5784981	0	855694		412442	2895713	149373	6974177	4929287	1446	0	30819	364855	349289	210831	320025	135141	19766	493878	83089	95863	41162	4235	273321	224349	142800	0	37521	0	0	0	0	0	0	true	301653	2036374	1460405	910290	1315157	660781	
17259	16512	0	2130	13519	0	21361	0	0	0	0	33068	0	4110		7158	1661	4554	19231	28958	0	0	2078	0	0	1530	8913	1418	361	10443	278	2395	0	0	5064	2673	0	0	2673	0	0	0	0	0	0	false							
17950	132406	342	60223	163089	0	293563	0	0	15014	0	413094	294	59525		33796	198471	22392	232998	337018	0	16257	11093	0	0	10336	27797	15377	1771	38097	9342	15049	1627	919	21485	26937	0	0	24075	0	0	0	0	0	0	true							
17978	70665	0	0	3327	0	48043	0	0	0	0	146629	0	1002		38929	2677	29091	48043	143213	0	2414	12857	0	0	7559	29835	15385	7644	37394	3904	4624	4060	275	21495	12863	0	0	8527	0	0	0	0	0	0	true							
18050	151854	0	102470	367562	0	485440	0	0	0	0	409080	0	19809		40231	76851	12655	382970	387956	0	1315	5143	0	0	28675	53050	14545	0	79082	14133	51417	18555	0	56039	84105	31239	0	65550	0	0	0	6815	0	6815	false							
18827	1142813	0	26670	78268	0	152430	0	0	0	0	1474329	0	300094		54093	204795	19253	123929	1173807	1831	428	4073	0	0	15990	48054	13811	9248	64044	15080	21135	2119	1284	33010	39618	11257	0	36215	0	0	0	0	0	0	true							
18836	31293	0	4547	54066	0	73202	0	0	0	0	111472	0	6435		32536	22928	13304	68655	104796	0	241	5228	0	0	16961	20688	11621	3707	34477	1248	1908	1118	0	20441	4274	4955	0	3156	0	0	0	504	0	504	true							
18854	89623	0	287654	791699	0	848405	0	0	154937	0	498258	0	10240		35913	223314	6617	560751	477640	0	10378	4685	154937	154937	68438	56895	19070	203	125333	6369	28888	5458	0	108693	40715	364720	0	35256	10494	0	0	0	0	0	true	0	0	125960	97354	61212	28411	
19356	13631	0	5469	28825	0	46701	0	0	2977	0	40837	0	2161		7053	3062	1213	41232	34214	0	4462	0	2977	1486	2011	8029	4525	486	9933	0	6880	2213	0	7997	9093	0	0	6880	0	0	0	0	0	0	false							
19936	25951	0	42370	111147	0	226474	0	0	0	0	166765	0	18914		16214	104727	7743	184104	147851	0	0	3375	0	0	7423	16853	4563	2653	24259	841	1887	1867	0	15278	4595	0	0	2728	0	0	0	0	0	0	true							
19972	102851	0	0	0	0	0	0	0	0	0	102851	0	0		0	0	0	0	102851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false							
20053	24816	0	2260	35600	0	47145	0	0	5952	0	83480	0	6368		20503	26664	8061	44885	77112	0	0	8061	5952	996	5463	7649	12630	215	11030	2797	1961	1285	0	5454	6043	5663	0	4758	0	0	0	0	0	0	true							
20633	64618	0	20902	45934	0	155503	0	0	0	0	147510	0	15319		23213	33059	11864	134596	130451	5	1740	4045	0	0	6698	10673	21776	5065	17371	2668	1306	1280	367	20999	5621	26156	0	3974	0	0	0	0	0	0	true							
20857	61925	0	61099	154886	0	253072	0	0	0	0	183925	0	17817		22661	71164	14125	191973	166108	0	0	0	0	0	6942	20794	6339	3327	27736	2422	8678	1876	459	14742	13435	0	0	11099	0	0	0	0	0	0	true							
21256	1590	0	4166	3811	0	8383	0	0	0	0	3805	0	313		405	645	1257	4217	3492	0	0	823	0	0	100	124	306	217	224	0	0	0	823	341	823	0	0	0	0	0	0	0	0	0	true							
21359	16717	0	2605	20092	0	28381	0	0	0	0	41258	0	2204		3473	19272	3904	25776	39054	0	0	0	0	0	721	3345	800	147	4066	0	256	0	0	1540	256	0	0	256	0	0	0	0	0	0	true							
21658	37974	1	11942	108215	0	108215	0	0	3	0	95388	0	3001		29313	11294	15379	96272	92387	0	0	5843	3	3	7575	17930	12215	2634	25475	2041	2037	628	1062	11040	5768	0	0	4078	0	0	0	0	0	0	true							
22048	41404	0	28189	149375	0	149375	0	0	2736	0	96155	0	8518		18134	0	6639	121186	87347	0	290	2846	2736	2428	11037	15490	13422	96	26421	3295	7262	4149	0	21911	14706	0	0	10557	0	0	0	0	0	0	true							
22543	80297	15	17729	140978	0	188832	0	0	0	0	150254	0	10611		10018	52606	5503	170591	138897	497	746	2291	0	0	4319	5243	3609	1607	9560	1417	438	456	261	4760	2572	16754	0	1855	0	0	0	12164	0	12164	true							
22552	18958	0	3862	9676	0	50185	0	0	4652	0	59799	0	2680		15018	8997	2886	46323	57119	0	0	230	4652	2662	4152	14268	10857	11	18420	518	544	1495	0	14270	2556	0	0	1062	0	0	0	0	0	0	true							
22730	122	0	34151	100053	0	134294	0	0	0	0	90588	0	15468		8396	75318	2407	100143	75120	0	0	590	0	0	2698	3737	4438	1906	6056	546	0	823	1000	4383	2369	0	0	546	0	0	0	0	0	0	true							
23456	34028	0	13231	38910	0	150173	0	0	0	0	117938	0	11708		32402	21621	14428	136942	106230	0	0	2930	0	0	9437	21626	15528	3349	31063	1992	9160	942	255	17539	12349	0	0	9645	0	0	0	0	0	0	true							
23504	5221628	0	144212	1284397	0	1515463	0	0	287761	0	9065322	0	1768693		284678	2884382	174630	1371251	7296629	0	0	67359	287761	287761	206002	256951	248085	23021	462953	82948	95778	42006	4521	449381	225253	466478	0	178726	0	0	0	469477	0	386346	true	322925	32235	1142540	1077358	1284989	886301	
23643	22282	0	29515	57351	0	115541	0	0	0	0	118912	0	11481		25185	2446	6527	86026	107331	0	100	2646	0	0	11481	28212	12571	2211	39693	6558	22226	4973	5950	29291	39707	0	0	28784	0	0	0	0	0	0	true							
23755	100391	130	9096	89306	0	142883	0	0	0	0	138808	0	7388		7997	22516	4166	133657	131420	0	0	1062	0	0	3061	5598	2965	1870	8659	0	1000	1105	300	5498	2405	8134	0	1000	0	0	0	0	0	0	false							
24006	421997	1	69365	246277	0	507724	0	0	20000	0	1149466	0	58276		141445	399026	61498	438358	1091190	0	0	19900	20000	0	58760	104186	80089	22347	162946	13595	22927	21074	5465	123937	63061	1436	0	36522	0	0	0	1436	1302	1436	true							
24378	27506	0	0	11782	0	18949	0	0	0	0	48704	0	501		11663	2668	4926	18949	48203	0	0	1264	0	0	1609	4039	5928	6073	5648	0	0	314	566	5987	880	0	0	0	0	0	0	0	0	0	false							
24659	45227	0	2810	36442	0	63476	0	0	0	0	56828	0	2656		7896	754	4097	60666	54172	0	0	1690	0	0	3771	3182	2030	1119	5915	745	0	0	0	2205	745	0	0	0	0	0	0	0	0	0	true							
24668	38111	0	59690	542329	0	576005	0	0	0	0	1039276	0	97995		74316	681230	36182	515817	937494	498	3787	19986	0	0	65586	120908	15390	2567	185368	44040	64841	4935	1668	130135	115484	128293	0	108123	0	0	0	0	0	0	false							
24949	70472	0	16223	152779	0	204520	0	0	0	0	250795	0	5143		55085	94606	13063	187303	245652	994	0	3529	0	0	9045	44566	23907	341	53601	1412	2354	4092	0	22774	7858	17298	0	3766	0	0	0	13570	0	13570	true							
25357	243011	110	18977	15647	0	46979	0	0	0	0	368556	252	4741		28609	52384	10182	27892	363563	0	0	5616	0	0	20527	31651	5581	6315	52178	3175	4320	0	1591	35465	9087	0	0	7495	0	0	0	0	0	0	true							
25647	34012	16	0	74868	0	77110	0	0	0	0	219008	0	8042		35270	62660	8038	77094	209484	0	1482	3516	0	0	20777	48772	20801	2761	69549	8467	13963	5883	912	57841	29225	0	0	22430	1482	0	0	0	0	0	false							
26457	4331	0	2057	6945	0	11985	0	0	0	0	29138	0	5123		3729	17610	698	9928	24015	0	0	466	0	0	1932	2837	1330	68	4769	0	252	778	0	2438	1030	0	0	252	0	0	0	0	0	0	true							
26765	84734	0	21766	119554	0	279284	0	0	0	0	2704647	0	139021		51560	2161263	10767	256663	2557572	855	8054	8057	0	0	70383	76989	18867	2500	147371	146397	118675	21805	3034	117179	289911	17027	0	265072	7786	0	0	7542	0	7542	true							
27070	201579	0	18659	185087	0	185087	0	0	12015	0	572407	0	20262		115256	165374	57815	166180	550971	248	1174	21145	12015	12015	50182	80427	44478	6755	121579	6554	11397	4458	1203	66586	23612	17773	0	17640	0	0	0	14188	0	14188	false							
27548	184152	0	90190	395141	0	704989	0	0	0	0	522635	0	75739		38700	257805	21551	607711	445205	7088	1691	1182	0	0	13200	25705	19707	4715	38905	2966	7017	4522	2846	24627	17351	110648	0	9983	1194	0	0	110648	0	93018	true							
27614	159099	0	5122	151521	0	285304	0	0	0	0	259803	0	32279		28385	54561	11142	280182	227524	0	0	530	0	0	13641	18524	5589	3801	27905	754	2148	1434	251	13170	4587	0	0	2902	0	0	0	0	0	0	true							
27847	90567	0	54459	174769	0	289511	0	0	4169	0	395062	0	28621		98416	63171	36560	233561	359162	1491	7279	17868	0	0	30143	78916	76997	4687	109059	11521	23163	13561	2335	92327	50580	13460	4169	34684	7279	0	0	0	0	0	true							
28013	1167049	0	431860	307436	0	543292	0	0	210130	0	3978557	0	232894		349953	2288729	67699	111432	3745663	0	0	23656	210130	210130	210311	203255	42471	7648	413566	8868	36805	9421	4000	113730	59094	0	0	45673	0	0	0	0	0	0	true	63057	48375	2087155	201339	1163496	3533	
28152	47750	0	7992	55304	0	83473	0	0	12	0	111817	0	6537		16192	40460	8447	75481	105032	0	248	2727	12	12	8610	8182	4213	1298	13322	804	501	0	0	6111	1305	4074	0	1305	0	0	0	0	0	0	true							
28675	21541	0	19783	55432	0	56593	0	0	58895	0	126771	0	11444		69982	24820	3639	36810	115327	0	0	975	58395	42149	11866	39520	18081	4306	51386	2116	2260	1759	502	3791	6637	0	500	4376	0	0	0	0	0	0	false							
28732	32888	0	3253	53219	0	61901	0	0	0	0	74651	0	4021		6231	22921	3466	58648	70630	0	0	1545	0	0	3280	8957	1454	91	12236	402	4118	541	0	7549	5061	0	0	4520	0	0	0	0	0	0	true							
29476	11621	0	711	10528	0	27370	0	0	2182	0	46812	0	857		9523	888	4218	26659	42376	0	3579	2604	0	0	6169	13702	6794	2410	19871	344	4067	317	500	19553	5228	3110	2181	4411	5167	0	0	0	0	0	true							
29636	135503	0	67282	107181	0	223315	0	0	0	0	895208	0	167904		83311	560705	36860	156033	727304	0	0	17884	0	0	22102	60888	56826	6324	82990	12911	18071	20094	1784	62829	52860	0	0	30982	0	0	0	0	0	0	false							
29878	840244	0	0	59822	0	212029	0	0	0	0	1256205	0	0		177971	24510	82806	212029	1256205	0	0	29070	0	0	83781	176776	63714	7672	260557	16171	27120	13271	2947	153971	59509	0	0	43291	0	0	0	0	0	0	true	25568	141014	24466	44	821250	18994	
30052	5435	0	0	22517	0	26865	0	0	0	0	23698	0	0		764	12422	48	26865	23698	0	0	0	0	0	578	1121	2765	0	1699	0	877	500	0	3700	1377	0	0	877	0	0	0	0	0	0	true							
30502	167891	1	122008	244659	0	587959	0	0	0	0	451904	0	16795		41200	211235	17907	461300	434862	4650	247	4727	0	0	11251	25603	20327	5692	36729	552	7177	2176	0	21673	9905	0	0	7729	0	0	0	0	0	0	true							
