"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	26	48															11	361	4	573	0	0	3	84	0	0	0	0	false	true	
242	95	65													43	50													true	true	
279			28	1255	35	4185	26	8648	128	2579	15	1741	8	1731			19	1070	20	2510	5	874	13	210	0	0	0	0	false	false	
354			7	318	4	516	0	0	13	316	0	0	0	0			6	288	0	0	0	0	28	678	0	0	0	0	false	false	
457			6	278	15	1533	11	4140	57	1480	19	2071	16	6369			7	304	8	964	8	1520	48	1327	9	1004	10	2393	false	false	
505			5	204	37	5026	57	23041	198	3786	86	6376	47	8774															false	false	
1155			56	2240	57	6844	69	27061	305	6600	74	6404	57	20554			20	637	35	4671	24	7121	109	2769	35	2760	12	1761	false	false	
1351			160	4537	37	4359	28	12376	274	5977	32	4037	19	7016			32	1297	13	1559	8	2792	95	1657	12	1180	3	785	false	false	
1454			23	1037	45	5559	75	28744	313	5981	75	8230	89	25005			0	0	10	1132	7	1693	46	1273	9	892	8	1429	false	false	
