"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
107459												
107570												
107758												
108072												
108269												
108652												
108746												
108951												
109136												
109154												
109453												
109574												
109659												
110413						788563	0	0	3806	268922	515835	
110936												
110945												
110972												
111157												
111205												
111942												
111979												
112163						68598	0	0	19702	37006	11890	
112332												
112510												
112556												
112837	87506713	3084957	93494	75105999	9222263	87500758	1528298	87539	1556659	75105999	9222263	
113003						68339	434	0	1807	2031	64067	
113030												
113441												
113601												
113740						165890	7790	0	3011	20555	134534	
114149												
114260						248773	65	0	28128	707	219873	
114457												
114774												
114840												
114859												
115146												
115575												
116358												
116554												
116741												
117038												
117074												
117458												
117775												
118156												
118660												
118736												
119153						3411	1422	0	1609	371	9	
119528												
119779						155927	7467	0	3074	1946	143440	
119872												
120476												
120542												
120609												
120953												
121642						343741	390	0	60277	16201	266873	
121651												
121914												
122153												
122546												
122854						777137	74778	0	28543	489999	183817	
123075												
123374												
124344												
124830												
125154						40506	1129	0	22113	635	16629	
125855												
125873												
126012												
126049												
126375												
126553						54548	0	0	1719	9246	43583	
126834												
127055												
127224												
128258												
128904						364920	38275	13679	52326	4399	256241	
129349												
129358												
129479												
129732						141901	0	0	25448	34717	81736	
129853												
129910												
130345												
130541						110217	27	0	55690	49360	5140	
130813												
131436						137179	4622	0	10100	16914	105543	
131717												
131940												
132107												
132451												
132778												
132938												
133579						10517	28	0	6443	105	3941	
133850												
133971												
134156												
134437						51426	1	0	10358	41016	51	
134455												
134848												
135836												
135854												
136048												
136338												
136459												
136655												
137205												
137447												
137456												
137559												
137643												
137652						61859	0	0	253	357	61249	
137915						227213	999	0	322	13287	212605	
138051												
138257												
138556												
139133						15802	0	0	1644	11035	3123	
139478												
139553												
139656						106395	25988	0	29828	1735	48844	
139740						26935	18772	0	4308	2017	1838	
139834												
139843						53220	17116	0	16321	7001	12782	
140157												
140362						80105	0	0	941	24278	54886	
140634												
141211												
141341												
141350												
141556						286180	3308	0	1907	93450	187515	
141677												
141958												
142049												
142179												
142955												
143372												
143662						1002437	153794	11106	137123	13893	686521	
143859												
143952												
144034												
144052												
144155						11703	5284	0	1912	3915	592	
144678												
144856												
144913												
145059												
145545												
145554												
145741												
145844												
146056												
146663												
146672						436165	117245	0	79392	1491	238037	
147651												
147679												
147857												
147923												
148171												
148238												
148340												
148470												
148715												
148920												
149150												
150035						60888	17298	0	12838	6936	23816	
150044												
150727												
151546												
151957												
152057												
152253												
152431												
152440												
153054												
153353												
154154												
154770												
155759												
156457												
156635												
156970												
157155												
157379												
157650												
157744												
157856												
158376												
158741												
159636						195555	55	0	21721	91846	81933	
159645												
159953												
159971												
160360												
160454												
160650						31151	14713	0	2849	6899	6690	
160959						121802	6736	0	6187	1926	106953	
161273												
161602												
162337												
163343												
163549						37067	104	0	6253	30709	1	
163857												
164153												
164331												
164377												
164957												
164975												
165628						481859	65019	0	96934	134681	185225	
165758												
166111												
166531												
166652						86682	0	0	2646	11425	72611	
166849												
167453												
167752												
168357												
168571												
169327												
169354												
169653						392356	35365	0	34610	10379	312002	
169756												
170257												
170275												
170332						14649	562	0	3424	472	10191	
171133	88202	1008	0	66434	20760	88202	340	0	668	66434	20760	
171656												
171759												
171768												
172251												
172457												
172475												
172859												
173306						27488	2316	0	1526	5217	18429	
173342												
173557												
173575						9901	2694	0	2672	1265	3270	
173641												
173959												
174321												
174367												
174572						100719	48182	0	22134	8441	21962	
175056						21344	124	0	1895	19008	317	
175140						18108	4	0	2101	16003	0	
175458												
175609												
176101						271439	0	0	5865	12510	253064	
176325						8035	0	0	1695	6340	0	
176437												
176464												
176642												
177135												
177443												
177500												
177555												
177751												
177920						59308	7016	0	4706	27207	20379	
178150												
178244												
178356												
178851												
179148												
179335												
179700						9898	2346	0	1743	2013	3796	
180144												
180537												
180845												
181963												
182951												
183668												
183770												
183958												
184656												
184759												
185251												
185448												
185859												
186221						86622	2	0	7603	13753	65264	
186548												
186717												
186744												
187648												
187947						34376	8546	0	5150	386	20294	
188056												
188177												
188430												
188449						31785	0	0	0	31785	0	
188720												
188739												
188917												
189129												
189745						65011	0	0	2272	9078	53661	
189950												
190563												
190648												
190947												
190956												
191355						33447	78	0	1948	497	30924	
191935												
192147						95500	0	0	4941	2646	87913	
192558						20692	3232	0	5599	6249	5612	
192651												
192857												
193162												
193247												
193537												
193649												
193809						12424	6408	0	3260	128	2628	
194440												
194570												
194936												
195111												
195157												
195456												
196752												
196800						34841	5189	0	5747	1595	22310	
197142												
197254												
197302												
197478	2610916	252399	1492444	168970	697103	1889968	117822	771496	134577	168970	697103	
197759												
198073												
198149												
198251												
198961												
199137												
199351												
199436												
199463												
200042												
200378						243064	16346	0	25242	25967	175509	
200435						218824	112	0	10679	1451	206582	
201254												
201834						255508	3112	0	3268	12044	237084	
202514												
202541												
202907						186960	80846	1075	87669	7845	9525	
203043						23111	6	0	3123	13051	6931	
203052												
203575												
204004						176461	1	0	68215	76615	31630	
204077												
204237												
204826												
205243												
205346												
205458												
205542												
206156												
206174												
206473												
206772												
206950												
207041												
207050												
207452												
207470												
207555												
207845												
207872												
208057						131785	4728	0	1252	5653	120152	
208244	797964	211532	350	142923	443159	797838	1722	224	209810	142923	443159	
208347												
208440												
208459												
208570												
208655												
208972												
209148						74548	0	0	3794	2610	68144	
209362												
209559												
209858												
210238												
210256												
210434	46128526	152440	23064304	30880	22880902	21190024	80739	28662	71659	30859	20978105	
210779												
211114												
211271						206599	3195	0	2917	3102	197385	
211338												
211851												
212018						21041	5566	0	2464	6578	6433	
212335						43379	43	0	3495	1855	37986	
212344												
212465	10670995	1069859	94160	322786	9184190	10670995	511399	94160	558460	322786	9184190	
212522						41748	13591	0	22198	5042	917	
212577						128542	942	0	18928	28721	79951	
213471												
213538												
213912												
213958												
214106						69415	9637	0	3956	2059	53763	
214414						58597	14950	0	11302	12630	19715	
214722						34578	9805	0	4378	18317	2078	
214807						18194000	30000	0	0	21000	18143000	
214843												
215345												
215354												
215653												
215662						34684	13399	0	5579	1718	13988	
215710												
216164												
216230												
216922						434427	86733	0	70227	15768	261699	
217059						40082	85	0	1781	11472	26744	
218131												
218261												
218850												
218878												
219044												
219651												
219679												
220059												
220527						223707	60	0	19198	16390	188059	
220844												
220974												
221775												
222156												
222446						33830	0	0	1838	31992	0	
222558												
222754												
223322						515780	2783	0	19513	41825	451659	
223452												
223751												
223845												
224954												
225054												
225157												
225559												
225942												
226949												
227151												
227357												
227656												
227777												
228000												
228158												
228279												
228345												
229070												
229173												
229342												
229454												
229801						1387519	192110	91381	102527	113653	887848	
229913	1126973	0	10501	346854	769618	1126973	0	10501	0	346854	769618	
230423												
230610												
230759						81859	17178	2	64487	192	0	
231279												
232847												
232856												
233031	20655000	1963000	20000	576000	18096000	20655000	493000	20000	1470000	576000	18096000	
233246												
233358												
233442												
233527												
233554												
234355						77966	7562	0	12736	36884	20784	
234506						14572	29	0	3403	1821	9319	
234739												
234841												
235174												
235231												
235316												
235446												
235530												
235558												
235950												
236153						523786	1522	0	9690	57688	454886	
236256												
236603												
236706						153425	0	0	4067	2657	146701	
236957												
237066						414462	4136	0	12142	2669	395515	
237619						372595	8065	0	7831	2005	354694	
237954												
238139												
238250												
238737												
239556												
239613												
239659												
240954												
241009												
241157						18966	4111	0	6052	8694	109	
241559												
241607												
242257												
242444						96029	9477	0	12958	1500	72094	
242949												
242958												
242976						105258	0	0	4361	8628	92269	
243375												
243414												
243955												
244037												
244149						122541	9	0	3133	119399	0	
244158												
244251												
245016	544955	10729	196	2398	531632	544955	7367	196	3362	2398	531632	
245276						1239438	13880	41	23744	271193	930580	
245351												
245557												
246022						42647	3903	0	1767	1339	35638	
246134						40818	0	0	6493	33752	573	
246451												
246657						71850	3837	0	6685	1552	59776	
246947												
246956												
247140												
247355												
247476												
247551												
247908												
248240						176807	0	0	7900	75493	93414	
248352												
248455												
248633												
248745												
249416												
249612						885612	704	56796	22496	110739	694877	
249658												
250430												
250476												
250850												
251352						108065	3593	0	4936	4505	95031	
251558												
251745												
251978												
252041												
252452												
252658												
253356						88787	17283	0	7222	11148	53134	
253468						129962	17025	0	3814	10115	99008	
253646						5145	0	0	4025	1120	0	
253730												
253776												
254317												
254504												
254849												
255350												
255547												
255556												
255574												
255659						363027	44011	0	29878	5338	283800	
256058												
256076												
256179												
256553						355714	16510	0	20850	128813	189541	
257233												
257345												
257578												
257653												
257756												
258146												
258306												
258379												
258445												
258539												
258771						69164	259	0	13911	22379	32615	
258874												
259059												
259330						33762	5	0	5096	2212	26449	
259442												
259956												
260055						257980	37136	0	54793	55088	110963	
260831												
261146						14149	14	0	1105	10972	2058	
261360												
261940												
262059												
262237												
262358												
262741												
262844												
262956												
263243						23246	0	0	6388	4840	12018	
263627												
264455												
264772						1004602	0	0	479	70784	933339	
265340												
265407												
265452												
265676												
266066												
266244												
266253												
266655												
266851												
266945												
267652												
268006						32016	13942	215	11259	2403	4197	
268136												
268677						43377	0	0	3469	10008	29900	
268828						31599	0	0	4639	3836	23124	
268976												
269049												
269058												
269571												
269759												
270148												
270353												
270504												
270531												
270652												
271136												
271275						19443	1153	0	1214	1150	15926	
271341												
271529												
272030												
272058												
272151												
272272												
272302						195004	5112	0	5946	53315	130631	
273336						586420	30483	0	6215	3155	546567	
273550												
273653												
273662												
273840												
273859												
274025												
274052												
274548												
274829						21975	23	0	3970	302	17680	
274856												
275255												
275358												
275479												
275657												
276074												
276159												
276551												
276579						1807402	569479	79586	411757	151175	595405	
276645												
276654												
276850												
276953												
277240												
277277												
277679												
277736												
277820												
278256												
278555												
278733												
278751												
278818						47733	22941	0	16036	8215	541	
278872												
279105						158033	8323	0	4078	4170	141462	
279842												
279954						109224	273	0	3108	33409	72434	
280110	2810984	823459	49280	190187	1748058	2810373	47816	48669	775643	190187	1748058	
280138												
280352												
280558												
282075						90861	7181	0	3633	20187	59860	
282226												
282824												
283157												
283438						92981	0	0	5675	37860	49446	
283652												
283737												
283867												
284154												
284239												
284556												
284752												
284958												
285151												
285348												
285544												
285553												
285740						28209	41	0	3835	21332	3001	
285777												
285852												
285928												
286251												
286840												
287007												
287342												
287922												
287959												
288152												
288376						12660	1	0	1690	27	10942	
288853						614465	100889	0	61810	78850	372916	
289056												
289225												
289515												
289702												
289739												
289757												
290249						154252	7208	0	4347	13085	129612	
290838												
290922												
291059												
291330												
291376												
291611												
291732												
292234												
292467												
292850												
292908						98764	5047	0	5368	7073	81276	
293053												
293352												
293437												
293651												
293754												
294023												
294564						37889	16306	0	12647	1600	7336	
294751						31436	2750	0	17972	2095	8619	
294779						402140	7427	0	16183	25182	353348	
294827												
295011						142047	1314	0	3857	91745	45131	
295057												
295646												
296456												
296474												
296559												
296755												
296858												
297051												
297631												
297761												
298049												
298218												
298245						41082	521	0	2334	5409	32818	
299868						46067	0	0	16	42856	3195	
300009												
300063												
300157												
300353												
300456												
300933						30826	3	0	4018	22768	4037	
300942												
300960												
301574												
301800						171407	4783	0	6517	52668	107439	
302030												
302133												
302553												
302656						92781	53	0	14856	10371	67501	
303653												
303701												
303747												
303952												
304173												
304520												
304575												
304762												
304913												
305059												
305077												
305237												
305442												
306056												
306140												
306159						17243	4	0	1169	12444	3626	
306337												
306908												
307062												
307334												
307361												
307679												
307932												
308256												
308340												
308836												
309150												
309655												
309851												
310754												
310950												
310978						120923	3623	0	2920	43536	70844	
311050												
311144												
311256												
311265												
311603												
311658												
311845						1713956	102	0	259211	62462	1392181	
311939												
312244												
312356												
313009												
313157												
313223												
313577												
314257												
314444												
315656												
316840						791350	80227	0	54442	9087	647594	
316859												
316934												
317258												
317342						537138	250	0	39239	53141	444508	
317379												
317650												
318639												
318974												
319047												
319458												
319551												
320034												
320052						209012	3175	0	5558	4751	195528	
320070												
320119						681101	0	425236	2521	27285	226059	
321152												
321255												
321273												
321330												
321947						11128	13	0	4575	6289	251	
322449												
322476												
322551												
323204												
323651												
324153												
324229												
324256												
324340						40296	15254	0	10822	7341	6879	
324854												
324863						307363	26162	0	8909	10466	261826	
324975												
325141												
325459												
325534												
326054												
326344												
326858												
326979												
327220												
327305						31283	7319	397	5146	1076	17345	
327435												
327556												
327855												
328058												
328357						201266	329	0	16106	179073	5758	
328656												
328777						152967	11168	0	4040	9841	127918	
329149												
329345												
329550												
329952						100060	4518	0	5684	17726	72132	
330239												
330248												
330855						190153	15162	0	14098	10509	150384	
330873												
330949												
331076												
331375												
331544												
331713												
332224												
332345												
332402												
332671												
332756												
333034												
333203						39034	15851	0	4000	14389	4794	
333650												
333856						95449	0	0	2045	23127	70277	
333940												
334264												
335346												
336147												
336361												
336576												
336950												
337340												
338646												
338851												
338945												
339072						46316	3064	0	910	1486	40856	
339353												
339456						54630	0	0	15123	6157	33350	
339607												
339773						93476	11921	0	19908	3398	58249	
339858						2091657	819077	14579	579096	13308	665597	
339876												
340135						63283	9135	0	14836	34358	4954	
340144												
340256												
340443												
340742						68097	2949	0	4402	332	60414	
340751												
341310												
342054												
342362						16851	2580	0	2730	2714	8827	
342410						112155	16512	0	9228	11680	74735	
342634						742461	106064	0	151930	14871	469596	
343051												
343248												
343770												
343903												
343958												
344647						45967	3830	0	4356	5400	32381	
344852												
345309						75637	6864	0	4486	45334	18953	
345345						35843	2073	0	922	2893	29955	
345747						44310	0	0	1460	7879	34971	
345756						96909	0	0	1265	3649	91995	
345877												
346379												
346566												
346771												
347022												
347639												
347956						59670	4467	0	616	21207	33380	
348159												
348720												
349129												
349343												
350572												
350657												
350750												
351131												
351560												
351878												
352370												
352651												
352745												
