"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
37		20220630	BANK OF HANCOCK COUNTY	10057	SPARTA	GA	31087	
242		20220630	First Community  Bank, Xenia-Flora	3850	Xenia	IL	62899	
279		20220630	MINEOLA COMMUNITY BANK S. S. B.	28868	MINEOLA	TX	75773	
354	549300T61O0X0RJMQ375	20220630	Bison State Bank	14083	Bison	KS	675200328	
457		20220630	LOWRY STATE BANK	10202	LOWRY	MN	56349	
505	549300QY4UCP33T94N09	20220630	Ballston Spa National Bank	6959	Ballston Spa	NY	12020	
1155		20220630	First State Bank & Trust Company	17639	Fremont	NE	68025	
1351		20220630	Bank of Grandin	09392	Grandin	MO	63943	
1454		20220630	Hilltop National Bank	19184	Casper	WY	82609	
1669		20220630	The Liberty National Bank In Paris	3384	Paris	TX	75460	
1856		20220630	Washita State Bank	22430	Burns Flat	OK	73624	
2161		20220630	LAMAR NATIONAL BANK	23597	PARIS	TX	75460	
2732	25490001F0A9F7BV6B05	20220630	Albany Bank & Trust Co., National Association	17230	Chicago	IL	60625	
2750		20220630	Genoa Community Bank	5408	Genoa	NE	68640	
3252		20220630	FIRST NATIONAL BANK OF GORDON	5410	GORDON	NE	69343	
3458		20220630	farmbank	16103	Green City	MO	63545	
3720	549300LPLWFD36TB5P09	20220630	Bank Of Clarendon, The	15671	Manning	SC	29102	
3971	549300WIWUF4JZ6O0629	20220630	Midcountry Bank	28865	Bloomington	MN	55439	
4156		20220630	Kanza Bank	13157	Kingman	KS	67068	
4231		20220630	FARMERS AND MERCHANTS BANK	16440	SYLVANIA	GA	30467	
5069		20220630	First Credit Bank	24332	West Hollywood	CA	90069	
5135		20220630	First State Bank of Blakely	15496	Blakely	GA	39823	
5210	5493005CFFMKTUKLO381	20220630	ACNB Bank	7506	Gettysburg	PA	173250000	
5461		20220630	BAC Community Bank	19434	Stockton	CA	95202	
5751		20220630	Kearny County Bank	15194	Lakin	KS	67860	
6039		20220630	Pineland Bank	15699	ALMA	GA	31510	
6329	549300M4GZM7GG3EIV16	20220630	Anderson Brothers Bank	9923	Mullins	SC	29574	
7009	549300NEQHXUX4MZIH22	20220630	Bessemer Trust Company	20015	Woodbridge	NJ	70951191	
7045		20220630	The Peoples Bank	5779	Brownstown	IN	47220	
7072		20220630	Wallkill Valley Federal Savings And Loan Association	28870	Wallkill	NY	12589	
7456		20220630	Bank of Hartington	13962	Hartington	NE	68739-0077	
7634		20220630	THE FOUR COUNTY BANK	15904	ALLENTOWN	GA	31003	
8033	254900DIGH8B5QJNCC06	20220630	Peoples Bank And Trust Company Of Pointe Coupee Parish	23090	New Roads	LA	70760	
8462		20220630	Perryton National Bank	3388	Perryton	TX	79070	
8631		20220630	The Pleasants County Bank	847	Saint Marys	WV	26170	
9357		20220630	Fidelity Bank	20268	Edina	MN	55435	
9553		20220630	ADAMS COUNTY BANK	14311	KENESAW	NE	689560149	
9807	549300APYWQY03RLT772	20220630	Amboy Bank	6423	Old Bridge	NJ	08857	
9955		20220630	Fusion Bank	15899	Larned	KS	67550	
10250	549300M5DZ6P9KNT7H33	20220630	Bank Of Elk River, The	1607	Elk River	MN	55330	
10849		20220630	FIRST STATE BANK	15050	LONOKE	AR	72086	
11145		20220630	Lake-Osceola State Bank	8172	Baldwin	MI	49304	
11640		20220630	FIRST NATIONAL BANK OF CLARKSDALE	19070	Clarksdale	MS	38614	
11837		20220630	The Farmers Bank	5709	Greensboro	GA	30642	
12030		20220630	00	17011	Alma	GA	31510	
12142		20220630	The Cleveland State Bank	12201	Cleveland	MS	38732	
12311	2WHM8VNJH63UN14OL754	20220630	The Huntington National Bank	6560	Columbus	OH	43215	
12647		20220630	The Portage County Bank	10012	Almond	WI	54909	
12656		20220630	EMERALD BANK	14944	BURDEN	KS	67019	
12946		20220630	Farmers Bank & Trust Company	1291	Magnolia	AR	71753	
13103		20220630	Bristol County Savings Bank	23622	Taunton	MA	02780	
13251		20220630	Elysian Bank	10185	Elysian	MN	56028	
13457		20220630	Bank Of Lewellen	5425	Lewellen	NE	69147	
14155		20220630	F and C Bank	9378	Holden	MO	64040	
14650		20220630	Bank Of Locust Grove	16795	Locust Grove	OK	74352	
14753		20220630	Farmers State Bank Of Bucklin, Kansas, The	18101	Bucklin	KS	67834	
14865	549300J0CQITHCF2G618	20220630	Bank Of Eastern Oregon	16243	Heppner	OR	97836	
14977		20220630	First Federal Bank Littlefield Texas ssb	30291	Littlefield	TX	793391390	
16551		20220630	Northview Bank	10956	Sandstone	MN	55072	
17110		20220630	The Haverford Trust Company	26189	Radnor	PA	19087	
17147	S0Q3AHZRL5K6VQE35M07	20220630	First Merchants Bank	4365	Muncie	IN	47305	
17259		20220630	The First National Bank In Marlow	26260	Marlow	OK	73055	
17950		20220630	Bank Of Bridger, National Association	2224	Bridger	MT	59014	
17978		20220630	Elizabethton Federal Savings Bank	29904	Elizabethton	TN	37643	
18050	254900YTMXVNCWHCVS50	20220630	First National Bank of Bastrop	3091	Bastrop	TX	78602	
18827	549300TFEH2N4OKL5136	20220630	NexTier Bank, N.A.	7900	Kittanning	PA	16201	
18836	254900JEEAUO1ZDBXW22	20220630	Capon Valley Bank	9998	Wardensville	WV	26851	
18854	5493003OO8EG0RKSFX83	20220630	Bank 7	4147	Oklahoma City	OK	73116	
19356		20220630	SECURITY BANK AND TRUST COMPANY	9881	MIAMI	OK	74354	
19936		20220630	Citizens Bank of Americus	15477	Americus	GA	31709	
19972		20220630	FARMERS BUILDING AND SAVINGS BANK	34711	ROCHESTER	PA	15074	
20053		20220630	Security Bank	10015	New Auburn	WI	54757	
20633		20220630	MCNB Bank And Trust Co.	6803	Welch	WV	24801	
20857	54930034DA3476XWUT25	20220630	FM BANK	10998	Granite Falls	MN	56241	
21256		20220630	State Bank Of Burrton	16583	Burrton	KS	67020	
21359		20220630	AMERICAN STATE BANK OF GRYGLA	22263	GRYGLA	MN	56727	
21658		20220630	ALLIANCE BANK	12511	MONDOVI	WI	54755	
22048	549300FDWHVG4HSERS14	20220630	Union Bank & Trust Company	1753	Monticello	AR	71655	
22543		20220630	State Savings Bank	8162	Frankfort	MI	49635	
22552		20220630	FIRST SOUTHEAST BANK	10576	HARMONY	MN	55939	
22730		20220630	West Union Bank	2452	West Union	WV	26456	
23456		20220630	The First National Bank Of Henning	5162	Ottertail	MN	56571	
23504	549300UWA74T8PF7KY34	20220630	Dime Community Bank	6976	Bridgehampton	NY	11932	
23643		20220630	COMMERCIAL BANK & TRUST COMPANY	90	MONTICELLO	AR	71655	
23755		20220630	First National Community Bank	5357	New Richmond	WI	54017	
24006		20220630	PCSB Bank	15995	Yorktown Heights	NY	10598	
24378		20220630	The Galion Building And Loan Bank	32307	Galion	OH	44833	
24659		20220630	Produce State Bank	10178	Hollandale	MN	56045	
24668		20220630	BTH Bank, National Association	3402	Quitman	TX	75783	
24949	54930065PWY9N8KCRQ96	20220630	BARABOO STATE BANK	12788	BARABOO	WI	53913	
25357		20220630	All America Bank	20093	Mustang	OK	73064	
25647		20220630	First Secure Bank and Trust Co	22536	Palos Hills	IL	60465	
26457		20220630	La Monte Community Bank	16423	La Monte	MO	65337	
26765	549300PG87MHQ7H4CO08	20220630	Vantage Bank Texas	3405	San Antonio	TX	78216	
27070	254900OC13I9CJC7SD87	20220630	Prevail Bank	29294	Medford	WI	54451	
27548	OTQ7L99FG3H1GQVQBT56	20220630	Blackhawk Bank	14078	Beloit	WI	53511	
27614	254900I3LJYL57NZ5H21	20220630	The Andover Bank	10663	Andover	OH	44003	
27847	254900YY36UO9MBPH808	20220630	DIAMOND BANK	1527	MURFREESBORO	AR	71958	
28013	549300BN4MNW5KE16X83	20220630	Northfield Bank	28710	Staten Island	NY	10314	
28152	54930076NULTCIRS5P09	20220630	Harvest Bank	11415	Kimball	MN	55353	
28675	549300WUAFVZR9Z4BL92	20220630	Cumberland Federal Bank, Federal Savings Bank	29293	Cumberland	WI	54829	
28732		20220630	Peoples Bank & Trust Co	1475	Manchester	TN	37355	
29476		20220630	Riverbank	31711	Pocahontas	AR	72455	
29636		20220630	The Citizens Bank Of Philadelphia	12204	Philadelphia	MS	39350	
29878		20220630	Maspeth Federal Savings And Loan Association	30303	Maspeth	NY	11378	
30052		20220630	Amistad Bank	26658	Del Rio	TX	78840	
30502	549300MKT4KNKP08CQ45	20220630	NORTHWAY BANK	14240	BERLIN	NH	3570	
30650	549300F0NHQ63TK82210	20220630	Lake Community Bank	8193	Long Lake	MN	55356	
30810	X05BVSK68TQ7YTOSNR22	20220630	Discover Bank	5649	New Castle	DE	19720	
31134		20220630	First National Bank Of Waynesboro, The	2160	Waynesboro	GA	30830	
31255	5493005J49KPXDXUC959	20220630	Central Bank	17612	Houston	TX	77041	
31657		20220630	First State Bank of Ben Wheeler, Texas	11904	Ben Wheeler	TX	75754	
31826		20220630	Powell Valley National Bank	6863	Jonesville	VA	24263	
31835		20220630	BANK OF ANGUILLA	8243	ANGUILLA	MS	38721	
32234	549300NQEVX22YVYW384	20220630	First National Bank and Trust Company	3639	Clinton	IL	61727	
32766		20220630	Lakeside Bank	21693	Rockwall	TX	75032	
32971		20220630	Security Federal Savings Bank	28894	Logansport	IN	46947	
33147	5493009BRKWH9S0E0H06	20220630	Farmers Bank And Trust Company	1027	Blytheville	AR	72315	
33259		20220630	Premier Bank	21714	Maplewood	MN	55109	
33268	549300H1IFC5OSWPR637	20220630	The Roscoe State Bank	1213	Roscoe	TX	79545	
33370		20220630	Home Savings Bank, Fsb	31723	Ludlow	KY	41016	
33839		20220630	Peoples State Bank of Colfax	10075	Colfax	IL	617280527	
33857		20220630	Frontier Bank	15545	Omaha	NE	68154	
34434		20220630	MAGNOLIA STATE BANK	22081	BAY SPRINGS	MS	39422	
34537	5493006MCOP60BBI4G97	20220630	Seacoast National Bank	131	Stuart	FL	34994	
34555		20220630	MA BANK	14695	MACON	MO	63552	
34742		20220630	First Western Bank	13083	Booneville	AR	729270238	
35057		20220630	Alliant Bank	1946	Madison	MO	65263	
35301	571474TGEMMWANRLN572	20220630	STATE STREET BANK AND TRUST COMPANY	14	Boston	MA	02110	
35646		20220630	Bonduel State Bank	11235	Bonduel	WI	54107	
35879	254900FSTRXV05536767	20220630	East Wisconsin Savings Bank	30313	Kaukauna	WI	54130	
36456		20220630	Community First Bank	15907	Maywood	NE	69038	
36933	254900NX6JAQSL0PM696	20220630	First State Bank	19163	Wrens	GA	30833	
37051	254900TSKS1LGJIUMN67	20220630	Oakwood Bank	13030	Pigeon Falls	WI	54760	
37341		20220630	Bank Of Ontario	21085	Ontario	WI	54651	
37435	549300S61HFNW2YFEK61	20220630	United Bank	172	Zebulon	GA	30295	
37640		20220630	GERMAN AMERICAN BANK	17393	JASPER	IN	47547	
37659		20220630	FARMERS STATE BANK	12758	ALLEN	OK	748250467	
37949		20220630	Bank of Rantoul	11711	Rantoul	IL	61866	
38740	54930004Z0FN1LYUET14	20220630	Owen County State Bank	13112	Spencer	IN	47460	
39327	5493005NXMQ7SP5TOF96	20220630	Calvin B. Taylor Banking Company Of Berlin, Maryland	5874	Berlin	MD	21811	
39756	54930076IPVDX26EBK58	20220630	NBC Oklahoma	4032	Oklahoma City	OK	73120	
40033		20220630	richton bank & Trust	11817	richton	MS	39476	
40499	549300E0KRXI8PZWAO17	20220630	Harborone Bank	59070	Brockton	MA	02301	
40855		20220630	ESB Bank	10980	Caledonia	MN	55921	
41553		20220630	First State Bank	12283	Anadarko	OK	73005	
41629	549300IDUXRYG23KYY13	20220630	Pioneer Bank	6913	Stanley	VA	22851	
41825		20220630	Middletown Valley Bank	14017	Middletown	MD	21769	
42037		20220630	PEOPLES EXCHANGE BANK	70	MONROEVILLE	AL	36460	
42354		20220630	THE COMMERCIAL NATIONAL BANK OF BRADY	3110	BRADY	TX	76825	
42372	549300EGTMFOWQOCQM74	20220630	First Federal Savings Bank Of Lincolnton	30315	Lincolnton	NC	28092	
42420	VN1JLT1F3FLLVN3FZG89	20220630	FIRST COMMONWEALTH BANK	7468	INDIANA	PA	15701	
42448	5493003EW6T31TGECO83	20220630	FIRST NATIONAL BANK	3887	PARAGOULD	AR	72451	
42457		20220630	Commercial Bank	12246	Nelson	NE	68961	
43052		20220630	Security State Bank	9036	Iron River	WI	54847	
43351		20220630	Peoples State Bank	17685	Manhattan	KS	66503	
43856		20220630	THE MINERS NATIONAL BANK OF EVELETH	5141	EVELETH	MN	55734	
43959		20220630	Bridge City State Bank	18155	Bridge City	TX	77611	
44040		20220630	First National Bank Of Monterey, The	4364	Monterey	IN	46960	
44433	254900DON8SDKGYIL122	20220630	Intercredit Bank, National Association	25258	Miami	FL	33134	
44741		20220630	Citizens Bank	9647	Mooresville	IN	46158	
44750		20220630	Citizens Bank of the Midwest	16126	Rolla	MO	65401	
44929		20220630	First National Bank	6637	McConnelsville	OH	43756	
45038		20220630	STATE BANK OF DAVIS	5740	DAVIS	IL	61019	
45047		20220630	The First National Bank At Paris	14534	Paris	AR	72855	
45056		20220630	Platte Valley Bank	9818	North Bend	NE	686490500	
45430		20220630	Johnson County Bank	22070	Mountain City	TN	37683	
45458	549300054IBXNJUH0T10	20220630	Vintage Bank Kansas	17927	Leon	KS	67074	
45551	549300USNPUCH96WTF23	20220630	Bank Midwest	5170	Spirit Lake	IA	51360	
45560		20220630	Jefferson Bank	16470	San Antonio	TX	78201	
45775		20220630	Iron Workers Savings Bank	28908	Aston	PA	19014	
46053		20220630	The State Bank Of Faribault	1610	Faribault	MN	55021	
46941		20220630	Farmers Bank And Trust Company	2765	Princeton	KY	42445	
47247		20220630	The Dart Bank	5033	Mason	MI	48854	
47256		20220630	Community Financial Bank	27053	Prentice	WI	54556	
47452	549300IK1PI4M3E1Z209	20220630	FIRST NATIONAL BANK OF BENTON	25065	BENTON	LA	71006	
47500		20220630	Claremont Savings Bank	18038	Claremont	NH	03743	
48057		20220630	Prairie Bank of Kansas	04775	Stafford	KS	67578	
48150		20220630	Franklin State Bank	16778	Franklin	MN	55333	
48374	254900CNZP15WN45KW48	20220630	First Financial Bank	28905	El Dorado	AR	71730	
48440	549300O3HNZKCYCYJK98	20220630	Cleveland State Bank	9517	Cleveland	WI	53015	
49054		20220630	Commerce Bank	10212	Geneva	MN	56035	
49148		20220630	RUSHVILLE STATE BANK	9265	RUSHVILLE	IL	626810050	
49241	549300GCILEV6KJUST91	20220630	Relyance Bank, National Association	19371	Pine Bluff	AR	71601	
49652		20220630	First Bank	16473	Sterling	KS	67579	
49858	549300J08BVKMFC3Z033	20220630	Bank Of South Texas	26727	Mcallen	TX	78504	
49951		20220630	The First Security Bank	4041	Beaver	OK	73932	
50144		20220630	state bank of medora	14561	medora	IN	47260	
50461		20220630	California Pacific Bank	23242	San Francisco	CA	94104	
51253	549300WZWPMDWIL12842	20220630	APEX BANK	9176	CAMDEN	TN	38320	
51356		20220630	Latimer State Bank	22839	Wilburton	OK	74578	
51459		20220630	Centera Bank	16436	Sublette	KS	67877	
51842	549300YHR41F57LS0R28	20220630	FARMERS & MERCHANTS UNION BANK	14445	COLUMBUS	WI	53925	
52719	549300HBJLRO8YFMI370	20220630	The Depository Trust Company	90544	New York	NY	100410099	
52951		20220630	Security State Bank Of Oklahoma	8980	Wewoka	OK	74884	
53051		20220630	The Buckholts State Bank	11916	Buckholts	TX	76518	
54058		20220630	The Bank Of Tescott	1868	Tescott	KS	67484	
54656	2549006T1BV8j217XC10	20220630	Citizens State Bank	12501	Buffalo	TX	75831	
54973	549300BES7HNVKCDIM50	20220630	American Savings Bank, FSB	32526	Honolulu	HI	96813	
55336	549300K3SVNVK97FCP36	20220630	METAIRIE BANK & TRUST	16539	METAIRIE	LA	70001	
55635		20220630	Citizens Savings Bank & Trust	10319	Nashville	TN	37208	
55653		20220630	Fidelity State Bank And Trust Company	1150	Topeka	KS	66603	
55970	2549007E4NL6J0YLH946	20220630	Evergreen Federal Bank	28914	Grants Pass	OR	97526	
56258		20220630	Citizens Bank & Trust Co., Hutchinson, Minn.	10218	Hutchinson	MN	553500339	
56351		20220630	VeraBank, N.A.	3250	Henderson	TX	75652	
56548	549300LC0BP2X1F6BE13	20220630	DMB Community Bank	14769	DeForest	WI	53532	
56717	549300JSQZG5CD2LWR30	20220630	The Dime Bank	9888	Honesdale	PA	18431	
57040		20220630	First National Bank at Darlington	14468	Darlington	WI	535300050	
57451	2549006KT1XNB09W2M78	20220630	Dairy State Bank	17162	Rice Lake	WI	54868	
58225		20220630	FARMERS BANK & SAVINGS CO.	769	Pomeroy	OH	45769	
58243	IWRZQFYIRJ0IMURZBB68	20220630	Johnson Bank	20296	Racine	WI	53403	
58355		20220630	Vantage Bank	9733	Kent	MN	56553	
58551		20220630	Security State Bank	421	Cheyenne	OK	73628	
58636		20220630	CENTURY BANK	11448	LUCEDALE	MS	39452	
58757	549300Q9WQZE336R0U94	20220630	Kensington Bank	1409	Kensington	MN	56343	
58971	549300P2GEYNMH5OQA71	20220630	Washington Trust Bank	1281	Spokane	WA	99210	
59316	549300XZGHPTWOJPDI31	20220630	Wayne Bank	698	Honesdale	PA	18431	
59352		20220630	Citizens National Bank	3127	Cameron	TX	76520	
59370		20220630	First Shore Federal Savings And Loan Association	30680	Salisbury	MD	21801	
59754		20220630	Method Bank	2317	Wyandotte	OK	74370	
60143	70WY0ID1N53Q4254VH70	20220630	Comerica Bank	983	Dallas	TX	75201	
60330	5493002XCPKQYCZ56W55	20220630	PEOPLES BANK OF ALABAMA	22537	CULLMAN	AL	35055	
60545		20220630	The Home Trust & Savings Bank	963	Osage	IA	50461	
60554		20220630	First State Bank Minnesota	10162	Le Roy	MN	55951	
60648		20220630	First National Bank	4324	Cloverdale	IN	46120	
61122		20220630	First United Bank & Trust	4857	Oakland	MD	21550	
61355		20220630	CorTrust Bank, N.A.	6063	Mitchell	SD	57301	
61476	549300FR7PGHS5RN4G56	20220630	Abington Bank	26590	Abington	MA	02351	
61757		20220630	American Heritage National Bank	8843	Long Prairie	MN	56347	
61832	2549001SGCT0DXW9UA79	20220630	The First National Bank of Mount Dora	3579	Mount Dora	Fl	32757	
61953		20220630	FNB Coweta	4071	Coweta	OK	74429	
62044		20220630	Sonata Bank	21342	Sebree	KY	42455	
62110		20220630	Rockefeller Trust Company, N.A.	26622	New York	NY	10111	
62147	549300SRO5L90DRP2664	20220630	Community First Bank	12512	Rosholt	WI	54473	
63050		20220630	The Dolores State Bank	17959	Dolores	CO	81323	
63069		20220630	City National Bank	17281	Los Angeles	CA	90071	
63201		20220630	CAYUGA LAKE NATIONAL BANK	6954	UNION SPRINGS	NY	13160	
63573		20220630	Walpole Co-operative Bank	26487	Walpole	MA	02081	
63733	549300W4TWSN8U8TGD72	20220630	Citizens Bank	1711	Lafayette	TN	37083	
63742	549300OSYCBC27271359	20220630	HOMETOWN BANK	12781	FOND DU LAC	WI	54935	
64150	549300XCHJ481RPPSP63	20220630	Wyoming Bank & Trust	8718	Cheyenne	WY	82009	
64552	549300LIZH7VW4DFJK44	20220630	Chickasaw Community Bank	11521	Oklahoma City	OK	73108	
64730		20220630	Farmers & Merchants Bank	9069	Eatonton	GA	31024	
65205		20220630	Torrington Savings Bank	16636	Torrington	CT	06790	
65513	5JQ7W3GWO8J5DAE5WR19	20220630	Delta National Bank and Trust Company	26633	New York	NY	10019	
65559	254900CYWJYH3ES8BV63	20220630	Pioneer Bank & Trust	15562	Belle Fourche	SD	57717	
65858	D32W5EBLENJC27207O81	20220630	Emprise Bank	4789	Wichita	KS	67202	
66154		20220630	DECATUR COUNTY BANK	6101	DECATURVILLE	TN	38329	
66275	254900P4A09O6AABF892	20220630	FIRST SOUTHERN BANK	29332	FLORENCE	AL	36530	
66677	5493003MAUCY3WMZY776	20220630	Cincinnati Federal	28346	Cincinnati	OH	45247	
67142	549300LNXSV7JTOU7K53	20220630	Peoples Trust & Savings Bank	13113	Boonville	IN	476010307	
67151	5493009EEWZ9S4F2BE94	20220630	Kirkpatrick Bank	20156	Edmond	OK	73013	
67209	549300JXG84BHZE66C26	20220630	Newburyport Five Cents Savings Bank	90251	Newburyport,	MA	1950	
67254		20220630	Young Americans Bank	27010	Denver	CO	80206	
67656		20220630	First Savings Bank	32629	Beresford	SD	57004	
67870	549300PJ8G3ECK1DQW27	20220630	Tc Federal Bank	29331	Thomasville	GA	31792	
68671		20220630	Grand Bank For Savings, F.S.B.	31864	Hattiesburg	MS	39402	
68756	549300465MKS092D5K02	20220630	Liberty National Bank	11522	Lawton	OK	73501	
68831		20220630	Bank Of Franklin	10594	Meadville	MS	39653	
69333		20220630	The Citizens National Bank of Meridian	4993	Meridian	MS	393015853	
69678		20220630	Baker Boyer National Bank	2987	Walla Walla	WA	99362	
70218		20220630	United Orient Bank	23373	New York	NY	10038	
70414		20220630	THE NORTHUMBERLAND NATIONAL BANK	7666	NORTHUMBERLAND	PA	17857	
70638		20220630	Peoples Bank	9366	Mendenhall	MS	39114	
70955		20220630	Nebraska State Bank	13696	Bristow	NE	68719	
71073	254900BKU8W7ACVJRW27	20220630	Home Federal Savings And Loan Association Of Niles Ohio	28349	Niles	OH	44446	
71457		20220630	Bruning Bank	18748	Bruning	NE	68322	
71859		20220630	CBW BANK	13959	WEIR	KS	66781	
72258		20220630	The Converse County Bank	12591	Douglas	WY	82633	
72351	549300BIN8FZ4Z1IX347	20220630	Farmers State Bank	16941	Wathena	KS	66090	
72454		20220630	Freeport State Bank	08210	Freeport	MN	56331	
72678		20220630	BELMONT SAVINGS BANK	28348	BELLAIRE	OH	43906	
73116		20220630	Artisans' Bank	17123	Wilmington	DE	19808	
73152		20220630	THE FARMERS AND MERCHANTS NATIONAL BANK OF FAIRVIEW	4097	Fairview	OK	73737	
73554	549300RMLDF2S89MUC93	20220630	Pathway Bank	1992	Cairo	NE	68824	
73956		20220630	Security State Bank	12422	Wellington	KS	67152	
74056		20220630	South Central State Bank	16707	Campbell	NE	68932	
74140	549300XYX207IABFXL60	20220630	Isabella Bank	1005	Mt. Pleasant	MI	48858	
74403	549300YV7HFY5MTM2Z65	20220630	Merrimack County Savings Bank	17960	Concord	NH	03301	
74449		20220630	First National Bank in Tigerton	14400	Tigerton	WI	54486	
75259		20220630	First Oklahoma Bank	12484	Jenks	OK	74037	
75446		20220630	South Ottumwa Savings Bank	9099	Ottumwa	IA	52501	
75455		20220630	The Northern State Bank Of Gonvick	10187	Gonvick	MN	56644	
75633	3Y4U8VZURTYWI1W2K376	20220630	BMO Harris Bank, N.A.	16571	Chicago	IL	60603	
75651		20220630	CERESCOBANK	1993	CERESCO	NE	680170036	
76153		20220630	BANK OF CLARKS	16953	CLARKS	NE	68628	
76443	549300SUOO1RFWRM7N78	20220630	The Peoples Bank	1566	Taylorsville	KY	40071	
76854		20220630	GRAND BANK	22065	TULSA	OK	741353247	
77150		20220630	First Farmers & Merchants State Bank Grand Meadow	15621	Grand Meadow	MN	559360188	
77253		20220630	The Hondo National Bank	15345	Hondo	TX	78861	
77422		20220630	Community Bankers' Bank	26871	Midlothian	VA	23113	
77851	549300IQ5NY7CSJLZW53	20220630	First Bank & Trust	3973	Brookings	SD	570065057	
78157		20220630	Bandera Bank	26653	Bandera	TX	780031596	
78241		20220630	First Naturalstate Bank	21379	Mcgehee	AR	71654	
78559		20220630	Summit National Bank	25054	Hulett	WY	82720	
79042		20220630	West Point Bank	12166	Radcliff	KY	40160	
79127		20220630	Home National Bank	6680	Racine	OH	45771	
79145	5493006S21NZTF9Y1L04	20220630	Farmers & Merchants State Bank	13242	Waterloo	WI	53594	
79257		20220630	Grove Bank	8857	Grove City	MN	56243	
79855		20220630	City Bank   Trust Company	05396	Lincoln	NE	68516	
80150		20220630	First Fidelity Bank	1122	Burke	SD	57523	
80374	2549001WH56IR3WR8F53	20220630	First Federal Savings And Loan Association Of Delta	29345	Delta	OH	43515	
80431		20220630	UNION BANK & TRUST COMPANY	9179	LIVINGSTON	TN	38570	
81175	549300K5SWOZ1F2OHY48	20220630	Equitable Bank	31485	Grand Island	NE	68801	
82033		20220630	FIRST NATIONAL BANK OF PASC	26829	DADE CITY	FL	33525	
82257		20220630	Bryant State Bank	06064	Bryant	SD	57221	
82350		20220630	THE LAUDERDALE COUNTY BANK	22835	HALLS	TN	38040	
83151		20220630	Flagship Bank Minnesota	8188	Wayzata	MN	55391	
83375	549300DEQDOPOOYCB264	20220630	Century Bank	28362	Santa Fe	NM	87504	
83638	UPMVBH3EU3LS6P1KR697	20220630	Amerant Bank, National Association	22953	Coral Gables	FL	33134	
83834	549300E8WNDXIPI7FA49	20220630	AMERICAN BANK & TRUST COMPANY	17906	OPELOUSAS	LA	70571	
83852		20220630	Richland State Bank	1675	Bruce	SD	572200338	
83955		20220630	Greenfield Banking Company	15255	Greenfield	TN	38230	
84046		20220630	First Trust & Savings Bank	10123	Coralville	IA	52241	
84541	5493007B7MEWKMDWUZ73	20220630	Guaranty Bank and Trust Company	15953	Belzoni	MS	39038	
84804		20220630	Citizens Bank of Cape Vincent	8908	Cape Vincent	NY	13618	
85052		20220630	Uinta Bank	1167	Mountain View	WY	82939	
85472		20220630	Oceanfirst Bank	28359	Toms River	NJ	08753	
85931		20220630	PATTERSON STATE BANK	12609	PATTERSON	LA	70392	
86349		20220630	The Union Bank Of Mena	14597	Mena	AR	71953	
86675	549300YHPEPV6KF30T16	20220630	Rosedale Federal Savings And Loan Association	29613	Baltimore	MD	21236	
87047	5493008CDD8DDS775F56	20220630	First State Bank of Porter	12836	Porter	IN	46304	
87159		20220630	First State Bank Of Newcastle	1168	Newcastle	WY	82701	
87234		20220630	FIRST NATIONAL BANK OF MIDDLE TENNESSEE	4952	MCMINNVILLE	TN	37110	
87476		20220630	Wilmington Savings Bank, The	31539	Wilmington	OH	45177	
87579		20220630	Middlesex Federal Savings, F.A.	28368	Somerville	MA	02144	
88231		20220630	Banksouth	16418	Greensboro	GA	30642	
88259		20220630	JANESVILLE STATE BANK	10960	JANESVILLE	MN	56048	
88352		20220630	First State Bank Of Bedias	16895	Bedias	TX	77831	
88455		20220630	Heartland Bank	18740	Geneva	NE	68361	
88950		20220630	Financial Security Bank	10176	Kerkhoven	MN	56252	
89032	2549003E1YOW83GR2Q12	20220630	Plaquemine Bank & Trust Company	19800	Plaquemine	LA	70764	
89135		20220630	First National Bank of Wauchula	18136	Wauchula	FL	33873	
89854	254900GWSHKTMAYXI472	20220630	Minnstar Bank National Association	13809	Lake Crystal	MN	56055	
89957	549300BFTWW1HFL7JF90	20220630	Cendera Bank, N.A.	3098	Bells	TX	75414	
90047		20220630	Palo Savings Bank	13990	Palo	IA	52324	
90177		20220630	First Federal Savings And Loan Association	30812	Pascagoula	MS	39567	
90328	254900R1UY5PAEIHXX38	20220630	SKYLINE NATIONAL BANK	6861	INDEPENDENCE	VA	24348	
90337	549300O2UK5FUZXQJO34	20220630	UNITED COMMUNITY BANK	19143	RACELAND	LA	70394	
90579		20220630	First Federal Savings And Loan Association Of Mcminnville	29624	Mcminnville	OR	97128	
91615		20220630	The Antwerp Exchange Bank Company	14523	Antwerp	OH	45813	
91754		20220630	First National Bank of Bellville	3099	Bellville	TX	77418	
91950		20220630	Farmers State Bank Of Canton	11133	Canton	SD	57013	
92144		20220630	Community State Bank	17551	Paton	IA	50217	
92676		20220630	Windsor Federal Savings And Loan Association	29632	Windsor	CT	06095	
92706		20220630	Sugar River Bank	18028	Newport	NH	03773	
92902		20220630	Bank Of Cattaraugus	9406	Cattaraugus	NY	14719	
93244	254900B5PW4JPZAQI721	20220630	Woodford State Bank	10011	Monroe	WI	53566	
