"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
270652		20220630	Security State Bank	16448	Alexandria	SD	573110430	
271136		20220630	Bank Of Louisiana	17878	New Orleans	LA	70130	
271275		20220630	Dean Co-operative Bank	27269	Franklin	MA	02038	
271341		20220630	Peoples Bank Mt Washington	5847	Mount Washington	KY	40047	
271529	549300III1DMY3SLAW56	20220630	Countybank	9155	Greenwood	SC	29646	
272030		20220630	The Peoples Bank of Georgia	170	Talbotton	GA	31827	
272058		20220630	State Bank Of Bellingham	17062	Bellingham	MN	56212	
272151		20220630	Granger National Bank, The	3232	Granger	TX	76530	
272272	549300YKBMBBIIMQJS94	20220630	Southern Bank	28332	Poplar Bluff	MO	63901	
272302		20220630	Institution for Savings	90250	Newburyport	MA	01950	
273336	549300H3F1P2EQW0FC36	20220630	The Bank Of Tampa	21031	Tampa	FL	33606	
273550	549300NBFJM2PBH24L77	20220630	Citizens State Bank, The	17672	Moundridge	KS	67107	
273653		20220630	Concorde Bank	9727	Blomkest	MN	56216	
273662		20220630	First State Bank Of Uvalde	9978	Uvalde	TX	78801	
273840		20220630	Community First Bank Of The Heartland	3846	Mount Vernon	IL	62864	
273859		20220630	Farmers and Merchants Bank	12284	Duke	OK	735320190	
274025		20220630	Mt. Victory State Bank	9438	Mount Victory	OH	43340	
274052		20220630	Farmers and Merchants Bank of Mound City, Kansas	14024	Mound City	KS	66056	
274548		20220630	Northwestern Bank	13411	Orange City	IA	51041	
274829	549300TELLWSMYL9RE90	20220630	TruPoint Bank	21883	Grundy	VA	24614	
274856		20220630	Citizens State Bank Of Arlington	1118	Arlington	SD	57212	
275255		20220630	BANNER CAPITAL BANK, INC.	19274	HARRISBURG	NE	69345	
275358	549300T03X096VF60C57	20220630	American Bank & Trust	1117	Wessington Springs	SD	57382	
275479		20220630	Commonwealth Cooperative Bank	29842	Hyde Park	MA	02136	
275657		20220630	FIRST STATE BANK	10503	NESS CITY	KS	67560	
