"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
18050	0	5088	18385																																	7537	0	6211								
18827	0	9550	125546																																	121932	0	13272								
18836	0	5365	5878																																	926	0	4747								
18854	800	57191	61514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	95866	0	18694								
19356	0	1023	1964																																	2263	0	857								
19936	0	1246	8024																																	11019	0	8072								
19972	0	1902	0																																	0	0	0								
20053	0	4091	208																																	5497	0	9240								
20633	0	1168	11832																																	1922	0	1596								
20857	0	204	5413																																	15113	0	83483								
21256	0	0	0																																	78	0	3								
21359	0	2	852																																	827	0	3251								
21658	0	1416	5889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3065	0	5930								
22048	0	3056	13052																																	10022	0	4350								
22543	0	7610	6773																																	19026	0	3073								
22552	2000	35	1807																																	6850	0	7910								
22730	0	271	1674																																	2410	0	2960								
23456	0	6351	2874																																	5430	0	4611								
23504	1248195	10785	573834	0	0	71351	0	0	0	0	0	0	60717	10634	0	0	0	0	0	0	106783	0	115790	0	0	0	0	0	0	0	115790	0		0	0	684034	0	15639								
23643	0	2011	4570																																	7301	0	12980								
23755	0	3900	5439																																	4925	0	717								
24006	0	8587	47379																																	109217	0	0								
24378	0	436	729																																	17	0	32								
24659	0	0	530																																	5237	0	2765								
24668	0	73602	35612																																	312686	0	64645								
24949	0	1795	16349																																	23234	0	17312								
25357	1300	9992	18256																																	5216	0	23263	519							
25647	0	1321	11828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	13046	0	915								
26457	0	1612	813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																160	0	3657								
26765	240000	99029	475380																																	372606	0	28281								
27070	0	3191	16774																																	18841	0	6408								
27548	0	10100	47263																																	135620	0	43659								
27614	0	1096	3186																																	6041	0	12265								
27847	0	11821	19772																																	5473	0	669								
28013	0	7088	238736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	126258	0	3017								
28152	0	3100	5692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																8689	0	7950								
28675	0	4050	3523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																5797	0	4640								
28732	0	7461	2213																																	2312	0	2829								
29476	0	1051	3753																																	8208	0	494								
29636	0	15495	44432																																	16723	0	4810								
29878	0	4083	90519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	0	0	29220								
30052	0	2885	1871																																	9	0	0								
30502	0	9596	31369																																	23297	0	51434								
30650	0	7193	3732																																	9453	0	1200								
30810																																														
31134	0	3014	1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4299	0	7129								
31255	0	22941	37824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	31008	12261	2167								
31657	0	2973	0																																	1879	0	3544								
