"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
1669																																																																																				392183	0				13.5205%			52337		387093	-5688	0										50737	387093	0	0.0000%	29975	0	116	30091	7.6727%	0	0	0	0	1		1600		1	0	46649	0	0	0	-5688	0	0	0		0	52337	0	0	52337	0	0	0	0	0	0						0	0	0		
1856																																																																																				46245	0				13.8178%			6413		46411	-118	0										279	46509	0	0.0000%	1127	0	0	1127	2.4370%	0	0	0	0	1		6232		1	0	6393	98	0	0	-118	0	0	0		0	6413	0	0	6413	0	0	0	0	0	0						98	0	0		
2161																																																																																				368464	0				9.9049%			36688		370404	-11640	0										15212	370404	0	0.0000%	40531	0	303	40834	11.0822%	0	0	0	0	1		21476		1	0	25048	0	0	0	-11640	0	0	0		0	36688	0	0	36688	0	0	0	0	0	0						0	0	0		
2732																																																																																				713765	0				14.5988%			106961		732668	-1218	0										102284	733780	0	0.0000%	106110	0	1775	107885	15.1149%	0	0	0	0	1		5789		1	0	106855	0	1112	0	-1218	0	0	0		0	106961	0	0	106961	0	0	0	0	0	0						1112	0	3431		
2750																																																																																						8395	519	519	11.9906%	16.6159%	15.5886%	7876	50524	65685	-1200	0			8.6159%							265	65685								0	0	0		0		7611	15.5886%	1	0	6676	0	0	0	-1200	0	0	0		0	7876	0	0	7876	0	0	0	0	0	0	0	0	0	519	0	0	0			
3252																																																																																						34373	1700	1700	11.0667%	25.6672%	24.3978%	32673	133918	295238	-4372	0			17.6672%							32173	295238								0	0	0		0		500	24.3978%	1	0	28301	0	0	0	-4372	0	0	0		0	32673	0	0	32673	0	0	0	0	0	0	0	0	0	1700	0	0	0			
3458																																																																																						6684	624	624	7.9628%	11.4946%	10.4215%	6060	58149	76104	-1713	0			3.4946%							4859	76104								0	0	0		0		1201	10.4215%	1	0	4347	0	0	0	-1713	0	0	0		0	6060	0	0	6060	0	0	0	0	0	0	0	0	0	624	0	0	0			
3720																																																																																				384162	0				11.0637%			42462		383794	-6555	0										25962	383794	0	0.0000%	21381	0	346	21727	5.6557%	0	0	0	0	1		16500		1	0	35907	0	0	0	-6555	0	0	0		0	42462	0	0	42462	0	0	0	0	0	0						0	0	0		
3971																																																																																						106222	9632	9632	9.9512%	10.8458%	9.8623%	96590	979384	970639	-12532	0			2.8458%							7159	974633								0	0	0		0		93425	9.8623%	1	0	88052	353	3551	90	-12532	0	0	0		0	96590	0	0	96590	0	0	0	0	0	0	0	0	0	9632	0	3994	0			
4156																																																																																						25914	2484	2484	8.0730%	13.0635%	11.8113%	23430	198370	290225	-5789	0			5.0635%							17356	292008								0	0	0		0		7857	11.8113%	1	0	19424	1783	0	0	-5789	0	0	0		0	23430	0	0	23430	0	0	0	0	0	0	0	0	0	2484	0	1783	0			
4231																																																																																				149486	0				12.8936%			19569		151773	-4585	0										6972	151776	0	0.0000%	7421	0	85	7506	5.0212%	0	0	0	0	1		12600		1	0	14987	0	0	3	-4585	0	0	0		0	19569	0	0	19569	0	0	0	0	0	0						3	0	1681		
5069																																																																																						214494	6418	6418	41.5885%	42.1745%	40.9126%	208076	508587	500321	313	0			34.1745%							199447	500321								0	0	0		0		8629	40.9126%	1	0	208389	0	0	0	313	0	0	0		0	208076	0	0	208076	0	0	0	0	0	0	0	0	0	6418	0	0	0			
5135																																																																																				601285	0				14.4352%			88411		612469	-958	0										64411	613511	0	0.0000%	60255	0	2383	62638	10.4174%	0	0	0	0	1		25042		1	0	88495	1042	0	0	-958	0	0	0		0	88411	0	0	88411	0	0	0	0	0	0						1042	0	2007		
5210																																																																																						272462	19035	19035	9.3810%	17.0876%	15.8938%	253427	1594499	2701489	-43526	-5912			9.0876%							174006	2725542								0	0	0		0		113138	15.8938%	1	0	243618	27842	2123	0	-33862	0	-5912	0		0	253427	0	0	253427	0	0	0	0	0	0	0	0	0	19035	0	29965	0			
5461																																																																																				819619	0				9.0058%			78484		871484	-32929	0										72250	871550	0	0.0000%	49165	0	520	49685	6.0620%	0	0	0	0	1		6300		1	0	45621	0	66	0	-24122	0	0	-8807		0	78484	0	0	78484	0	0	0	0	0	0						66	0	9012		
5751																																																																																				261158	0				15.3599%			39918		259885	-8621	0										31655	260974	0	0.0000%	30869	0	68	30937	11.8461%	0	0	0	0	1		9352		1	0	32386	1088	1	0	-8621	0	0	0		0	39918	0	0	39918	0	0	0	0	0	0						1089	0	108		
6039																																																																																				424005	0				8.8836%			36576		411725	-729	0										5539	411725	0	0.0000%	40389	0	524	40913	9.6492%	0	0	0	0	1		31037		1	0	35847	0	0	0	-729	0	0	0		0	36576	0	0	36576	0	0	0	0	0	0						0	0	0		
6329																																																																																						154030	14374	14374	8.9949%	13.4465%	12.1917%	139656	1145502	1552615	-14950	0			5.4465%							100143	1553102								0	0	0		0		40000	12.1917%	1	0	125193	0	0	487	-14950	0	0	0		0	139656	0	0	139656	0	0	0	0	0	0	0	0	0	14374	0	487	0			
7009																																																																																						108214	0	0	10.7622%	21.1552%	21.1552%	108214	511524	1005504	-5677	0			13.1552%							107162	1005504								0	0	0		0		1052	21.1552%	1	0	102537	0	0	0	-5677	0	0	0		0	108214	0	0	108214	0	0	0	0	0	0	0	0	0	0	0	0	0			
7045																																																																																						25416	1155	1155	8.6212%	19.7450%	18.8477%	24261	128721	281411	-13710	0			11.7450%							21836	281411								0	0	0		0		2425	18.8477%	1	0	10551	0	0	0	-13710	0	0	0		0	24261	0	0	24261	0	0	0	0	0	0	0	0	0	1155	0	0	0			
7072																																																																																						38600	2568	2568	9.3817%	13.5722%	12.6693%	36032	284404	384067	-2814	0			5.5722%							38474	390569								0	0	0		0		4060	12.6693%	1	0	39720	5478	1024	0	-2811	0	-3	0		0	36032	0	0	36032	0	0	0	0	0	0	0	0	0	2568	0	6502	0			
7456																																																																																						11626	887	887	8.1476%	13.6201%	12.5810%	10739	85359	131806	-2477	0			5.6201%							3739	131806								0	0	0		0		7000	12.5810%	1	0	8262	0	0	0	-2477	0	0	0		0	10739	0	0	10739	0	0	0	0	0	0	0	0	0	887	0	0	0			
7634																																																																																				87136	0				12.3722%			10774		87082	-1403	0										2514	87082	0	0.0000%	2882	0	0	2882	3.3075%	0	0	0	0	1		8260		1	0	9371	0	0	0	-1403	0	0	0		0	10774	0	0	10774	0	0	0	0	0	0						0	0	995		
8033																																																																																				361355	0				15.3815%			56713		368710	-333	0										48713	368710	0	0.0000%	48438	0	709	49147	13.6008%	0	0	0	0	1		8000		1	0	56380	0	0	0	-333	0	0	0		0	56713	0	0	56713	0	0	0	0	0	0						0	0	0		
8462																																																																																				173550	0				15.6987%			28105		179028	-8411	0										27405	179028	0	0.0000%	450	0	568	1018	0.5866%	0	0	0	0	1		700		1	0	19694	0	0	0	-8411	0	0	0		0	28105	0	0	28105	0	0	0	0	0	0						0	0	6189		
8631																																																																																				74031	0				9.9749%			7235		72532	-1690	0										5935	72532	0	0.0000%	2234	0	105	2339	3.1595%	0	0	0	0	1		1300		1	0	5545	0	0	0	-1690	0	0	0		0	7235	0	0	7235	0	0	0	0	0	0						0	0	0		
9357																																																																																				619951	0				14.9666%			80451		537538	-1303	0										55996	569743	0	0.0000%	17741	0	582	18323	2.9556%	0	0	0	0	1		56660		1	0	111353	28667	3538	0	-1303	0	0	0		0	80451	0	0	80451	0	0	0	0	0	0						32205	0	426251		
9553																																																																																						20225	1212	1212	8.0660%	12.8140%	12.0461%	19013	157835	235719	-5633	0			4.8140%							16913	235719								0	0	0		0		2100	12.0461%	1	0	13380	0	0	0	-5633	0	0	0		0	19013	0	0	19013	0	0	0	0	0	0	0	0	0	1212	0	0	0			
9807																																																																																						321411	24910	24910	10.5286%	16.2016%	14.9459%	296501	1983825	2816148	-5851	0			8.2016%							164229	2816148								0	0	0		0		132272	14.9459%	1	0	290650	0	0	0	-5851	0	0	0		0	296501	0	0	296501	0	0	0	0	0	0	0	0	0	24910	0	0	0			
9955																																																																																				202671	0				12.0661%			24503		203073	-4454	0										21370	203073	0	0.0000%	24865	0	9	24874	12.2731%	0	0	0	0	1		3133		1	0	20049	0	0	0	-4454	0	0	0		0	24503	0	0	24503	0	0	0	0	0	0						0	0	0		
10250																																																																																						55648	4334	4334	8.0406%	16.0698%	14.8183%	51314	346289	638187	-27384	0			8.0698%							15064	638187								0	0	0		0		36250	14.8183%	1	0	23930	0	0	0	-27384	0	0	0		0	51314	0	0	51314	0	0	0	0	0	0	0	0	0	4334	0	0	0			
10849																																																																																				289583	0				9.5945%			27874		290521	-4586	0										14855	292894	0	0.0000%	14212	0	4	14216	4.9091%	0	0	0	0	1		15391		1	0	25660	694	0	1678	-4586	0	0	0		0	27874	0	0	27874	0	0	0	0	0	0						2373	0	0		
11145																																																																																						44119	0	0	10.4363%	16.7320%	16.7320%	44119	263680	422747	-13595	0			8.7320%							18569	423197								0	0	0		0		26000	16.7320%	1	0	30974	450	0	0	-13595	0	0	0		0	44119	0	0	44119	0	0	0	0	0	0	0	0	0	0	0	450	0			
11640																																																																																				411258	0				11.7318%			48513		413516	-11861	0										5018	413516	0	0.0000%	59986	0	485	60471	14.7039%	0	0	0	0	1		43495		1	0	36652	0	0	0	-11861	0	0	0		0	48513	0	0	48513	0	0	0	0	0	0						0	0	0		
11837																																																																																						17032	1008	1008	11.4064%	21.1053%	19.8563%	16024	80700	140482	-4861	0			13.1053%							4024	140482								0	0	0		0		12000	19.8563%	1	0	11163	0	0	0	-4861	0	0	0		0	16024	0	0	16024	0	0	0	0	0	0	0	0	0	1008	0	0	0			
12030																																																																																						85648	4078	4078	15.1053%	26.9885%	25.7035%	81570	317350	540009	-535	0			18.9885%							80970	540009								0	0	0		0		600	25.7035%	1	0	81035	0	0	0	-535	0	0	0		0	81570	0	0	81570	0	0	0	0	0	0	0	0	0	4078	0	0	0			
12142																																																																																						33072	1978	1978	10.0060%	18.7754%	17.6525%	31094	176145	310753	-20751	0			10.7754%							10194	310753								0	0	0		0		20900	17.6525%	1	0	10343	0	0	0	-17600	0	-3151	0		0	31094	0	0	31094	0	0	0	0	0	0	0	0	0	1978	0	0	0			
12311			17214917	1540292	2209786	8.6766%	12.5253%	10.9175%	15005131	137441045	172937738	-2068143	0			4.5253%						2923200	178419393								0	0	0		16371543	10.0502%	0	17226600	5251310	193244	28297	-2078375	275905	-191870	-73803		8804	13813088	0	0	13813088	780000	0	412043	1192043	0	1192043	669494	0	0	2209786	0	5481655	0																																						2																	0				1																															
12647																																																																																						21090	1073	1073	9.8691%	16.4802%	15.6417%	20017	127972	202826	0	0			8.4802%							3106	203221								0	0	0		0		17306	15.6417%	1	0	20412	0	395	0	0	0	0	0		0	20017	0	0	20017	0	0	0	0	0	0	0	0	0	1073	0	395	0			
12656																																																																																						2417	135	135	10.4054%	22.5361%	21.2774%	2282	10725	21931	0	0			14.5361%							1822	21931								0	0	0		0		460	21.2774%	1	0	2282	0	0	0	0	0	0	0		0	2282	0	0	2282	0	0	0	0	0	0	0	0	0	135	0	0	0			
12946																																																																																						240480	24046	24046	8.8945%	12.5082%	11.2575%	216434	1922584	2433345	-65330	0			4.5082%							153806	2468822								0	0	0		0		98104	11.2575%	1	0	186580	25140	10336	0	-65330	0	0	0		0	216434	0	0	216434	0	0	0	0	0	0	0	0	0	24046	0	35477	0			
13103																																																																																						405247	21475	21475	12.9490%	14.3603%	13.5993%	383772	2822004	2963718	-50130	9471			6.3603%							365044	2988979								0	0	0		0		34519	13.5993%	1	0	349433	11072	4718	0	-40658	0	-9471	0		0	383772	0	0	383772	0	0	0	0	0	0	0	0	0	21475	0	15790	0			
13251																																																																																				65014	0				10.3424%			6657		64366	-404	0										4157	64366	0	0.0000%	2614	0	0	2614	4.0207%	0	0	0	0	1		2500		1	0	6253	0	0	0	-404	0	0	0		0	6657	0	0	6657	0	0	0	0	0	0						0	0	0		
13457																																																																																				27464	0				15.7606%			4337		27518	-95	0										144	27518	0	0.0000%	2819	0	0	2819	10.2643%	0	0	0	0	1		4193		1	0	4242	0	0	0	-95	0	0	0		0	4337	0	0	4337	0	0	0	0	0	0						0	0	0		
14155																																																																																				319620	0				10.2539%			32048		312546	-1105	0										31712	312546	0	0.0000%	0	0	865	865	0.2706%	0	0	0	0	1		336		1	0	30943	0	0	0	-1105	0	0	0		0	32048	0	0	32048	0	0	0	0	0	0						0	0	10829		
14650																																																																																				52003	0				11.0497%			5634		50988	0	0										5224	51078	0	0.0000%	198	0	0	198	0.3807%	0	0	0	0	1		500		1	0	5724	90	0	0	0	0	0	0		0	5634	0	0	5634	0	0	0	0	0	0						90	0	0		
14753																																																																																						6137	391	1368	7.7757%	19.6724%	15.2872%	4769	31196	61332	-803	0			9.2872%							3192	61332								0	0	0		0		1577	15.2872%	1	0	3966	0	0	0	-803	0	0	0		0	4769	0	0	4769	0	0	0	0	0	0	977	0	0	1368	0	0	0			
14865																																																																																						69039	5442	5442	8.3246%	11.6697%	10.7498%	63597	591609	763962	-3882	0			3.6697%							46299	765303								0	0	0		0		18639	10.7498%	1	0	61056	0	1119	222	-3882	0	0	0		0	63597	0	0	63597	0	0	0	0	0	0	0	0	0	5442	0	1341	0			
14977																																																																																				54498	0				20.1507%			10486		52038	-11	0										10497	52038	0	0.0000%	10770	0	0	10770	19.7622%	0	0	0	0	1		0		1	0	10486	0	0	0	0	0	0	0		0	10486	0	0	10486	0	0	0	0	0	0						0	0	0		
16551																																																																																				424583	0				9.8938%			42083		425347	-7060	0										24516	427780	0	0.0000%	28494	0	331	28825	6.7890%	0	0	0	0	1		20000		1	0	37456	2433	0	0	-7060	0	0	0		0	42083	0	0	42083	0	0	0	0	0	0						2433	0	0		
17110																																																																																						35099	361	361	20.0016%	22.3789%	22.1487%	34738	156840	173676	0	0			14.3789%			0				27452	173676								0	0	0		0		7286	22.1487%	0	0	34738	0	0	0					0	0	34738	0	0	34738	0	0	0	0	0	0	0	0	0	361	0	0	0			
17147																																																																																						1712368	175223	175223	9.0158%	12.2907%	11.0330%	1537145	13932274	17049526	-196530	0			4.2907%			1				606788	17804220								0	0	10992		0		1685052	11.0330%	1	0	2095310	711413	31424	865	-194429	51	-2151	0		0	1548137	0	10992	1537145	0	0	0	0	0	0	0	0	0	175223	0	754694	0			
