"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	11056	17462	235	0	0	120	0	0	17462	0	0	-6521	
242	3218	5193	254	0	0	270	0	0	5193	0	0	-1959	
279	42514	46429	885	0	0	0	0	0	46429	0	0	-4800	
354	5593	2846	111	0	2650	0	0	0	2846	0	0	-14	
457	5505	5002	739	0	0	154	0	0	5002	0	0	-82	
505	61757	60741	2986	0	0	398	0	0	60741	0	0	-1572	
1155	44009	47165	2943	0	0	0	0	0	47165	0	0	-6099	
1351	29073	28973	1529	0	0	786	0	0	28973	0	0	-643	
1454	51068	105480	7016	0	0	3000	0	0	105480	0	0	-58428	
1669	46649	49629	2474	0	0	0	0	0	49629	0	0	-5454	
1856	6393	7470	217	0	0	1000	0	0	7470	0	0	-294	
2161	25048	31877	656	0	3400	0	0	283	32160	0	0	-11168	
2732	106855	106257	2795	0	0	901	0	-18	106239	0	0	-1278	
2750	6676	8000	311	0	0	192	0	0	8000	0	0	-1443	
3252	28301	31626	1975	0	0	800	0	0	31626	0	0	-4500	
3458	4348	5756	219	0	0	15	0	0	5756	0	0	-1612	
3720	35907	41915	1860	0	0	288	0	0	41915	0	-681	-6899	
3971	88052	96300	5446	0	0	2500	0	0	96300	0	0	-11194	
4156	19424	25373	455	0	0	425	0	0	25373	0	0	-5979	
4231	14986	19520	585	0	0	0	0	0	19520	0	0	-5119	
5069	208389	203210	11613	0	0	5389	0	0	203210	0	0	-1045	
5135	88495	86936	2821	0	0	455	0	0	86936	0	0	-807	
5210	243618	266983	15136	0	0	4520	0	0	266983	0	0	-33981	
5461	45621	78044	3272	0	0	1991	0	0	78044	0	0	-33704	
5751	32386	41797	2278	0	0	2100	0	0	41797	0	0	-9589	
6039	35847	34971	1606	0	0	0	0	0	34971	0	0	-730	
6329	125193	126411	13407	0	0	1000	0	0	126411	0	0	-13625	
7009	102538	102239	14483	0	0	9000	0	0	102239	0	0	-5184	
7045	10552	24593	761	0	0	0	0	0	24593	0	0	-14802	
7072	39720	41840	552	0	0	0	0	0	41840	0	0	-2672	
7456	8262	10501	668	0	0	267	0	0	10501	0	0	-2640	
7634	9372	11436	643	0	0	1225	0	0	11436	0	0	-1482	
8033	56380	53825	3378	0	0	500	0	0	53825	0	0	-323	
8462	19694	27827	1144	0	0	400	0	0	27827	0	0	-8877	
8631	5545	7151	55	0	0	80	0	0	7151	0	0	-1581	
9357	111354	113207	4011	0	0	4408	0	0	113207	0	0	-1456	
9553	13380	19058	1285	0	0	1350	0	0	19058	0	0	-5613	
9807	290650	297319	10465	0	0	9815	0	0	297319	0	0	-7319	
9955	20049	23746	1161	0	0	525	0	0	23746	0	0	-4333	
10250	23930	51130	3421	0	0	1252	0	0	51130	0	0	-29369	
10849	25660	29284	1597	0	0	154	0	0	29284	0	0	-5067	
11145	30974	42436	2083	0	0	460	0	0	42436	0	0	-13085	
11640	36652	46589	2165	0	0	0	0	0	46589	0	0	-12102	
11837	11163	16703	551	0	0	580	0	0	16703	0	0	-5511	
12030	81035	75323	7284	0	0	1000	0	0	75323	0	0	-572	
12142	10343	25067	1190	0	476	0	0	0	25067	0	0	-16390	
12311	17678085	18892169	1078258	0	0	458000	22349	0	18892169	56103	0	-1868096	
12647	20412	19916	538	0	0	42	0	0	19916	0	0	0	
12656	2282	2218	64	0	0	0	0	0	2218	0	0	0	
