"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
1228034																																							11626	14600	158063	0	2190	14973	252	6606	799781	695963	2923	699344	0	9200	458	0	100437	1105	799781	0	0	105502	0	0	1365	165	213608	482355			0	571241	562041	-7535	29265	0	0	0	100437	0	0	
1293078																																							3332	3651	29544	0	0	3236	0	5106	175104	141896	526	162422	0	1152	20000	0	12682	583	175104	0	0	5881	0	0	10368	0	51948	89948			0	118277	117125	-4150	13110	0	0	0	12682	0	0	
1356768																																							254237	52223	863401	0	5656	68836	0	135703	4417447	4018443	52258	4073655	0	50703	2954	0	343792	1576	4417447	0	0	234025	0	0	180569	0	1557049	2461394			0	3084915	3034212	-72378	0	0	0	0	343792	3179	0	
1369870																																							1303	4568	2910	0	3014	149	0	1273	13217	0	1105	1105	0	0	0	0	12112	6	13217	0	0	0	0	0	12175	0	0	0			0	0	0	-69	0	0	0	0	12112	0	0	
1386251																																							3130185	253620	1007061	32336	83564	249411	38909	329179	10537441	9433923	94989	9535012	0	76749	0	0	1002429	20863	10537441	0	0	924319	4784	20000	77689	7360	4400018	5033905			0	5475389	5398640	-40442	0	0	6100	0	1002429	0	2392	
1387203																																							10813	4157	119808	0	8283	10763	0	2242	291756	271865	218	272083	0	1360	0	0	19673	280	291756	0	0	12717	0	0	21739	798	47943	223922			0	108252	106892	-15063	28000	0	0	0	19673	0	0	
1387605																																							35403	32767	463219	71	15998	44421	2017	67598	2245127	1948259	18518	2075794	0	23040	27500	0	169333	3500	2245127	0	0	144473	0	0	47189	6310	496875	1451384			0	1600363	1577323	-25829	0	0	0	81517	169333	0	0	
1391778																																							1244222	59741	100400	0	11955	1	0	1075811	9198450	3557863	329803	7532017	0	861542	3644351	0	1666433	17500	9198450	0	0	1442433	0	0	211231	0	40680	3517183			0	7563990	6702448	-4731	0	0	0	0	1666433	3872	0	
1394621																																							157830	22853	60131	0	0	11976	1372	9965	1023747	893513	2934	896447	0	5760	0	0	127300	85	1023747	0	0	133036	0	0	1034	305	384456	509057			0	429173	423413	-6855	30825	0	0	0	127300	0	305077	
1394676	19851549	71543	2026869	66911	39877	0	0	1505668	137922091	7049029	124694228	0	2840729	12275189	800000	13227863	50	137922091	0	0	8842171	1109035	0	4410833	4137		0	115432941	112592212	-25191	0	0	13227863	654290	0	0	0	0			2026869							104570010					12275189					0	0						358740	104211269							0	0	0	0		654290		
1396764																																							97214	1255	261777	0	19	2338	63	9684	656169	530923	5995	536918	0	9216	0	0	119251	3617	656169	0	0	27667	0	0	94039	0	131991	398933			0	283311	274095	-6072	0	0	0	0	119251	9723	1	
1397471																																							3580	2330	9315	0	207	5199	575	4378	286413	261306	790	262596	0	3266	0	0	23817	1000	286413	0	0	20187	0	0	3500	8191	39398	221908			0	88800	85534	-870	0	0	500	0	23817	0	167104	
1402384																																							22690	1654	13377	0	1851	8739	0	3213	152040	136744	1079	137823	0	1284	0	0	14217	500	152040	0	0	2907	0	0	11973	0	43504	93240			0	98000	96716	-1163	3800	0	0	0	14217	0	0	
1404481																																							61331	5625	78009	0	0	4436	96	5396	294571	267420	318	277738	0	1964	10000	0	16833	1500	294571	0	0	20975	0	0	4732	0	46663	220757			0	138642	136678	-10374	3000	0	0	0	16833	0	0	
1404883																																							5071	5363	36854	0	0	1277	0	2074	197746	148776	904	179680	0	2206	30000	0	18066	625	197746	0	0	12316	0	0	10575	0	89914	58862			-3450	149193	146987	-2000	120	0	0	0	18066	0	0	
1412712																																							99915	2361	57681	0	1601	11981	2250	26285	1106712	895372	15156	1000528	0	10866	90000	0	106184	4052	1106712	0	0	60862	0	0	41717	23124	237404	657968			0	889548	878682	-447	0	0	0	0	106184	196	2636	
1414819																																							328104	78670	313658	0	0	458	0	15639	1178553	1099491	4755	1104246	0	8236	0	0	74307	9000	1178553	0	0	84430	0	0	8800	0	645058	454433			0	449343	441107	-27923	0	0	0	0	74307	917	0	
1416279																																							0	1699	27216	0	150	0	0	1857	30922	502	3773	4275	0	0	0	0	26647	10	30922	0	0	5463	0	0	21746	0	0	502			0	0	0	-572	0	0	0	0	26647	0	0	
1418255																																							18263	3400	0	0	0	5626	0	687	91775	79976	614	80590	0	2170	0	0	11185	2000	91775	0	0	6635	0	0	2550	0	17469	62507			0	51520	49350	0	14449	0	0	0	11185	0	0	
