"IDRSSD"	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	RCONMG95	
	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	Amortized cost of available-for-sale	
307361																								0	0	0	0	0	0	27071	25041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
307679																								4509	4468	8450	8267	10954	10674	21880	21052	0	0	0	0	0	0	2716	2656	0	0	0	0	0	0	11023	10467	0	0	0	0		
307932																								0	0	3977	3945	0	0	750	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
308256																								8000	7609	2000	1906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
308340																								0	0	5183	4894	17	17	18179	16616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13550	12079	0	0	0	0		
308836																								0	0	25000	24060	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
309150																								0	0	3990	3906	0	0	13988	12927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
309655																								0	0	639	635	0	0	24625	23561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
309851																								206	194	2014	1816	1043	1007	17418	15636	0	0	0	0	115	114	1021	1005	0	0	0	0	0	0	0	0	0	0	0	0		
310754																								0	0	1800	1701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
310950																								0	0	1650	1578	0	0	570	542	0	0	0	0	0	0	3023	2857	0	0	0	0	0	0	5437	5201	0	0	4823	4734		
310978																								0	0	2500	2300					0	0	0	0	0	0	1070	1025	0	0	0	0	0	0	460	437	0	0	0	0		
311050																								0	0	7253	7321	193739	172492	72781	67701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2252	2228	0	0	0	0		
311144																								750	727	0	0	0	0	4474	4005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
311256																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
311265																								0	0	14072	13800	0	0	36028	32642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1047	1047	0	0	0	0		
311603																								0	0	46857	43463	0	0	166361	148880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
311658																								0	0	6891	6324	0	0	6197	5660	0	0	0	0	0	0	784	780	0	0	0	0	0	0	0	0	0	0	0	0		
311845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1737695	1671843					0	0	0	0	0	0	0	0	0	0	0	0	0	0	2577233	2263604	0	0	0	0		
311939																								0	0	23368	21643	0	0	2826	2764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3381	3130	0	0	0	0		
312244																								0	0	0	0	0	0	40672	35878	0	0	0	0	0	0	10739	10309	0	0	0	0	0	0	49257	44622	0	0	0	0		
312356																								0	0	507	472	0	0	3929	3605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
313009																								0	0	4614	4100	0	0	7072	6681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5396	4797	0	0	0	0		
313157																								0	0	0	0	0	0	11219	10201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2154	1974		
313223																								0	0	0	0	9153	8414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
313577																								0	0	55769	49773	0	0	80957	71793	0	0	0	0	0	0	18926	17151	0	0	0	0	0	0	4472	4003	0	0	0	0		
314257																								0	0	165400	156315	0	0	27280	25660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
314444																								0	0	0	0	0	0	15009	12837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
315656																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
316840																								0	0	170000	157035					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
