"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
13251	0	5485					587	0	8770					0	0	0			0	1712	0	0										0		
13457	0	3609					0	0	7343					0	0	0			0	2461	0	0										0		
14155	0	12928					516	0	33867					0	0	0			0	16021	0	0										0		
14650	802	0					64	5934	0					0	0	0			5127	0	0	0										0		
14753	0	390					182	1667	11374					0	0	0			1541	6182	0	0										66		
14865	0	0					1199	2533	123209					0	0	0			1210	949	0	0										0		
14977	0	6412					214	0	6412					0	0	0			0	0	0	0										0		
16551	0	81942					1469	29049	106569					0	0	0			25299	20471	0	0										0		
17110	100	0					219	100	0					0	0	0			0	0	0	0										46021		
17147	0	14234					38115	2333924	2291565					600077	0	0			1117526	1505250	0	186468										0		
17259	0	2098					302	745	20790					0	0	0			745	10849	0	0										0		
17950	0	46898					2008	0	413687					0	0	0			0	84139	0	0										0		
17978	37066	0					3343	144674	0					7058	0	0			10319	0	0	0										0		
18050	0	58933					1761	10747	429522					0	0	0			9894	144969	0	0										0		
18827	0	180982					8992	0	309858					97000	0	0			0	52286	0	0										1087		
18836	0	2837					582	0	44642					0	0	0			0	9324	0	0										0		
18854	0	102777					1192	0	185048					0	0	0			0	31347	0	0										0		
19356	0	0					493	0	11558					5000	0	0			0	10023	0	0										0		
19936	4880	17949					419	5686	111981					5413	0	0			280	17436	0	0										0		
19972	0	0					34	27240	0					0	0	0			27186	0	0	0										0		
20053	0	942					243	0	9223					0	0	0			0	4226	0	0										0		
20633	0	2328					914	0	60700					8633	0	0			0	24231	0	0										701		
20857	0	67350					1208	0	188186					16255	0	0			0	113668	0	0										39		
21256	0	0					59	0	3302					0	0	0			0	0	0	0										0		
21359	0	4043					316	241	19421					0	0	0			0	2584	0	0										0		
21658	0	28132					36	0	88366					5347	0	0			0	18267	0	0										0		
22048	0	1970					1330	0	58973					7077	0	0			0	17698	0	0										0		
22543	0	30050					824	0	33849					0	0	0			0	3799	0	0										49		
22552	0	20482					502	1286	32493					5734	0	0			1286	0	0	0										38		
22730	0	0					461	0	135043					282	0	0			0	56139	0	6811										0		
23456	0	498					978	411	98627					5270	0	0			411	35950	0	0										0		
23504	0	231880					42110	579965	1004907					215790	93216	93216			0	35158	0	2162										0		
23643	0	0					1725	0	88523					0	0	0			0	36527	0	0										0		
23755	0	1414					560	0	99764					0	0	0			0	41320	0	0										289		
24006	0	0					3780	428043	34621					58011	8223	8223			102705	4796	0	0										0		
24378	0	0					468	11390	7646					0	0	0			1698	0	0	0										0		
24659	35716	10831					58	38157	10831					0	0	0			2441	0	0	0										0		
24668	0	57061					5873	0	455765					0	0	0			0	352262	0	7535										0		
24949	0	27283					1581	0	127166					5000	0	0			0	0	0	0										0		
25357	0	0					4851	23510	23538					31000	0	0			0	4090	0	0										0		
25647	0	1864					1440	0	34995					14206	0	0			0	2519	0	0										0		
26457	6878	10102					0	6878	10102					0	0	0			0	0	0	0										0		
26765	0	5671					12643	987	195822					0	0	0			886	6265	0	0										0		
27070	0	8274					4260	0	224498					27000	0	0			0	97662	0	0										0		
27548	0	8003					2343	0	469249					5000	0	0			0	84485	0	0										3481		
27614	0	4959					1976	0	259077					10000	0	0			0	114623	0	0										0		
27847	0	0					2202	60	141243					10000	0	0			0	89929	0	0										0		
28013	0	0					27532	5201	1086868					383597	14217	3873			0	52	0	25000										296		
28152	0	11834					621	0	59270					0	0	0			0	32005	0	0										0		
28675	0	0					1484	0	122825					16500	0	0			0	2744	0	0										4		
28732	0	2299					262	3240	20900					0	0	0			790	6105	0	0										0		
29476	0	0					619	1139	3433					927	0	0			1139	1684	0	0										0		
29636	0	0					2545	0	563345					0	0	0			0	186148	0	124162										451		
29878	0	0					2307	0	92481					0	0	0			0	0	0	0										0		
30052	7950	0					119	10942	0					84	0	0			2992	0	0	0										0		
30502	0	0					797	0	290634					0	0	0			0	15175	0	98584										23152		
30650	0	0					422	0	29624					0	0	0			0	6254	0	0										0		
30810																																		
31134	0	2969					113	0	27032					0	0	0			0	17943	0	0										0		
31255	0	19447					2865	0	166927					0	0	0			0	123668	0	0										0		
31657	0	0					402	125527	0					0	0	0			11632	0	0	0										0		
31826	0	25420					1764	0	62001					0	0	0			0	22368	0	0										0		
31835	0	10727					1916	2210	43909					1600	0	0			2210	11701	0	0										0		
32234	0	33091					2742	0	224663					0	0	0			0	127317	0	0										0		
32766	0	0					957	0	0					19000	0	0			0	0	0	0										0		
32971	0	10599					1265	1	63208					7500	0	0			0	38435	0	0										45		
33147	0	2449					810	0	16661					0	0	0			0	1883	0	0										0		
33259	0	123028					2058	1405	183569					20000	0	0			0	2861	0	0										0		
33268	0	27800					0	0	94129					0	0	0			0	36796	0	0										0		
33370	0	0					463	56	0					3504	0	0			0	0	0	0										0		
33839	0	1986					40	0	13633					0	0	0			0	2740	0	0										0		
33857	0	15945					8463	0	110330					168151	0	0			0	38034	0	0										0		
