"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLG24	RCONLG25	RIADG377	
135854																																																																16807	0		43478			4767	432		0	71218	0	0	0	58	0	58	40748	0	26	16	16	0	0	29299	11423	7289	14720	4578	3852				181	0			0	0	0	0	0	4434			0			0	0														22364	0	0	0	0		0	0	0	0	0	0	0	0	0	355	0	0	0	0	0			0	0	0	0	0	706	0	CONF	CONF		
136048																																																																21092	0		13620			16580	27		59	73358	0	0	0	7429	120	3281	16854	161	879	3376	343	2577	93	9306	8550	13465	22538	8450	1868				0	11			0	0	497	0	9460	1987			0			0	0														23049	0	0	0	270		0	18	0	0	0	0	0	0	0	1282	0	0	0	0	0			270	264	0	0	0	1176	0	CONF	CONF		
136338																																																																1743	1263		438			22136	4026		618	232381	0	0	0	97177	706	17853	37740	5582	7378	19662	31678	22808	7769	13248	15079	25937	25340	38266	16316				0	50			0	0	7274	18131	49566	25688			0			843	0														146551	0	0	0	843		0	0	0	0	0	0	0	0	0	541	0	0	0	0	0			0	0	0	0	0	3024	0	CONF	CONF		
136459																																																																4802	0		328			3923	68		0	13980	0	0	0	1315	0	0	1582	136	617	20	284	258	0	762	475	3050	2992	5331	34				0	0			0	0	0	1054	1376	852			0			0	0													0	1315	0	0	0	47		0	0	0	0	0	0	0	0	0	64	0	0	0	0	0			0	0	0	0	0	198	47	CONF	CONF	0	
136655																																																																15619	144		5960			4312	0		574	58837	0	0	0	26980	513	23213	6462	940	3409	13502	5441	1227	2434	3182	4334	4513	3808	4411	11472				0	40			0	0	399	21	129	1625			0			0	0														15826	0	0	0	0		0	0	0	0	0	0	0	0	0	1915	0	0	0	0	0			0	0	0	0	0	606	0	CONF	CONF		
137205																																																																9950	50803		60786			297204	68378		38367	1508013	3254	0	3887	410417	4014	24184	79357	9576	25157	37928	71158	79728	183254	170764	89560	283033	235536	235923	80369				0	738			0	0	13411	78635	174509	287016			0			4639	1270														791551	0	0	0	20882		0	93	0	0	0	0	0	0	0	1899	0	824	812	5710	7233			515	0	515	0	0	15047	1149	CONF	CONF		
137447																																																																58870	829		19908			21268	366		1255	204847	0	0	184	46174	1042	28940	54647	3177	8349	18787	14999	592	203	22554	26875	42576	37646	22832	5291				0	71			275	127	2633	423	28746	20353			0			0	115														32123	0	0	0	447		0	30	0	0	0	0	0	0	0	1302	0	0	0	0	98			349	323	0	0	0	1577	0	CONF	CONF		
137456																																																																11051	0		10047			16741	0		3792	70045	65	0	0	16295	216	14959	11993	619	84	1566	1371	4713	7942	6850	5406	10500	15000	12823	3236				0	0			0	0	44	372	2237	5572			0			60	0														0	0	0	0	60		0	52	0	0	0	0	0	0	0	1863	0	0	0	0	0			0	0	0	0	0	1828	0	CONF	CONF		
137559																																																																28323	0		24017			21121	0		0	98131	0	1405	0	11141	0	0	9952	829	219	331	614	8568	581	15145	13417	36244	7505	5268	8282				0	0			0	0	0	0	0	7961			0			0	0														0	0	0	0	0		0	89	0	0	0	0	0	0	0	1576	0	0	0	0	0			0	0	0	0	0	2498	0	CONF	CONF		
137643																																																															0	34205	1525		25725			10955	0		1145	96107	0	0	0	10829	0	0	26031	0	415	1649	3360	5405	0	19050	6566	14038	18238	26148	1223				0	16			0	0	452	53	6086	3696			0			0	0													0	10829	0	0	0	0		0	17	0	0	0	0	0	0	0	1047	0	0	0	0	0			0	0	0	0	0	356	0	CONF	CONF	0	
