"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	10941	0	7164	19907	0	33692	0	0	0	0	35916	0	420	7579	15997	2062	2554	26528	35496	0	0	227	0	0	2169	10619	7713	1263	12787	517	0	259	374	5767	1150	0	0	517	0	true							
242	7943	0	849	10997	0	17063	0	0	0	0	24881	0	4019	3358	4778	6261	1507	16214	20862	0	0	143	0	0	1363	2626	2015	826	3989	0	2806	519	522	2053	3846	0	0	2806	0	true							
279	59140	0	602	31952	0	90646	0	0	0	0	145006	0	1198	547	30650	10104	14431	90044	143808	0	0	6378	0	0	12766	26614	23584	2603	39380	2948	2920	4327	0	34917	10195	0	0	5868	0	true							
354	2153	0	125	10720	0	10720	0	0	0	0	7896	0	823	531	1548	3208	0	10595	7073	0	0	0	0	0	729	1547	0	0	2276	0	259	0	0	728	259	0	0	259	0	false							
457	7521	0	575	9724	0	13008	0	0	0	0	31394	0	4095	2671	6211	13459	2365	12433	27052	0	247	1082	0	0	2286	4108	2734	500	6394	0	504	281	0	3417	785	0	0	504	247	true							
505	254313	0	4894	77587	0	78957	0	0	19995	0	526891	0	127769	131911	17945	215693	3956	74063	399122	0	0	797	0	0	5466	16250	6031	292	21698	22691	5149	1005	0	10095	28845	30699	19995	27840	0	false							
1155	1066	2	10781	38665	0	182107	0	0	0	0	71203	0	1053	10646	26659	19732	7725	171069	70150	255	0	2550	0	0	18083	17827	4658	976	32799	1700	4789	2372	0	14885	8861	610	0	5813	0	true							
1351	9806	0	12271	27238	0	48759	0	0	0	0	109926	0	11806	22805	36752	24905	9389	36488	98120	0	0	4465	0	0	12127	29865	19336	0	41992	1215	7443	5229	0	24576	13887	0	0	8658	0	false							
1454	919	0	40963	270277	0	439858	0	0	0	0	378676	585	42335	72173	34277	286705	26160	398895	335756	0	0	9353	0	0	20978	15723	8609	5462	30795	32906	2999	942	3433	16495	40280	1011	0	6808	0	true							
1669	43317	23	31087	89771	0	175110	0	0	0	0	126616	0	358	31445	24435	31316	9479	143912	126218	88	40	3196	0	0	11340	20015	5526	4399	30486	2224	4637	2325	1517	16845	10703	0	0	6861	0	false							
1856	1673	0	1288	3499	0	6992	0	0	0	0	40925	0	3436	4026	4179	15524	0	5704	24505	0	12984	0	0	0	3749	11018	3430	249	14767	1500	3783	0	0	14267	5283	0	0	5283	7554	false							
2161	36448	0	9454	113844	0	124687	0	0	0	0	101424	0	13113	1536	7748	40717	7306	114197	88311	1036	0	0	0	0	5312	9160	1675	808	14472	1841	5189	0	274	9207	7304	18161	0	7030	0	true							
2732	61819	0	9004	158515	0	220055	0	0	0	0	365776	0	11292	19796	31474	129763	12164	211051	354484	0	0	4646	0	0	14401	34409	15556	3425	48677	38826	39885	26812	879	36317	106402	0	0	78711	0	true							
2750	18227	0	3470	6455	0	16014	0	0	0	0	39453	0	10479	4879	6762	751	1683	12544	25561	0	3413	714	0	0	4336	9361	3944	539	12918	1034	578	685	0	11417	2297	0	0	1611	3413	true							
3252	17568	0	74578	40882	0	116186	0	0	1369	0	89184	0	32408	91440	10272	28748	4949	41608	55768	0	1008	0	858	248	4024	9840	7515	1447	13864	10045	9004	994	0	12553	20043	16749	511	19049	1683	false							
3458	3264	0	2221	8294	0	15699	0	0	2000	0	40238	0	6972	6578	12103	3474	1165	13478	33266	0	0	266	2000	2000	4025	14543	7033	1978	16568	0	2957	2675	288	15477	5920	0	0	2957	0	true							
3720	63776	0	21798	71978	0	166382	0	0	0	0	105256	0	6376	27338	18373	3066	5132	144584	98880	0	0	1224	0	0	10541	16464	1187	0	26921	1672	7831	720	0	9819	10223	0	0	9503	0	true							
3971	117075	0	191	153076	0	261635	0	0	9849	0	371159	0	3253	905	75472	110109	15239	261444	353599	0	14307	4243	9849	7758	20781	54229	40213	8511	75010	1323	8261	9158	1499	48262	20241	0	0	9584	4458	true							
4156	27586	0	11338	53178	0	115689	0	0	0	0	116701	0	23265	23866	16312	41740	3746	104351	90959	0	2477	1651	0	0	14372	14969	6700	4400	29340	2548	2243	1158	986	24128	6935	13751	0	4791	1490	true							
4231	20932	0	20037	33109	0	59219	0	0	0	0	59579	0	702	18812	12858	6636	12393	39182	58877	0	0	8204	0	0	7191	10670	5650	3802	17861	1203	390	1334	1770	14455	4697	0	0	1593	0	true							
5069	30943	0	0	68110	0	69448	0	0	58644	0	170370	0	248	0	39579	7578	1014	69448	142371	0	27751	564	58644	11520	8234	40936	51792	0	49170	8406	15928	6553	0	61383	30887	0	0	24334	5112	false							
5135	27670	0	40974	91146	0	166556	0	0	24325	0	254857	0	16760	56543	72122	46191	18162	125582	213507	0	24590	9287	23629	23629	44690	87701	3900	0	132391	16441	26330	1933	0	64169	44704	0	696	42711	0	true							
5210	1219012	17	23163	116633	0	198867	0	0	0	0	1993790	0	234887	229898	237096	298120	83629	174693	1758903	994	0	27366	0	0	103576	180437	77186	15289	275067	31492	48679	14265	5733	139392	100170	33904	0	79674	9318	true	37275	34851	183509	114611	630578	206425	
