"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
837608																																																																																						89068	7126	7126	10.8263%	15.2688%	14.0472%	81942	583334	756880	-705	23067			7.2688%							81941	779947								0	0	0		0	1	14.0472%	1	0	81237	0	0	0	4172	-4877	0	0		0	81942	0	0	81942	0	0	0	0	0	0	0	0	0	7126	0	0	0			
837653																																																																																				60359	0				10.6891%			6748		63130	161	0										2956	64038	0	0.0000%	0	0	0	0	0.0000%	0	0	0	0	1	4700		1	0	7817	908	0	0	161	0	0	0		0	6748	0	0	6748	0	0	0	0	0	0						908	0	10496		
837840																																																																																				102939	0				10.0833%			11617		115210	859	0										5488	115210	0	0.0000%	1788	0	0	1788	1.7370%	0	0	0	0	1	6129		1	0	12476	0	0	0	859	0	0	0		0	11617	0	0	11617	0	0	0	0	0	0						0	0	1984		
837952																																																																																				130828	0				11.9153%			17661		148221	968	0										12431	148221	0	0.0000%	5153	0	10	5163	3.4347%	0	0	0	0	1	5230		1	0	18629	0	0	0	968	0	0	0		0	17661	0	0	17661	0	0	0	0	0	0						0	0	0		
837970																																																																																						81867	2650	2650	17.3824%	38.7562%	37.5017%	79217	211236	455730	1871	116			30.7562%							79217	455846								0	0	0		0	0	37.5017%	1	0	81088	0	0	0	1755	0	116	0		0	79217	0	0	79217	0	0	0	0	0	0	0	0	0	2650	0	0	0			
838155																																																																																						2433	195	195	6.6918%	12.1444%	11.1710%	2238	20034	33444	120	0			4.1444%							1088	33444								0	0	0		0	1150	11.1710%	1	0	2358	0	0	0	120	0	0	0		0	2238	0	0	2238	0	0	0	0	0	0	0	0	0	195	0	0	0			
839068																																																																																				662300	0				12.4494%			86184		692273	5755	0										49580	694669	0	0.0000%	29539	0	894	30433	4.5950%	0	0	0	0	1	39000		1	0	94335	2396	0	0	5755	0	0	0		0	86184	0	0	86184	0	0	0	0	0	0						2396	0	0		
839246																																																																																				148828	0				9.0814%			15344		168960	1146	3608										11794	172568	0	0.0000%	9081	0	488	9569	6.4296%	0	0	0	0	1	3550		1	0	16490	0	0	0	1146	0	0	0		0	15344	0	0	15344	0	0	0	0	0	0						0	0	0		
839255																																																																																						49643	3651	3651	9.0193%	17.0517%	15.7976%	45992	291132	509928	4050	0			9.0517%							40165	510101								0	0	0		0	6000	15.7976%	1	0	50215	173	0	0	4050	0	0	0		0	45992	0	0	45992	0	0	0	0	0	0	0	0	0	3651	0	173	0			
839572																																																																																						87845	5353	5353	9.4925%	19.4648%	18.2787%	82492	451301	869025	5143	5143			11.4648%							63815	874168								0	0	0		0	18677	18.2787%	1	0	87635	0	0	0	5143	0	0	0		0	82492	0	0	82492	0	0	0	0	0	0	0	0	0	5353	0	0	0			
