"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
727174			11	486	31	3692	23	9163	0	0	0	0	0	0															false	false	
728948			37	1527	43	4808	43	31172	421	8205	64	6240	48	26468			37	1491	58	7478	57	13022	416	10680	104	11569	68	14499	false	false	
728957			29	1032	37	4338	41	11942	258	5363	55	5183	27	5255			86	3204	94	11891	58	15321	354	7142	46	4635	15	4441	false	false	
729011			72	2911	97	12356	123	41565	565	14715	114	13021	45	12186			2	127	3	426	3	290	4	87	1	147	0	0	false	false	
729057			82	3103	55	6933	39	11142	159	4090	21	2228	12	3112			16	669	11	1315	5	799	37	1036	12	1354	3	851	false	false	
729178			67	2567	40	4215	27	9788	247	4807	19	2054	9	2038	84	132													true	false	
729310			124	6768	132	17131	126	49130	954	25197	231	26111	202	64591			1	95	0	0	1	356	4	82	0	0	2	671	false	false	
729459			22	757	26	3614	37	14323	146	3432	26	2985	5	1785			20	1136	11	1688	4	1110	18	268	1	141	0	0	false	false	
729570			7	276	8	976	5	2089	17	628	7	775	3	1218			0	0	0	0	1	211	0	0	0	0	0	0	false	false	
729842			46	1637	21	1906	18	6764	92	1876	8	768	10	3988			38	1667	36	4300	27	7875	33	808	23	2167	14	3086	false	false	
729945			36	1111	15	1239	8	2252	102	1674	19	1499	5	985			11	372	16	1810	11	2784	42	1016	11	826	11	1883	false	false	
730745	3	16															5	117	11	860	10	2711	18	227	0	0	9	648	false	true	
731050			35	1226	20	2701	2	701	217	4988	40	4554	8	2072			2	175	15	2042	12	2368	899	32524	222	19410	37	8710	false	false	
731247			141	6202	255	34698	360	140207	2793	65134	672	69269	318	89751			116	4822	252	29605	204	50953	868	19796	265	27684	68	14395	false	false	
731957			3	94	7	670	4	985	5	204	1	78	0	0			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
732178			92	4308	86	10442	100	36309	1134	24058	85	9573	57	18184			47	2175	64	8460	56	19104	445	6881	12	871	0	0	false	false	
732253			18	689	21	2547	24	8793	179	3642	11	919	14	4223			72	2722	24	2633	16	4717	90	1623	14	1129	8	1428	false	false	
732637	43	80																											false	true	
732758			0	0	18	1773	13	5817	9	274	3	394	10	3456			0	0	0	0	0	0	0	0	3	288	3	465	false	false	
732918			124	5600	158	20071	139	51427	559	13581	91	9435	29	9162			11	547	14	2125	11	2769	22	246	3	135	0	0	false	false	
732954			5	174	5	507	1	464	35	921	6	626	2	712			3	87	7	921	2	196	50	599	3	266	0	0	false	false	
733054			10	373	7	1003	21	9122	351	7585	42	4628	31	6592			12	601	24	3040	7	1420	265	5009	27	2471	16	4254	false	false	
733540			26	1009	12	2193	17	10426	127	4390	20	3320	12	6049			6	300	1	146	1	359	1	95	0	0	0	0	false	false	
733559			90	3704	57	8039	37	20199	237	6772	63	7771	51	15666			101	4154	74	9948	58	17948	151	4142	45	5259	33	7085	false	false	
733661																													false	false	
733755			15	592	23	2315	18	7896	129	3384	22	2239	10	3369			40	1206	27	3286	12	3799	69	1638	7	1086	0	0	false	false	
733951	210	11577															107	4076	96	12331	44	12152	397	8553	48	5118	17	3909	false	true	
734248			92	2711	44	5681	31	13269	237	4487	23	2343	31	15434			130	6523	89	10961	71	18582	112	2933	26	2967	12	3737	false	false	
734350			132	4906	78	10665	95	38560	475	10168	87	10526	58	20250			20	662	16	2040	11	3402	20	644	8	986	1	105	false	false	
734538			0	0	5	258	66	40328	0	0	3	500	21	7840															false	false	
