"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONFT17	RCONFT18	RCONFT19	RCONFT20	RCONFT21	RCONFT22	RCONHK18	RCONHK19	RCONK102	RCONK103	RCONK104	RCONK192	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	DOES THE INSTITUTION HAVE ASSETS COV	LOANS AND LEASES COVERED BY LOSS SHA	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	OTHER REAL ESTATE OWNED COVERED BY F	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	LS SHR FDIC CVRD LS SHAR PD 30 - 89	LS SHR FDIC CVRD LS SHAR PD 90	LS SHR FDIC CVRD LS SHAR NACRL	ASSET CVR LS SHR FDIC OREO PRTN PROT	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
21359				false			false			false	false		false		false		false			false	false																	
21658	0	1453																											0	0	0	0						
22048				false			false			false	false		false		false		false			false	false																	
22543	8164	0		true	0	0	true	28676	2257	true	false		false		true	244933	false			false	false						2252	0								201	0	
22552				false			false			false	false		false		false		false			false	false																	
22730				false			false			false	false		true	6307	false		false			false	false																	
23456				false			false			false	false		false		false		false			false	false																	
23504	1377100	0						0	0																				0	0	0	0						
23643				false			false			false	false		false		false		false			false	false																	
23755	6968	6615		true	0	0	false			false	false		true	156	true	209058	false			false	false																	
24006	0	184429		true	0	0	false			true	false		false		false		false			false	false						6990	6990								5104	-5104	
24378				false			false			false	false		false		false		false			false	false																	
24453				false			true	114694	11773	false	false		false		false		false			false	false																	
24659				false			false			false	false		false		false		false			false	false																	
24668				false			false			false	false		false		true	90109	false			false	false																	
24949				false			true	20464	3547	false	false		true	9228	true	162438	false			false	false																	
25357				false			false			false	false		false		false		false			false	false																	
25647	0	0																											0	0	0	0						
26176				false			false			false	false		false		true	238	false			false	false																	
26457				false			false			false	false		false		false		false			false	false																	
26765				false			false			false	false		true	68984	false		false			false	false																	
27070				false			false			false	true	51475	false		false		false			false	false																	
27548	79638	0						77796	6096																				0	0	0	0						
27614				false			false			false	false		true	7300	true	35706	false			false	false																	
27847				false			false			false	false		false		false		false			false	false																	
28013	0	78353																											0	0	0	0						
28152	35448	0																											0	0	0	0						
28675	0	0																											0	0	0	0						
28732				false			false			false	false		false		false		false			false	false																	
29476				false			false			false	false		false		false		false			false	false																	
29636				false			false			false	false		false		false		false			false	false																	
29878	0	0																											0	0	0	0						
30052				false			false			false	false		true	8073	false		false			false	false																	
30502	154746	0		true	0	0	true	5946	237	false	false		true	784	true	143181	false			false	false																	
30650				false			false			false	false		false		false		false			false	false																	
30810																																	651844	0	200000			
31134	0	0																											0	0	0	0						
31255	0	0						0	0																				0	0	0	0						
31657				false			false			false	false		false		false		false			false	false																	
31826	0	0																											0	0	0	0						
31835				false			false			false	false		false		false		false			false	false																	
32234	105000	0		true	0	0	false			false	false		false		false		false			false	false																	
32766				false			false			false	false		false		false		false			false	false																	
32971				false			true	18434	2249	false	false		false		true	108471	false			false	false																	
33147				false			false			false	false		false		false		false			false	false																	
33259				false			false			false	false		false		false		false			false	false																	
33268	489	0		true	0	0	false			false	false		true	3368	false		false			false	false																	
33370				false			false			false	false		false		false		false			false	false																	
