"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							16553	1655	49853	0	0	251	105	698	87398	69608	166	69774	0	961	0	0	17624	1200	87398	0	0	11445	0	0	3500	0	19911	49697			0	19244	18283	1479	0	0	0	0	17624	0	0	
242																																							3065	1161	13432	0	0	564	0	446	51841	41944	25	46369	0	157	4400	0	5472	120	51841	0	0	4975	0	0	120	0	11153	30791			0	26326	26169	257	7004	0	0	0	5472	0	0	
279																																							14015	5968	12966	0	673	6839	209	9269	299643	235652	1789	268209	0	1561	30768	0	31434	1	299643	0	0	31305	0	0	0	0	31951	203701			0	214832	213271	128	2105	0	0	0	31434	0	34328	
354																																							850	430	249	0	0	101	0	182	20368	18616	99	18715	0	169	0	0	1653	100	20368	0	0	616	0	0	936	618	10720	7897			0	7670	7501	1	10437	0	0	0	1653	0	0	
457																																							12226	789	0	0	0	266	31	1570	58927	44402	107	54009	0	682	9500	0	4918	60	58927	0	0	918	0	0	3940	0	9724	34678			0	43995	43313	0	699	0	0	0	4918	6	27	
505																																							81519	5026	68132	0	1986	9819	0	16368	687274	605848	8883	630611	58	7374	15880	0	56605	6480	687274	0	0	33864	0	0	18403	3352	145481	460368			0	506896	499522	-2142	1550	0	0	0	56663	0	0	
1155																																							38043	8591	24974	0	0	3876	133	7658	281394	253310	2202	255512	0	4044	0	0	25882	1600	281394	0	0	18745	0	0	4900	323	30151	223159			0	201840	197796	637	0	0	0	0	25882	0	0	
1351																																							10323	7206	6089	0	0	4774	180	1945	186703	158685	470	159155	0	1250	0	0	27548	240	186703	0	0	26714	0	0	530	0	27238	131447			0	108102	106852	64	0	0	0	0	27548	0	49334	
1454																																							163911	15770	382580	0	0	4430	0	13802	930784	818534	3399	821933	0	4724	0	0	108851	1000	930784	0	0	99829	0	0	1214	4236	270276	548258			0	350723	345999	6808	0	0	0	0	108851	56	0	
