"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
	INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	GOODWILL	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	AMT FDIC LS SHARE AGREEMENT DEBT SCT	AMT FDIC LS SHARE AGREEMENT OTHR ASS	Cost of equity securities with readi	All other intangible asset	ASSET SHR FDIC ALL OTHR	ASSET CVR LS SHR FDIC OREO PRTN PROT	CPTV INS SUB TOTAL ASSET CPTV INS SU	CPTV INS SUB TOTAL ASSET CPTV REINS 	ALL OTHR RE OWNED IN FOREIGN OFFICES	ASSET LS SHR FDIC OTHR RE FRGN	INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	GOODWILL	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	BK ACT AS TR CUST IRA, HSA, & OTHR?	BK CUST OTHR SRVC SL PRCH SCTY?	AMT FDIC LS SHARE AGREEMENT DEBT SCT	AMT FDIC LS SHARE AGREEMENT OTHR ASS	Cost of equity securities with readi	All other intangible asset	ASSET SHR FDIC LN CNST DEV 1-4 FAM	ASSET SHR FDIC LN CNST DEV OTHR CNST	ASSET SHR FDIC LN SCD FARM	ASSET SHR FDIC LN SCD FAM OPEN SCD F	ASSET SHR FDIC LN SCD FAM CLS SCD 1S	ASSET SHR FDIC LN SCD 1-4 FAM CLS SC	ASSET SHR FDIC LN SCD MULTI RES	ASSET SHR FDIC LN SCD NFARM NRES OWN	ASSET SHR FDIC LN SCD NFARM NRES NFA	ASSET SHR FDIC ALL OTHR	ASSET SHR FDIC OTHR RE CNST DEV	ASSET SHR FDIC OTHR RE FARM	ASSET SHR FDIC OTHR RE 1-4 FAM	ASSET SHR FDIC OTHR RE MULTI RES	ASSET LS SHR FDIC OTHR RE NFARM NRES	ASSET CVR LS SHR FDIC OREO PRTN PROT	CPTV INS SUB TOTAL ASSET CPTV INS SU	CPTV INS SUB TOTAL ASSET CPTV REINS 	INST USE HOLA QTL OR IRS DBLA	INST COMPLY W HOLA QLT OR IRS DBLA	Number of outstanding PPP Loan	Outstanding balance of PPP loan	Outstanding balance of loans pledged	Quarterly average amount of PPP loan	Quarterly average amount of assets p	Outstanding balance of borrowings fr	Outstanding balance of borrowings fr	Total outstanding balance of assets	RMT TRSFR MECH ABRD RPT DT INTL WIRE	RMT TRSFR MECH ABRD RPT DT INTL ACH	RMT TRSFR MECH ABRD RPT DT OTR INST	RMT TRSFR MECH ABRD RPT DT OTR PRTY	MECH16A(2) LRGST NUM DEC312013 AFTR	MECH16A(2) LRGST NUM DEC312013 AFTR	EST NUMBER OF REMITTANCE TRANSFERS	EST DOLLAR OF REMITTANCE TRANSFERS	EST NM RMT TRNS INST APPLD TMP EXCPT	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URL	
37																																		0	105	0	0	0	0	true	0	0	20	0	85	41	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			0	0	0	0	0	0	0	0	true	false	false	false																						http://www.bankofhancock.com	
242																																		0	0	607	0	0	4400	true	0	0	0	0	0	312	0	0	true	0	0	607	1150	500	2143	0	0	0	0	0	0	0	true	false				0																	0	0			12	129	0	0	0	0	0	0	false	false	false	false																						http://www.fcbxeniaflora.com	
279																																		673	209	1160	0	12	30768	true	209	0	0	0	0	5008	3	12	false	0	0	1160	1131	24854	3623	0	0	0	0	0	0	0	false	false				661																	0	0			68	4072	0	0	0	0	0	0	true	true	false	false																						http://www.mineolacb.com	
354																																		0	0	0	0	0	0	true	0	0	0	0	0	487	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			0	0	0	0	0	0	0	0	false	false	false	false																						https://www.bisonstatebank.com	
457																																		0	31	1000	0	0	9500	true	0	0	0	0	31	1476	2	0	false	0	0	1000	4000	4500	0	0	0	0	0	0	0	0	true	false			0	0																	0	0			0	0	0	0	0	0	0	0	true	false	false	false																						www.lowrystate.com	
505																																		1986	0	12243	1594	392	15880	true	0	0	0	0	0	7818	1	392	true	0	0	12243	3637	0	0	0	0	0	0	0	0	0	true	true				0																	0	0			387	21290	0	0	0	0	0	0	true	false	false	false																						https://ww.bsnb.com	
1155																																		0	133	0	0	0	0	true	133	0	0	0	0	6451	4	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	0																	0	0			73	1221	0	0	0	0	0	0	true	false	false	false						www.firststatebankcobanking.com																www.fsbtfremont.bank	
1351																																		0	180	0	0	0	0	true	0	0	91	0	89	3199	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			65	2158	0	0	0	0	0	0	false	false	false	false																						www.bankofgrandin.net	
1454																																		0	0	0	0	0	0	true	0	0	0	0	0	14326	9	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true			9	0																	0	0			250	15473	0	0	0	0	0	0	true	false	false	false																						WWW.HILLTOP.BANK	
1669																																		0	5	0	0	0	0	true	0	0	5	0	0	6902	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			137	9692	0	0	0	0	0	0	true	false	false	false																						www.lnbparis.com	
1856																																		98	0	2500	98	0	17500	true	0	0	0	0	0	126	0	0	false	0	0	2500	0	0	15000	0	0	0	0	0	0	0	false	false				0																	0	0			7	133	0	0	0	0	0	0	false	false	false	false																						www.washitastatebank.com	
2161																																		0	0	0	0	0	27566	true	0	0	0	0	0	900	1	0	false	0	0	0	0	0	0	0	0	27566	0	0	0	27566	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			140	26499	26499	37058	0	0	27566	0	true	false	false	false																						http://www.lamarnationalbank.com	
2732																																		1112	0	0	0	0	0	true	0	0	0	0	0	30590	3	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true			0	1112																	0	0			129	17151	0	0	0	0	0	0	false	true	false	true		2	281	1270	0		Albank															www.albanybank.com	
2750																																		0	0	0	0	0	345	true	0	0	0	0	0	373	0	0	false	0	345	0	0	0	0	0	345	0	0	0	0	345	true	false			0	0																	0	0			26	1386	0	0	0	0	0	0	true	false	false	false																						www.genoacb.com	
3252																																		0	16	1100	0	0	5100	true	0	0	0	0	16	1769	1	0	false	0	0	1100	3000	1000	0	0	0	0	0	0	0	0	false	false				0																	0	0			89	4825	0	0	0	0	0	0	false	false	false	false																						http://www.fnbgordon.com	
3458																																		0	0	93	0	0	4328	true	0	0	0	0	0	0	0	0	false	0	0	93	4235	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			25	273	0	0	0	0	0	0	true	false	false	false																						www.farmbank.com	
3720																																		0	521	0	0	0	0	true	521	0	0	0	0	1884	2	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			209	11883	0	0	0	0	0	0	true	false	false	false																						www.bankofclarendon.bank	
3971																																		7428	398	21868	489	0	88143	true	0	0	398	0	0	0	0	0	true	0	0	21868	49925	16125	0	0	0	0	0	225	0	225	true	false			960	6939																	0	0	1	true	376	44480	0	1433	0	0	0	0	true	false	false	false																						www.midcountrybank.com	
4156																																		1783	22	5750	1783	0	8250	true	0	0	22	0	0	320	0	0	false	0	0	5750	1000	1500	0	0	0	0	0	0	0	0	false	false				0																	0	0			63	5546	0	0	0	0	0	0	true	false	false	false																						www.kanzabank.com	
4231																																		0	921	0	0	0	0	true	878	0	43	0	0	56	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			39	1627	0	0	0	0	0	0	false	false	false	false																						http://www.fmbanksylvania.com	
5069																																		0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			1000	0																	0	0			0	0	0	0	0	0	0	0	false	false	false	false																							
5135																																		1042	2588	5000	1042	0	21357	true	0	996	413	0	1179	10366	6	0	false	0	0	5000	5000	10000	1357	0	0	0	0	0	0	0	false	false				0																	0	0			145	4299	0	0	0	0	0	0	true	true	false	false																						http://www.fsbanks.com	
5210																																		39789	0	22716	35800	0	41854	true	0	0	0	0	0	5214	4	0	false	0	79	22716	16000	0	0	0	79	291	916	1852	0	3138	false	false			1044	3989																	0	0			1360	138717	0	0	0	0	0	0	true	false	false	false						http://www.nswbbank.com	NWSB Bank, A Division of ACNB Bank	http://www.fcbmd.com	FCB Bank, A Division of ACNB Bank													http://www.acnb.com	
5461																																		82	0	5000	0	0	5000	true	0	0	0	0	0	0	0	0	true	0	0	5000	0	0	0	0	0	0	0	0	0	0	false	false			0	82																	0	0			344	59064	0	0	0	0	0	0	true	false	false	false																						www.bankbac.com	
5751																																		1138	235	0	1089	0	0	true	0	0	43	0	192	634	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true			102	49																	0	0			174	8392	0	0	0	0	0	0	true	false	false	false							Garden City State Bank															www.kcbks.bank	
6039																																		0	325	0	0	0	0	true	325	0	0	0	0	427	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			203	16893	0	0	0	0	0	0	false	false	false	false																						http://www.pineland.bank	
6329																																		0	996	0	0	0	5000	true	7	333	131	0	525	237	0	0	true	0	0	5000	0	0	0	5000	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1837	69456	0	0	0	0	0	0	true	false	false	false																						www.abbank.com	
7009																																		0	0	0	0	0	0	false	0	0	0	0	0	19251	3	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			7233	0																	0	0			0	0	0	0	0	0	0	0	true	false	false	false																						http://www.bessemertrust.com	
7045																																		0	0	0	0	0	0	true	0	0	0	0	0	2592	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			45	1282	0	0	0	0	0	0	false	false	false	false																						http://www.banktpb.com	
7072																																		5441	0	5000	3707	994	16212	true	0	0	0	0	0	920	0	815	true	0	0	5000	11212	0	0	0	0	0	0	0	0	0	true	false			0	740																	0	0	2	true	0	0	0	0	0	0	0	0	true	false	false	false																						www.wallkill.com	
7456																																		0	0	0	0	0	0	true	0	0	0	0	0	362	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			57	1663	0	0	0	0	0	0	true	false	false	false						www.bankofhartington.net																www.bankofhartington.com	
7634																																		0	0	0	0	0	0	false	0	0	0	0	0	1952	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	0																	0	0			0	0	0	0	0	0	0	0	false	false	false	false																						THEFOURCOUNTYBANK.COM	
8033																																		0	275	7000	0	0	12136	true	175	0	38	0	62	6364	2	0	true	0	0	7000	5136	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			190	13996	0	0	0	0	0	0	true	false	false	false																						www.thefriendlybank.com	
8462																																		0	0	0	0	0	0	true	0	0	0	0	0	671	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			27	1156	0	0	0	0	0	0	false	false	false	false																						http://www.perrytonbank.com	
8631																																		0	0	0	0	0	0	true	0	0	0	0	0	58	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			0	0																	0	0			20	1295	0	0	0	0	0	0	false	false	false	false																						www.pcbsm.com	
9357																																		33200	0	0	28667	0	85886	true	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	85886	0	0	0	85886	true	false			970	4533																	0	0			269	92750	85886	92708	0	0	85886	0	true	false	false	false																						www.fidelitybankmn.com	
9553																																		0	0	502	0	0	54002	true	0	0	0	0	0	424	0	0	false	0	0	502	2074	1989	48919	19156	0	5	163	350	0	518	true	false				0																	0	0			71	1910	0	0	0	0	0	0	true	false	false	false																						http://www.adamscountybank.net	
9807																																		0	12935	0	0	0	0	true	7348	0	5587	0	0	20913	2	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			816	99336	0	0	0	0	0	0	true	false	false	false																						www.amboybank.com	
9955																																		0	0	6315	0	0	19699	true	0	0	0	0	0	643	1	0	false	0	0	6316	11106	2277	0	0	0	0	0	0	0	0	true	false			63	0																	0	0			52	2220	0	0	0	0	0	0	false	false	false	false																						www.fusion.bank	
10250																																		0	0	0	0	0	0	true	0	0	0	0	0	115	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	0																	0	0			523	49034	0	0	0	0	0	0	true	false	false	false																						www.thebankofelkriver.com	
10849																																		694	618	0	694	0	0	true	618	0	0	0	0	2682	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			133	6677	0	0	0	0	0	0	false	false	false	false																						https://www.firststatebk.com	
11145																																		450	325	2708	450	0	24996	false	7	0	230	0	88	3943	2	0	false	0	0	2708	5004	12284	5000	0	0	0	0	0	0	0	false	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			77	10122	0	0	0	0	0	0	false	false	false	false																						www.losb.com	
11640																																		0	315	0	0	0	0	true	315	0	0	0	0	13682	3	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			175	6927	0	0	0	0	0	0	true	false	false	false																						http://www.fnbclarksdale.com	
11837																																		0	620	0	0	0	0	true	620	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			0	0	0	0	0	0	0	0	false	false	false	false																						www.farmbk.com	
12030																																		0	1838	0	0	0	0	true	0	1648	158	0	32	1522	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			303	19824	0	0	0	0	0	0	false	false	false	false																						http://www.fnbsouth.net	
12142																																		0	413	0	0	0	0	true	0	0	175	0	238	337	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			0	0																	0	0			78	2787	0	0	0	0	0	0	true	false	false	false																						www.clevelandstatebank.com	
12311	2366965	3883	0	1938840	210331	4234307	true	169974	4	210504	true	0	1463846	0	2208	7	922	0	1463846	1862310	864654	40360	306433	0	0	0	217794	0	0	0	0										194	129	3560	0	0																0		true	true					0	0	0	0	0	0	0	0	0		0	0	0	0	0						37765	6116392	0	0	0	0	0	0	true	false	false	false		1	4564	95546	0	apply.huntington.com																www.Huntington.com	
12647																																		666	0	4000	0	95	4000	true	0	0	0	0	0	5056	2	95	false	0	0	4000	0	0	0	0	0	0	0	0	0	0	true	false				571																	0	0			57	7129	0	0	0	0	0	0	false	false	false	false							Saratoga Community Bank															http://www.PORTAGECOUNTYBANK.COM	
12656																																		0	0	0	0	0	0	true	0	0	0	0	0	328	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			15	0																	0	0			9	93	0	0	0	0	0	0	false	false	false	false																						http://www.mybankathome.com	
12946																																		19225	1189	7330	17530	0	53678	true	393	500	296	0	0	3779	2	0	true	0	0	7330	21245	0	25103	0	0	0	0	0	0	0	true	false			2964	1695																	0	0			148	43085	0	0	0	0	0	0	true	false	false	false		1	40	221	0																	www.myfarmers.bank	
13103																																		16650	0	75155	10988	0	84561	true	0	0	0	0	0	11310	4	0	false	0	0	75155	2227	4632	2547	0	0	0	0	0	0	0	false	false	0	0	183920	5662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1160	182809	0	0	0	0	0	0	true	false	false	false		0	114	818	0																	www.bristolcountysavings.com	
13251																																		0	50	0	0	0	0	true	0	0	50	0	0	89	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			26	627	0	0	0	0	0	0	true	false	false	false																						www.elysianbank.net	
13457																																		0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			0	0																	0	0			0	0	0	0	0	0	0	0	false	false	false	false																						www.bankoflewellen.com	
14155																																		0	0	3000	0	0	4000	true	0	0	0	0	0	744	1	0	false	0	0	3000	1000	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			125	3845	0	0	0	0	0	0	true	false	false	false																						https://www.fandcbank.com	
14650																																		90	0	0	90	0	0	true	0	0	0	0	0	15	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			0	0																	0	0			7	80	0	0	0	0	0	0	false	false	false	false																						www.banklg.com	
14753																																		0	0	0	0	0	0	true	0	0	0	0	0	1534	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			4	0																	0	0			25	923	0	0	0	0	0	0	false	false	false	false																						www.fsbbucklin.com	
14865																																		1403	0	0	0	0	0	true	0	0	0	0	0	813	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	1403																	0	0			397	60852	0	8542	0	0	0	0	true	false	false	false							Bank of Eastern Washington, a branch of Bank of Eastern Oregon															www.beobank.com	
14977																																		0	0	0	0	0	0	true	0	0	0	0	0	1710	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			36	811	0	0	0	0	0	0	false	false	false	false																						http://firstfedlfd.com	
16551																																		4543	273	0	2433	2067	0	true	0	0	123	0	150	353	0	2067	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	43																	0	0			120	9465	0	0	0	0	0	0	true	false	false	false						www.vacationpropertyloans.com																http://www.northviewbank.com	
16748																																		205	137	0	0	205	0	true	0	0	0	0	137	19	0	205	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			61	4791	0	0	0	0	0	0	false	false	false	false																						http://www.esbanc.com	
17110																																		0	0	0	0	0	0	false	0	0	0	0	0	2217	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	71048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	false	false	false	false																						http://www.haverfordquality.com	
17147																																		575369	940	55000	543471	2923	389430	true	312	0	164	96	368	11990	3	2923	true	0	0	55000	200000	25000	109430	0	0	0	0	0	0	0	true	false	0	0		28975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			4454	667064	0	0	0	0	0	0	false	false	false	false		0	351	3219	0		First Merchants Private Wealth Advisors, A Division of First Merchants															http://www.firstmerchants.com	
17259																																		0	0	0	0	0	0	true	0	0	0	0	0	595	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			0	0																	0	0			69	1563	0	0	0	0	0	0	true	false	false	false							THE FIRST NATIONAL BANK IN COMANCHE															WWW.FNBMARLOW.COM	
17950																																		5728	948	0	3677	0	0	true	0	341	0	0	607	5256	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				2051																	0	0			510	11480	0	0	0	0	0	0	true	false	false	false						www.bankofjoliet.com	BANK OF JOLIET, BANK OF THERMOPOLIS	www.bankofthermopolis.com	BANK OF HARLEM, BANK OF RED LODGE	www.bankofharlemmt.com	BANK OF GREYBULL, BANK OF LOVELL	www.bankofredlodge.com	BANK OF POWELL	www.bankofgreybull.com	BANK OF BUTTE, BANK OF PLENTYWOOD	www.bankoflovell.com	BANK OF MALTA, BANK OF GLASGOW	www.bankofpowell.com	www.bankofbutte.com	www.bankofplentywood.com	www.bankofmaltamt.com	www.bankofbridger.com	
17978																																		0	955	245	0	0	361	true	480	0	100	0	375	0	0	0	false	0	0	245	116	0	0	0	0	0	0	0	0	0	true	false				0																	0	0	2	true	0	0	0	0	0	0	0	0	false	false	false	false																						www.elizfed.com	
18050																																		0	0	0	0	0	0	true	0	0	0	0	0	3149	3	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	0																	0	0			233	16701	0	0	0	0	0	0	true	false	false	false																						www.fnbbastrop.bank	
18827																																		10433	102	0	9122	0	50000	true	0	0	59	0	43	18301	3	0	true	0	0	0	25000	25000	0	0	0	0	0	0	0	0	true	false				1311																	0	0			894	98461	0	0	0	0	0	0	true	false	false	false	true	1	525	10353	0																	http://www.nextierbank.com	
18836																																		0	1193	0	0	0	3435	true	58	0	185	0	950	1167	1	0	false	0	0	0	0	2245	1190	0	0	0	0	0	0	0	true	false			0	0																	0	0			47	2002	0	0	0	0	0	0	true	true	false	false																						www.caponvalleybank.com	
18854																																		572	0	0	0	0	0	true	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	572	0	0	1016	0	0	0	0	1989	46	1201	0	0	0	0	0	0	0	0			166	44939	0	0	0	0	0	0	true	true	false	false		0	186	4542	0																	www.bank7.com	
19356																																		798	286	0	762	0	0	true	0	0	286	0	0	11	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false				36																	0	0			30	2808	0	0	0	0	0	0	true	false	false	false																						https://www.sbtmiami.com	
19936																																		0	134	1000	0	0	7562	true	26	0	0	0	108	2356	2	0	false	0	0	1099	1198	5199	66	0	0	0	0	0	0	0	true	false			0	0																	0	0			123	9746	0	0	0	0	0	0	true	false	false	false																						www.cbkamericus.com	
19972																																		0	0	0	0	0	0	false	0	0	0	0	0	710	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			0	0	0	0	0	0	0	0	false	false	false	false																							
20053																																		0	0	4000	0	0	4000	true	0	0	0	0	0	0	0	0	false	0	0	4000	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			39	533	0	0	0	0	0	0	true	false	false	false																						www.securityonlinebank.com	
20633																																		0	7771	5000	0	0	8952	true	644	0	354	6773	0	1024	1	0	false	0	0	5000	2250	0	1702	0	0	0	0	0	0	0	false	false			0	0																	0	0			37	3665	0	0	0	0	0	0	true	true	false	false																						www.mcnbbanks.com	
20857																																		142	0	3411	142	0	8114	true	0	0	0	0	0	0	0	0	false	0	0	3411	390	411	3698	2412	0	0	21	183	0	0	true	false				0																	0	0			80	6655	0	0	0	0	0	0	true	false	false	false																						granitefallsbank.com	
21256																																		0	0	0	0	0	0	true	0	0	0	0	0	193	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			0	0																	0	0			0	0	0	0	0	0	0	0	false	false	false	false																						www.statebankofburrtononline.com	
21359																																		113	0	0	0	0	8	true	0	0	0	0	0	0	0	0	false	0	8	0	0	0	0	0	8	0	0	0	0	0	true	false				113																	0	0			25	462	0	0	0	0	0	0	true	false	false	false																						http://www.asbgrygla.com	
21658																																		0	50	0	0	0	5483	true	0	0	0	0	50	866	0	0	true	0	0	0	0	0	5483	0	0	0	0	0	0	0	true	true	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			33	525	0	0	0	0	0	0	false	false	false	false																						www.alliancebank.us	
22048																																		0	116	0	0	0	9692	true	0	0	116	0	0	9075	3	0	false	0	0	0	7080	811	1801	0	0	0	0	0	0	0	true	false				0																	0	0			252	16762	0	0	0	0	0	0	true	true	false	false																						http://www.unionbnk.com	
