"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
777366	0	0	20000	0	0	20039	true	162	0	0	false	0	0	20000	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0						20000		0	0	0	0	0																0		false	false					0	0	0	0	0	0	0	0	0		0	0	0	0	0						0	0	0	0	0	0	0	0	false	false	false	false																						www.bankorient.com	
777441																																		0	0	4000	0	0	4000	true	0	0	0	0	0	0	0	0	false	0	0	4000	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			21	3567	0	0	0	0	0	0	false	false	false	false																						www.fbandtbank.com	
777870																																		333	537	0	0	333	0	true	390	0	0	0	147	406	0	333	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			0	0																	0	0			143	6494	0	0	0	0	0	0	true	true	false	false																						www.altoonabank.com	
778738																																		11502	300	40000	3643	6178	40060	true	259	0	0	0	41	605	1	6178	true	0	0	40000	0	0	60	0	0	0	0	0	0	0	true	false			0	1681																	0	0			1721	139755	0	0	0	0	0	0	true	false	false	false																						www.citizensbank24.com	
779016																																		289	0	6000	0	289	21785	true	0	0	0	0	0	3308	1	289	true	0	0	6000	4855	4930	6000	0	0	0	0	0	0	0	true	false				0																	0	0			109	14200	0	0	0	0	0	0	true	false	false	false																						www.mbtc.com	
779351																																		52027	2583	2500	35665	13954	14914	true	310	0	0	0	2273	41639	6	15988	true	0	247	2500	7000	4500	0	0	247	338	254	75	0	914	true	false	0	0		2408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1075	152732	0	0	0	0	0	0	true	false	false	false	true	1	130	598	0																	http://www.merchantsbank.com	
779360																																		179	100	0	0	179	0	true	0	0	0	0	100	1195	1	179	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	0																	0	0			274	18554	0	0	0	0	0	0	true	false	false	false																						www.communitybanknet.com	
779641																																		0	0	0	0	0	430	true	0	0	0	0	0	1242	0	0	false	0	0	0	0	0	430	0	0	0	0	0	0	0	true	false			0	0																	0	0			13	309	0	0	0	0	0	0	true	false	false	false																						www.portaustinbank.com	
779650																																		840	18	4000	326	0	45313	true	0	0	18	0	0	8316	2	0	false	0	0	4000	8000	21681	11632	0	0	0	0	0	0	0	true	false				514																	0	0			180	21425	0	0	0	0	0	0	true	false	false	false						www2.iraservicecenter.com		www2.hsaservicecenter.com		Web3secureinternetbank.com		Web3secureinternetbank.com/pbipbi1961		Web3secureinternetbank.com/Webcapture.Web/Winter								www.chippewavalleybank.com	
779968																																		295	0	5000	0	290	6334	true	0	0	0	0	0	0	0	290	false	0	0	5000	0	0	0	0	0	1334	0	0	0	1334	false	false				5																	0	0			48	13631	1334	1361	0	0	1334	0	true	false	false	false	true	1	16049	83430	0																	http://www.sbical.com	
