"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
489249			390	51	44	0	400	92	-13																				
489548			3291	150	81	0	3406	346	0																				
489623			84321	30813	7851	0	54692	9035	0				167																
490179			124	0	0	0	124	0	0				0																
490348			2100	260	6	0	1986	152	0																				
490450			13908	1698	139	0	12408	337	0																				
490843			1012	685	25	0	1153	851	0																				
490955			41	1	1	0	40	1	0																				
491224		0	224314	58352	22657	0	225141	45105	-36731			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
491402			3558	819	22	0	2733	16	0																				
491653			538	115	2	0	547	126	0																				
491934			12127	6558	539	0	6863	1833	0																				
492650			12634	2000	172	0	10588	126	0			0	0																
492810			747	134	20	0	709	116	0				0																
493077			154	45	2	0	120	13	0																				
493152			2755	810	85	0	2693	833	0																				
493741			3972	0	13	0	3966	7	0																				
493844			7011	2279	243	0	4882	393	0																				
494261		0	348189	293000	8877	725	138793	95373	3617					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
494654			1151	1065	136	0	534	584	0																				
495419			3887	347	290	0	4012	762	0																				
495558			1064	120	9	0	943	8	0																				
496434			132	0	0	0	132	0	0																				
496845			4683	2141	65	0	3785	1308	0				0																
496957			300	0	0	0	300	0	0																				
497039			10908	1914	390	0	9165	561	0																				
497404			2686456	1818785	170851	0	1471148	775607	1279	0	53304	0	9379																
497570			46214	10550	385	0	36001	722	0				0																
497655		0	1102	36	14	0	1092	40	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
497851			1201	0	1	0	1203	3	0																				
497954			4242	985	92	0	3224	59	0																				
498148			7542	1125	174	0	7159	916	0																				
498317			6832	2945	814	0	5944	2871	0				0																
