"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37	0	0	65																																	13	0	209								
242	0	67	220																																	0	0	2186								
279	0	15608	319																																	646	0	10801								
354	0	0	0																																	58	0	125								
457	0	224	490																																	2368	0	3100								
505	99900	8321	12899																																	10066	0	21977								
1155	0	4886	11306																																	25212	0	15947								
1351	0	219	203																																	3906	0	1799								
1454	0	0	16440																																	26439	0	45765								
1669	0	5916	4862																																	5115	0	814								
1856	0	159	310																																	1755	0	1873								
2161	0	3714	11374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			8106	0	0								
2732	0	1800	40497																																	28150	0	1125								
2750	2300	216	2420																																	1312	0	10742								
3252	0	0	345																																	3281	0	11211	Promnet Repo							
3458	0	180	325																																	668	0	489								
3720	5000	4714	8054																																	3035	0	3235								
3971	0	17488	82175																																	81320	0	11227								
4156	0	5393	3407																																	3689	0	6457								
4231	0	616	2118																																	230	0	2684								
5069	0	14317	36874																																	1550	0	0								
5135	0	1875	11472																																	8328	0	46822								
5210	0	8363	72616																																	96731	0	32784								
5461	26000	665	6968																																	15581	0	19823								
5751	0	4	3894																																	13018	0	9293								
6039	0	8923	12961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			4761	0	7232								
6329	0	48561	43141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	21514	0	17388								
7009	0	0	0																																	0	0	0								
7045	0	672	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			2473	0	2401								
7072	13000	1045	571																																	2937	0	5964								
7456	0	1048	258																																	6066	0	18504								
7634	0	1864	321																																	376	0	521								
8033	0	19241	7760																																	8133	0	20557								
8462	0	0	835																																	2557	0	3134								
8631	0	1833	757																																	623	0	118								
9357	0	0	5306																																	125672	348703	5917								
9553	0	1044	213																																	3893	0	28548								
9807	0	105067	318620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													9352	0	0	5998	0	6145	MUNICIPAL LETTER OF CREDIT FHLBNY							
9955	0	0	7545																																	3984	0	14551								
10250	0	2329	16561																																	31791	0	9084								
10849	0	2561	6356																																	2791	0	2507								
11145	0	3036	14246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			6193	0	977								
11640	0	3873	5339																																	4540	0	16094								
11837	0	3191	178																																	100	0	859								
12030	0	1482	16323																																	9894	0	8509								
12142	0	1580	2116																																	9547	0	6425								
12311																																	0													
12647	0	730	174																																	3540	0	10998								
12656	0	218	0																																	612	0	76								
12946	407560	14943	37963																																	146670	0	20190								
13103	0	40671	105152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	143261	0	153661								
13251	0	215	0																																	1394	0	686								
13457	0	0	0																																	407	0	3213								
14155	0	15579	2242																																	3762	0	7558								
14650	0	0	0																																	298	0	277								
14753	0	0	194																																	100	0	5536								
14865	24000	9229	8505																																	58054	0	97448								
