"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
1718469																																																																																						249885	13481	13481	10.3340%	19.2643%	18.2250%	236404	1297143	2287633	3240	0			11.2643%							93895	2291153								0	0	0		0		146029	18.2250%	1	0	243164	3520	0	0	3240	0	0	0		0	236404	0	0	236404	0	0	0	0	0	0	0	0	0	13481	0	3520	0			
1820979																																																																																						3727	0	0	127.8121%	274.6500%	274.6500%	3727	1357	2916	-16	0			266.6500%							1427	2916								0	0	0		0		2300	274.6500%	1	0	3711	0	0	0	-16	0	0	0		0	3727	0	0	3727	0	0	0	0	0	0	0	0	0	0	0	0	0			
1826382																																																																																						35530	1578	1578	27.4488%	29.2905%	27.9896%	33952	121302	123692	8	0			21.2905%			0				31322	123692								0	0	0		0		2630	27.9896%	1	0	33960	0	0	0	8	0	0	0		0	33952	0	0	33952	0	0	0	0	0	0	0	0	0	1578	0	0	0			
1836701																																																																																						47885	4360	4360	9.8897%	13.3487%	12.1333%	43525	358723	440105	-290	0			5.3487%							11374	440105								0	0	0		0		32151	12.1333%	1	0	43235	0	0	0	-290	0	0	0		0	43525	0	0	43525	0	0	0	0	0	0	0	0	0	4360	0	0	0			
1842065																																																																																						4931783	400735	400735	10.1415%	13.8066%	12.6847%	4531048	35720583	44678294	-26682	0			5.8066%							1511446	47547839								0	0	0		0		5889147	12.6847%	1	0	7373911	2822623	46922	0	-26080	-602	0	0		0	4531048	0	0	4531048	0	0	0	0	0	0	0	0	0	400735	0	2869545	0			
1852569																																																																																				335195	0				10.4725%			45162		431243	0	0										30940	431243	0	0.0000%	1111	0	55	1166	0.2663%	0	0	0	0	1		14222		1	0	45162	0	0	0	0	0	0	0		0	45162	0	0	45162	0	0	0	0	0	0						0	0	0		
1862719																																																																																						129686	11000	11000	9.3224%	14.7499%	13.4988%	118686	879234	1273133	-339	0			6.0888%							45668	1273133								0	0	0		0		47432	10.5888%	1	0	92761	0	0	0	-339	0	0	0		0	93100	0	0	93100	25586	0	0	25586	0	25586	0	0	0	11000	0	0	0			
1863097																																																																																						67533	5588	5588	8.2435%	15.1736%	13.9181%	61945	445069	751444	8192	0			7.1736%							49937	751444								0	0	0		0		12008	13.9181%	1	0	70137	0	0	0	7486	706	0	0		0	61945	0	0	61945	0	0	0	0	0	0	0	0	0	5588	0	0	0			
1864197																																																																																						143871	11207	11207	6.9539%	13.6365%	12.5742%	132664	1055046	1907758	6188	0			5.6365%							111163	1911405								0	0	0		0		25148	12.5742%	1	0	142499	3313	334	0	6188	0	0	0		0	132664	0	0	132664	0	0	0	0	0	0	0	0	0	11207	0	3647	0			
1867983																																																																																						408045	19349	19349	10.1081%	16.2448%	15.4745%	388696	2511855	3845385	26756	0			8.2448%							361382	3845431								0	0	0		0		27360	15.4745%	1	0	415498	0	46	0	26756	0	0	0		0	388696	0	0	388696	0	0	0	0	0	0	0	0	0	19349	0	46	0			
1872941																																																																																						47184	4389	4389	8.1431%	13.0381%	11.8254%	42795	361892	525536	59	0			5.0381%							18226	525638								0	0	0		0		24671	11.8254%	1	0	42956	102	0	0	59	0	0	0		0	42795	0	0	42795	0	0	0	0	0	0	0	0	0	4389	0	102	0			
1872996																																																																																						119733	12391	12391	9.3114%	12.0851%	10.8344%	107342	990752	1152803	362	0			4.0851%							75718	1167419								0	0	0		0		46240	10.8344%	1	0	122320	13883	733	0	362	0	0	0		0	107342	0	0	107342	0	0	0	0	0	0	0	0	0	12391	0	14616	0			
1879016																																																																																						28305	1619	1619	8.9935%	13.3109%	12.5496%	26686	212645	296724	29	0			5.3109%							19562	296724								0	0	0		0		7124	12.5496%	1	0	26715	0	0	0	29	0	0	0		0	26686	0	0	26686	0	0	0	0	0	0	0	0	0	1619	0	0	0			
1883321																																																																																						501344	0	0	6.3387%	27.4177%	27.4177%	501344	1828539	7909216	-11618	0			19.4177%			0				254531	7909260								0	0	0		0		246857	27.4177%	1	0	489770	0	44	0	-11618	0	0	0		0	501344	0	0	501344	0	0	0	0	0	0	0	0	0	0	0	44	0			
1885932																																																																																						191595	11336	11336	18.3489%	21.5283%	20.2546%	180259	889967	982399	324	0			13.5283%							109349	982399								0	0	0		0		70910	20.2546%	1	0	180583	0	0	0	324	0	0	0		0	180259	0	0	180259	0	0	0	0	0	0	0	0	0	11336	0	0	0			
1890525																																																																																				1712368	0				10.0031%			202133		2020711	322	0										133216	2022661	0	0.0000%	333856	0	4320	338176	16.7217%	0	0	0	21980	1		70867		1	0	204405	1289	661	0	29	293	0	0		0	202133	0	0	202133	0	0	0	0	0	0						1950	0	61606		
1892154																																																																																						37187	2201	2201	8.7337%	20.4818%	19.2696%	34986	181561	400588	-708	0			12.4818%							13776	400588								0	0	0		0		21210	19.2696%	1	0	34278	0	0	0	-708	0	0	0		0	34986	0	0	34986	0	0	0	0	0	0	0	0	0	2201	0	0	0			
1893049			2629000	0	0	7.0916%	36.5190%	36.5190%	2629000	7199000	37072000	-76000	0	37072000	7.0916%	28.5190%						608000	37073000								0	0	0		2022000	36.5190%	0	2554000	0	1000	0	-76000	0	0	0		0	2629000	0	0	2629000	0	0	0	0	0	0	0	0	0	0	0	1000	0								2.5000%																														0																	0				1																															
1914421																																																																																				507370	0				8.8513%			71695		809996	0	0										49409	809996	0	0.0000%	124499	0	0	124499	15.2877%	0	0	0	0	1		22286		1	0	71695	0	0	0	0	0	0	0		0	71695	0	0	71695	0	0	0	0	0	0						0	0	0		
1917301			614942	28241	28241	8.2903%	11.1337%	10.6224%	586701	5523250	7076916	-30558	0			3.1337%						483729	7117551								0	0	0		174880	10.6224%	0	628051	40367	268	0	1734	-1008	0	-11		0	586701	0	0	586701	0	0	0	0	0	0	0	0	0	28241	0	40635	0																																						2																	0				1																															
1918344																																																																																						790399	61159	211159	9.5405%	15.3702%	11.2640%	579240	5142400	6071394	4926	0			5.2640%			0				372952	6073945								0	0	0		0		208840	11.2640%	1	0	586718	358	293	1900	4927	0	0	0		0	579240	0	0	579240	0	0	0	0	0	0	150000	0	0	211159	0	2551	0			
1929247																																																																																						3594099	163030	163030	8.6468%	13.2209%	12.6212%	3431069	27185053	39680309	-21146	0			5.2209%			2				790676	41363768								0	0	0		0		4323852	12.6212%	1	0	5093382	1575123	100552	7784	-21203	0	57	0		0	3431069	0	0	3431069	0	0	0	0	0	0	0	0	0	163030	0	1683459	0			
1940747																																																																																				221124	0				10.8003%			33228		307658	0	0										11128	307658	0	0.0000%	0	0	10	10	0.0031%	0	0	0	0	1		22100		1	0	33228	0	0	0	0	0	0	0		0	33228	0	0	33228	0	0	0	0	0	0						0	0	22110		
1945247																																																																																						6657	110	110	10.3639%	23.4385%	23.0512%	6547	28402	63171	32	0			15.4385%							-9261	63311								0	0	0		0		15948	23.0512%	1	0	6719	0	140	0	32	0	0	0		0	6547	0	0	6547	0	0	0	0	0	0	0	0	0	110	0	140	0			
2002222																																																																																						37704	2375	2375	11.4346%	19.9685%	18.7107%	35329	188817	308966	-182	0			11.9685%							31291	308966								0	0	0		0		4038	18.7107%	1	0	35147	0	0	0	-182	0	0	0		0	35329	0	0	35329	0	0	0	0	0	0	0	0	0	2375	0	0	0			
2006024																																																																																						104474	6717	6717	11.2508%	19.6449%	18.3818%	97757	531813	868887	1792	0			11.6449%							74795	868887								0	0	0		0		22962	18.3818%	1	0	99549	0	0	0	1792	0	0	0		0	97757	0	0	97757	0	0	0	0	0	0	0	0	0	6717	0	0	0			
2007991																																																																																				403279	0				10.4187%			48978		470095	-343	0										44298	470095	0	0.0000%	34582	23828	964	59374	14.7228%	0	0	0	0	1		4680		1	0	48635	0	0	0	-343	0	0	0		0	48978	0	0	48978	0	0	0	0	0	0						0	0	6749		
2009605																																																																																						184922	13797	13797	9.8372%	16.7866%	15.5341%	171125	1101606	1739564	2823	0			8.7866%							155671	1744709								0	0	0		0		20599	15.5341%	1	0	179093	5101	44	0	2823	0	0	0		0	171125	0	0	171125	0	0	0	0	0	0	0	0	0	13797	0	5145	0			
2010722																																																																																						35795	3194	3194	7.6894%	14.0297%	12.7778%	32601	255137	423976	-851	0			6.0297%							7601	423976								0	0	0		0		25000	12.7778%	1	0	31750	0	0	0	-851	0	0	0		0	32601	0	0	32601	0	0	0	0	0	0	0	0	0	3194	0	0	0			
2037185																																																																																				162118	1799				10.0569%			20331		202159	23	215										9468	202846	0	0.0000%	11007	0	518	11525	5.7557%	0	0	0	0	1		11335		1	0	20826	0	0	472	23	0	0	0		0	20331	0	0	20331	0	0	0	0	0	0						472	0	13196		
2044811																																																																																						245045	10827	10827	8.0793%	11.3707%	10.8683%	234218	2155065	2898974	2744	0			3.3707%			2				141698	2952600								0	0	0		0		146359	10.8683%	1	0	290801	53329	297	0	242	2710	0	5		0	234218	0	0	234218	0	0	0	0	0	0	0	0	0	10827	0	53626	0			
2044820																																																																																						17959	1237	1237	8.7346%	18.1817%	16.9294%	16722	98775	191445	-381	0			10.1817%							7042	191445								0	0	0		0		9680	16.9294%	1	0	16341	0	0	0	-381	0	0	0		0	16722	0	0	16722	0	0	0	0	0	0	0	0	0	1237	0	0	0			
2051127																																																																																				301912	0				13.2237%			46654		352806	757	0										36874	352806	0	0.0000%	77130	0	410	77540	21.6930%	0	0	0	0	1		9780		1	0	47411	0	0	0	757	0	0	0		0	46654	0	0	46654	0	0	0	0	0	0						0	0	0		
2059990																																																																																				92843	0				9.4343%			8949		94856	50	0										8038	95058	0	0.0000%	2277	0	2576	4853	5.0549%	0	0	0	0	1		1113		1	0	9201	202	0	0	50	0	0	0		0	8949	0	0	8949	0	0	0	0	0	0						202	0	3529		
2068107																																																																																						83379	5417	5417	13.9681%	19.4172%	18.1557%	77962	429409	558142	0	0			11.4172%							42672	558142								0	0	0		0		35290	18.1557%	1	0	77962	0	0	0	0	0	0	0		0	77962	0	0	77962	0	0	0	0	0	0	0	0	0	5417	0	0	0			
