"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RIADG377	
3221468																																																																55705	310132	0	0	1612767	0	1612767	53462		0	7411029	0	0	0	487996	6799	314827	1661396	26979	46355	73848	207869	104123	27833	4538314	206886	844608	863770	414914	5846	0	0	0	0	2835	0				165430	897487	665544	2127408	0	0	0			151	0	3106	3106	0	21723	21723	0	0	0	0	0	0	0	0	6357904				5772	2129	1016180	2129	0	0	0	0	0	0	0	821	0	0	0	4689	0	932	0	0	0	0	0	0	6334	932	80	CONF	CONF	0	
3223305																																																																118	2292		0			104949	8102		154	249508	57	0	0	16494	212	10581	50341	5452	1210	2288	3050	2897	457	33309	20163	45101	109239	20647	1286				0	128			0	0	1274	4889	81454	28901			0			0	135														60015	0	0	0	0		0	284	0	0	0	0	0	0	0	67	0	0	0	0	0			0	0	0	0	0	247	0	0	CONF	CONF		
3223408																																																															0	3190	2127		3474			14144	0		0	102078	0	0	0	35883	129	253	38157	2876	7099	8202	16398	1210	0	9415	18767	17370	17451	1645	308				0	0			0	0	5393	8729	19575	4387			0			0	0													0	35883	0	0	0	0		0	0	0	0	0	0	0	0	0	2037	0	0	0	0	0			0	0		0	0	3010	0	0	CONF	CONF	0	
3223417																																																																150	14056		0			58263	15422		0	169152	0	0	0	25963	3850	5438	25127	1746	3900	5188	10476	4653	0	31868	4382	26920	52253	27766	0				0	3149			0	0	2857	4053	23986	12062			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116417				0		1188	963	0	0	0	0	0	0	0	311	0	0	0	0	0			0	0		0	0	2879	0	0	CONF	CONF	0	
3224302																																																																34909	3586		13477			48909	6238		0	222016	449	125	0	13656	1000	8344	14941	271	1419	1269	525	1553	8618	18956	9033	43306	74412	45203	17441				0	284			0	0	0	3897	46518	43994			0			0	0													0	84218	0	0	0	2163		0	51	0	0	0	0	0	0	0	3185	0	0	0	0	0			753	753	0	0	0	2636	1410	0	CONF	CONF	0	
3224375																																																																0	62162		0			51995	1769		0	416016	995	0	0	36960	6916	21936	70607	6372	7312	487	12507	10282	0	40147	26956	88480	75842	146722	0				0	0			0	0	18957	28125	90624	110661			0			0	0													37216	111049	0	0	0	0		8500	247	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	95	0	0	CONF	CONF	467	
3224478																																																															0	887	2413		133			8394	7261		0	106089	0	0	0	46019	1579	35075	14598	1341	1688	5270	2609	4935	30154	3820	9126	10778	7950	7435	20961				0	3			0	0	5956	4569	10861	12487			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		41088				13		0	0	0	0	0	0	0	0	0	893	0	0	0	0	0			13	13		0	0	4634	0	324	CONF	CONF		
3224580																																																																0	0	0	0	18178	0	18178	0		0	9175351	0	0	0	0	0	0	9078188	0	0	0	0	0	0	4856	9073332	91726	3665	594	0	0	0	0	8989513	0	0	235585			0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		3960231				110355	3727	0	3727	0	0	0	0	0	0	110351	0	0	0	0	0	0	4	0	110351	0	0	0	0	163933	4	0	CONF	CONF		
3228908																																																																0	0		0			11323	0		0	1415415	0	0	0	0	0	0	2847	0	0	0	0	0	0	31385	4214	28772	86803	1245576	0				0	0			0	0	0	0	0	1795			0			0	0														0	0	0	0	472		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			472	0	0	0	0	1402297	0	0	CONF	CONF		
3229642																																																																0	0		0			299	47740		0	82706	0	9094	0	3957	8062	2222	8026	361	475	1502	842	623	154	49875	6499	5826	9403	6815	335				0	24			0	0	6804	0	1549	5120			0			0	0													0	63351	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0		0	0	57	0	0	CONF	CONF	0	
