"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4655	RIAD4662	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	0	0	0	7	0				1	14	0		0							0	0	0	0			0	0	0	2	0	0			0	0	0	0	0	0	0	0				10	2	4	2	
242	0	0	0	0	0	0	19	0				0	1	0		0				0		0	0	0	0	19			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	0	0	0	
279	0	0	0	0	0	0	17	0				14	36	0		29							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	7	3	
354	0	0	0	0	0	0	11	0				1	0	0		0				0		1	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	10	0	0	
457	0	0	0	0	0	0	8	0				0	13	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	13	8	
505	0	0	3	0	0	0	19	0				2	69	0		40				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				23	3	3	14	
1155	0	0	0	0	0	0	123	113				4	684	644		23				0		0	0	0	0	0			9	1	0	0	0	0			0	0	0	0	0	0	0	0				2	0	6	5	
1351	0	0	0	0	0	0	112	33				0	439	70		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	80	0	0	0				143	38	146	41	
1454	0	0	0	0	0	0	397	349				23	78	13		58				0		4	0	0	0	0			0	0	8	0	0	0			0	0	0	0	0	0	0	0				0	13	7	4	
1669	0	0	0	0	0	0	43	0				0	176	0		0							0	0	0	0			0	0	3	0	22	0			0	0	0	0	0	0	0	0				39	9	115	31	
1856	0	0	0	0	0	0	3	0				0	22	0		21							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	3	
2161	343	0	0	0	0	0	261	7				0	601	6		0				0		0	0	0	0	0			2	0	0	0	0	0			0	0	0	0	0	0	244	244				0	0	6	10	
2732	0	0	0	0	0	0	38	38				0	14	14		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2750	0	0	0	0	0	0	2	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	0	1	
3252	0	19	0	0	0	0	399	123				76	1314	769		260				252		76	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				28	14	257	166	
3458	0	0	0	0	0	0	2	0				0	12	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				4	0	8	2	
3720	0	0	0	0	0	0	11	6				0	1	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	5	
3971	2	0	0	0	0	5	270	26				181	566	0		0				0		181	0	0	33	0			0	0	25	2	5	0			0	10	0	0	0	0	0	0				0	0	526	21	
4156	4	0	0	0	0	0	148	133				2	437	432		0							0	0	0	0			0	0	11	0	1	0			0	0	0	0	0	0	0	0				0	0	0	2	
