"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	31	57													14	5													true	true	
242	95	70													42	64													true	true	
279			28	1084	31	3651	25	8980	125	2488	17	1662	5	847			16	816	16	2020	5	1033	14	234	0	0	0	0	false	false	
354			6	266	2	234	0	0	26	560	2	428	0	0			2	122	2	365	1	68	26	565	2	368	0	0	false	false	
457			7	276	16	1652	9	3240	59	1843	14	1430	16	5332			7	350	8	1050	8	2252	44	973	10	1250	9	2164	false	false	
505			6	278	39	5600	59	23831	286	5774	102	8971	57	11511															false	false	
1155			60	2353	64	7691	64	26284	326	7462	71	6077	59	20296			20	526	33	4314	29	9171	125	2898	40	4333	11	2713	false	false	
1351			166	4877	36	4102	27	11507	269	5400	33	4135	18	6073			31	1318	14	1711	8	2110	99	1813	12	1257	3	951	false	false	
1454			24	1043	45	5629	74	27558	366	7010	77	9193	79	22280			0	0	13	1545	7	1731	46	1022	10	762	6	700	false	false	
1669			119	4842	65	9296	79	27903	313	6999	23	2036	22	2794			0	0	0	0	0	0	194	3620	14	1338	2	517	false	false	
1856			7	213	5	716	2	787	22	871	4	467	0	0			6	233	7	1025	3	1124	37	987	6	622	4	1382	false	false	
2161			30	1836	21	3480	29	14515	130	350	30	4160	18	8017			14	943	8	1456	6	2224	12	31	1	231	1	264	false	false	
2732			1	30	15	1942	67	34921	51	1665	19	2296	34	13147															false	false	
2750			12	526	2	218	4	1111	114	1165	11	948	5	1267			6	246	7	1170	5	1442	63	1550	31	2549	19	3131	false	false	
3252			27	1247	11	1412	6	1829	291	4859	16	1792	14	4436			26	842	28	3438	26	7533	473	11355	96	13478	31	8819	false	false	
3458			21	852	9	1455	9	3141	132	3200	20	2210	7	1777			34	1330	34	5154	10	3162	182	3682	19	1942	7	2037	false	false	
3720			55	1847	92	10903	73	24795	337	7806	43	3489	23	6345			39	1409	27	2918	10	2104	10	137	7	563	5	1086	false	false	
3971			1	20	11	1616	21	7622	41	856	29	2789	45	17012			14	606	8	778	16	3109	12	156	3	320	3	371	false	false	
4156			20	754	14	1297	25	11009	74	2160	17	1962	15	4046			66	3057	51	5461	27	6444	173	3484	14	1365	4	279	false	false	
4231			30	961	16	2290	7	2645	78	1519	6	593	1	255			52	1401	6	552	1	380	16	225	1	81	2	317	false	false	
5069			1	100	1	6	22	10629	1	70	0	0	2	282			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
5135			96	3395	57	7488	74	33225	687	13738	73	7133	32	10119			117	3978	72	9320	32	8174	306	7992	93	10118	53	10956	false	false	
5210			141	4166	261	31158	497	190136	896	19042	230	19925	183	36177			44	1368	76	10056	68	19319	99	2425	19	1502	5	1021	false	false	
5461			9	291	14	2027	85	37725	70	2164	60	5893	37	11672			0	0	1	35	3	676	2	67	3	221	5	1174	false	false	
5751			51	2215	50	6107	33	12079	303	8304	50	5539	28	8787			22	670	34	4098	26	7314	52	1544	32	3248	22	4443	false	false	
6039			122	4650	76	13039	92	46421	321	7091	25	4466	20	9196			94	3335	36	6312	20	6833	85	1797	5	746	1	384	false	false	
6329			175	12403	154	20877	180	75083	1593	40832	97	13594	36	10187			23	941	13	1397	4	516	11	164	0	0	0	0	false	false	
7009			0	0	0	0	0	0	0	0	0	0	12	3631															false	false	
7045			36	1494	19	2253	18	6497	29	982	11	1385	4	1526			12	379	9	978	6	1623	28	795	9	897	4	1009	false	false	
7072			63	705	56	6718	71	24354	382	2136	42	3662	24	7499			0	0	1	196	0	0	0	0	1	138	0	0	false	false	
7456			7	282	7	844	12	4746	39	610	14	1131	10	2036			11	377	15	1959	17	2624	42	944	32	2276	20	4579	false	false	
7634			35	1509	29	4099	15	4976	121	3065	19	2070	11	3227			9	408	7	779	2	531	82	2519	19	2592	4	1107	false	false	
8033			7	285	31	4065	61	23342	190	4337	24	2192	19	4780			3	131	7	895	2	267	15	329	3	241	5	617	false	false	
8462			8	503	9	1214	8	2777	75	1796	17	1628	11	2646			1	57	12	1397	11	2937	20	704	18	1951	3	370	false	false	
