"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Fully insured, affiliate, retail swe	Not fully insured, affiliate sweep d	Not fully insured, affiliate, retail	Fully insured, non-affiliate sweep d	Fully insured, non-affiliate, retail	Not fully insured, non-affiliate swe	Not fully insured, non-affiliate, re	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	11786	0	8204	21067	0	35994	0	0	0	0	36510	0	413	8617	14887	2302	2428	27790	36097	0	0	224	0	0	2090	8642	9053	924	10731	771	0	642	301	5821	1714	0	0	771	0	0		0		0		0		0	true							
242	8144	0	963	12081	0	18634	0	0	0	0	23870	0	4179	3401	4447	5331	1361	17671	19691	0	0	0	0	0	1060	2733	2197	540	3793	263	3072	528	0	2084	3863	0	0	3335	0	0		0		0		0		0	true							
279	79616	0	612	54124	0	125354	0	0	0	0	163110	0	1044	285	26141	10950	13292	124742	162066	0	0	5655	0	0	13720	20836	23069	1532	34555	4275	5032	4081	0	33015	13388	0	0	9307	0	0		0		0		0		0	true							
354	1672	0	147	7147	0	7147	0	0	0	0	8552	0	865	535	1373	4313	0	7000	7687	0	0	0	0	0	512	1742	52	0	2254	0	261	0	0	932	261	0	0	261	0	0		0		0		0		0	true							
457	8638	0	588	12026	0	15657	0	0	0	0	34435	0	4906	4273	6081	16086	2126	15069	29529	0	0	847	0	0	2126	3550	3094	399	5609	542	0	0	0	3088	542	0	0	542	0	0		0		0		0		0	true							
505	114937	6	37659	161877	0	263228	0	0	19995	0	421599	0	123251	159655	17310	246606	3749	225563	298348	0	0	841	0	0	6621	15772	4900	505	22380	24384	7621	253	0	10487	32258	27914	19995	32005	0	27914		0		0		0		0	false							
1155	18548	8	15878	92114	0	291302	0	0	0	0	130085	0	10433	22392	28315	56091	9187	275061	119652	355	0	2056	0	0	14571	13422	12836	1827	21532	3509	5907	3376	0	14341	12792	1322	0	8369	0	0		0		988		0		988	true							
1351	11802	0	13483	29883	0	54130	0	0	0	0	113741	0	9448	21579	35281	29952	10290	40647	104293	0	0	5141	0	0	12157	31931	15784	0	44088	1681	6630	3805	0	24590	12116	0	0	8311	0	0		0		0		0		0	false							
1454	1012	0	36548	261266	0	452674	0	0	0	0	410299	670	36774	62116	33079	317181	25982	416126	372855	0	0	9509	0	0	20875	15148	9953	5185	29466	32393	2821	3243	2489	18081	40946	254	0	4975	0	0		0		0		0		0	true							
1669	46772	7	43007	94445	0	199170	0	0	0	0	127889	0	359	43366	22712	29911	9874	156141	127490	15	40	3853	0	0	9932	19794	8071	4222	29186	1169	5713	1467	835	19308	9184	0	0	6580	0	0		0		0		0		0	false							
1856	1574	0	1482	4390	0	7801	0	0	0	0	29980	0	1886	2546	3859	13660	0	6319	21659	0	6435	0	0	0	2218	7421	2358	0	9639	0	2296	453	0	8139	2749	0	0	2296	995	0		0		0		0		0	false							
2161	42252	0	8645	129277	0	138939	0	0	0	0	130449	0	21184	6131	7161	66028	7859	130253	109265	41	0	0	0	0	4930	8204	2300	399	13134	1683	2885	729	1038	8672	6336	29363	0	4568	0	0		0		0		0		0	true							
