"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	35	53													13	5													true	true	
242	89	96													49	63													true	true	
279			37	1416	28	3232	28	10111	123	2512	16	1703	7	1618			17	820	16	2198	6	1272	11	146	0	0	0	0	false	false	
354			2	47	0	0	0	0	49	1205	7	1178	2	608	1	42													true	false	
457			6	194	13	1445	7	2496	59	1609	14	1527	14	5447			7	292	8	1020	6	1609	40	1048	8	916	7	1409	false	false	
505			7	303	42	6148	52	21182	415	9260	130	12992	66	15133			1	60	0	0	0	0	0	0	0	0	0	0	false	false	
1155			47	1963	49	6180	43	15430	326	6741	47	4572	46	16491			4	215	7	722	6	1879	30	729	9	721	3	923	false	false	
1351			161	4354	35	4846	28	11337	367	7210	36	4366	20	6852			30	1363	12	1517	6	1513	102	1942	12	1218	3	959	false	false	
1454			26	1074	55	6365	74	28843	687	14807	96	12517	89	27621			0	0	15	1827	9	2258	48	1123	10	829	5	370	false	false	
1669			123	5090	63	9121	73	27435	431	9022	30	2644	23	6243			0	0	0	0	0	0	193	3322	11	1044	0	0	false	false	
1856			6	184	3	482	2	845	19	448	3	224	1	106			5	254	7	1051	2	682	44	1146	7	804	4	1291	false	false	
2161			28	1170	27	3960	32	14293	303	8200	52	6170	32	9297			16	885	10	1285	13	4646	25	303	4	515	5	1271	false	false	
2732			2	33	16	1961	74	38839	78	2822	31	3973	47	19199															false	false	
2750			13	511	2	220	4	1275	128	1438	7	547	2	446			6	254	8	1194	4	1223	163	3057	33	3395	15	2887	false	false	
3252			27	1322	10	1208	5	1565	816	12458	20	2482	16	5285			30	1084	28	3564	27	8028	470	11129	102	13845	30	8442	false	false	
3458			10	327	6	974	8	2500	205	4642	26	2416	10	3910			26	768	25	3518	10	3414	241	4410	25	2972	8	2291	false	false	
3720			57	1876	92	11272	70	24318	316	7416	43	3465	22	5778			44	1582	24	2449	10	2184	11	324	8	662	5	598	false	false	
3971			1	25	10	1475	22	7679	277	4098	38	4500	50	16814			16	693	10	954	18	3313	17	249	5	264	3	426	false	false	
4156			19	753	13	1134	24	9902	184	4213	23	2646	17	4605			71	3028	52	5487	25	5939	207	3407	13	1269	4	232	false	false	
4231			39	1205	17	2507	10	4222	135	2410	7	565	3	1470			50	1352	8	503	1	455	17	179	1	101	3	324	false	false	
5069			1	100	1	6	25	11361	1	35	0	0	2	294			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
5135			96	3242	62	8394	77	33241	974	19279	86	9350	28	8453			127	4429	74	9500	34	8998	283	7327	108	12206	59	11949	false	false	
5210			97	4146	245	31290	464	187725	1268	36459	292	37794	154	55636			34	1480	71	10331	61	17666	84	2681	14	1276	4	999	false	false	
5461			10	353	15	1994	82	35200	325	10009	112	12710	66	27435			0	0	2	84	3	811	2	75	3	245	5	1557	false	false	
5751			55	2419	50	6863	32	11794	633	14575	55	6176	34	12655			20	734	32	3927	25	7398	50	1309	34	3508	25	5062	false	false	
6039			123	4509	75	12677	82	42399	547	10816	44	6341	26	10704			91	3410	39	6598	21	7520	82	1761	5	859	1	384	false	false	
6329			171	12244	143	19679	167	69222	2493	51363	148	20073	61	19107			24	978	14	1603	8	1980	15	362	0	0	1	495	false	false	
7009			0	0	0	0	0	0	0	0	0	0	13	4650															false	false	
7045			38	1503	22	2451	17	6379	57	1450	9	1059	7	2756			12	361	10	1204	5	1725	54	1116	10	816	7	1675	false	false	
7072			63	782	54	6690	71	23811	381	2244	43	3898	21	6718			0	0	1	199	1	344	0	0	1	142	0	0	false	false	
7456			5	140	8	924	13	5080	100	1436	17	1461	13	2940			12	482	15	1891	18	2357	102	2641	34	2069	17	3645	false	false	
7634			49	2179	33	4909	15	5309	118	2687	18	2244	9	2901			4	143	5	574	1	247	93	2918	27	3533	3	716	false	false	
8033			9	284	31	4091	61	22340	341	7198	30	3575	26	7550			2	88	7	959	2	279	15	288	4	269	6	914	false	false	
8462			9	483	12	1261	6	2374	193	4436	18	2011	15	4588			2	70	12	1459	9	2395	22	604	14	506	4	689	false	false	
8631			12	489	11	1614	14	6586	43	1055	8	828	6	1398			0	0	0	0	1	180	4	12	0	0	0	0	false	false	
9357			5	253	10	1497	42	18762	325	7425	145	15152	162	46493			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
9553			10	437	5	304	6	2323	194	3727	14	1142	8	3195			30	1506	30	3985	33	7519	72	1558	27	2535	31	6116	false	false	
9807			10	580	32	4310	86	33330	463	15369	90	13714	57	23630															false	false	
9955			14	332	15	2027	34	20538	69	1694	21	2979	14	4978			28	1158	16	2146	14	2896	63	1254	5	262	4	799	false	false	
10250			18	809	53	5967	86	32353	902	25709	176	20144	87	31535			3	188	5	687	2	531	0	0	0	0	0	0	false	false	
10849			19	854	21	2599	39	20238	145	3462	18	2160	9	2979			18	895	10	1402	5	910	30	682	6	538	5	1175	false	false	
11145			79	2975	85	11391	84	27219	206	4803	26	3311	17	3674			1	95	4	549	0	0	2	41	0	0	0	0	false	false	
11640			36	1279	24	2694	27	8073	318	8505	42	4813	23	5062			10	384	10	975	9	2474	58	1888	22	2037	25	3913	false	false	
11837			9	495	9	981	14	5509	24	440	3	286	1	408			6	199	4	560	1	444	2	36	0	0	0	0	false	false	
12030			260	8172	123	15985	95	37891	1117	18203	51	6232	25	8451			85	2555	37	4248	22	6414	74	1487	8	1020	0	0	false	false	
12142			48	2023	32	4015	25	8766	355	6273	26	2480	32	9482			4	179	3	381	2	704	11	245	7	769	5	583	false	false	
12311			2193	81824	3840	421881	5610	1938868	67675	1903945	23082	2395840	15879	4166709			508	29955	511	60475	147	35851	1558	39401	391	36982	141	27115			
12647			38	1690	29	3888	40	13299	173	3550	25	2374	17	4737			24	936	17	2275	13	3090	35	791	10	912	7	820	false	false	
12656	10	55													17	35													true	true	
12946			167	6396	157	18632	167	58680	2215	45616	406	43628	206	69454			143	4778	69	8025	30	8603	244	4792	20	2030	10	2827	false	false	
13103			55	2356	195	22827	384	129514	704	22188	294	36709	217	70082															false	false	
13251			18	999	23	2802	9	3144	92	1428	16	1782	2	578			5	144	3	369	1	100	38	716	9	1101	3	427	false	false	
13457			3	59	1	91	0	0	30	565	4	555	0	0			5	240	4	340	5	1179	68	1423	8	855	4	340	false	false	
14155			34	1400	39	5197	10	365	377	7141	39	5101	17	5360			83	3616	94	13145	34	9447	709	15146	64	8155	24	6692	false	false	
14650			12	437	6	556	0	0	179	5316	24	3034	6	3184	2	70													true	false	
14753			4	165	2	219	1	397	83	2026	8	1099	3	378			12	455	8	1106	5	1414	258	5788	22	2338	12	3128	false	false	
14865			63	2946	79	10081	80	28117	1297	27134	153	16343	119	34080			54	2720	110	15789	78	24270	416	11184	179	17143	125	23369	false	false	
14977			4	60	2	221	0	0	136	3535	8	847	1	340			10	464	17	1726	10	2286	74	1870	21	2041	7	1048	false	false	
16551			58	2504	50	6791	38	18813	404	8543	34	5644	16	7667			34	1477	10	1445	2	576	135	2020	2	296	2	619	false	false	
17110			0	0	0	0	0	0	2	73	1	59	4	738															false	false	
17147			528	21447	749	89283	1160	457435	6386	135305	1429	148697	1419	401253			209	7045	279	31474	174	46483	272	6520	148	11619	79	11273	false	false	
17259			18	703	3	387	7	2762	83	925	13	1478	5	1288	59	56													true	false	
17950			111	4833	128	16370	112	42458	873	16407	58	5808	52	18441			56	2458	84	10773	72	20279	391	8093	89	8915	41	10276	false	false	
17978			16	505	27	2657	15	4586	0	0	0	0	0	0			2	57	4	465	1	296	1	7	0	0	0	0	false	false	
18050			23	788	58	7041	73	32964	384	7818	42	4275	21	6471			62	2948	102	12697	27	7360	105	1367	11	1031	2	319	false	false	
18827			127	4520	167	19346	225	82052	1289	28714	194	23042	198	50865			0	0	1	19	2	814	0	0	0	0	0	0	false	false	
18836			33	1356	29	2858	21	6619	248	3022	12	1172	4	2875			5	165	10	963	15	3240	9	107	2	247	0	0	false	false	
18854			7	239	18	2585	42	21303	425	8362	91	13972	95	50037			20	886	23	3219	16	3811	91	2657	20	2725	19	3811	false	false	
19356			25	1039	19	2904	12	5456	110	2781	18	2381	8	2110			4	121	6	1158	0	0	12	244	2	363	1	275	false	false	
19936			71	3210	57	6484	39	14809	65	1253	7	664	9	4424			42	2315	21	3129	21	5323	117	8418	19	3489	10	3433	false	false	
19972			0	0	0	0	0	0	0	0	2	177	0	0			0	0	1	54	0	0	0	0	0	0	0	0	false	false	
20053			41	1615	30	3844	34	14354	280	4928	16	1522	24	6531			25	1155	26	3128	22	5829	68	1381	17	1126	2	190	false	false	
20633			26	1644	22	2554	42	16620	66	1646	21	2721	13	3747			2	106	2	331	3	908	1	75	1	131	0	0	false	false	
20857			41	1801	31	3230	29	8481	206	3569	34	3493	31	8170			42	1445	52	5188	53	12164	136	2520	34	2262	39	7083	false	false	
21256			2	74	0	0	1	337	14	377	1	31	1	302	1	9													true	false	
21359			8	296	5	459	3	1248	162	3719	14	1478	4	1315			31	1210	17	2336	8	2095	259	4858	24	2890	13	2905	false	false	
21658			54	2070	49	4632	47	6756	300	2990	36	1267	18	1047			54	1595	52	5402	40	7904	101	1420	45	2154	14	1362	false	false	
22048			47	1776	43	5608	39	12023	676	13425	73	7259	49	16686			1	28	3	30	0	0	7	141	3	340	1	260	false	false	
22543			89	3967	138	15236	137	49970	364	7889	74	7551	49	11770			4	205	4	397	0	0	4	179	0	0	3	371	false	false	
22552			43	1326	27	3556	7	2284	294	5476	20	2029	16	3326			23	978	58	7607	19	4566	180	3829	52	4786	28	5043	false	false	
22730			22	706	5	643	20	9323	97	2995	19	1766	7	1956	1	0													true	false	
23456			124	5104	94	11047	42	15432	676	11271	26	2303	10	5097			53	2305	55	7462	20	5741	177	3925	35	3324	10	2714	false	false	
23504			10	498	70	9379	555	264055	3389	100304	821	102351	744	276227			0	0	0	0	1	426	0	0	0	0	0	0	false	false	
23643			29	869	27	2755	26	10981	381	9389	85	9212	24	8302			22	860	10	1132	9	2840	30	802	2	187	1	112	false	false	
23755			18	850	35	5307	57	22439	349	7055	43	5645	28	7113			0	0	1	111	2	900	3	31	0	0	0	0	false	false	
24006			8	331	59	7214	231	95062	390	10098	128	11863	121	34160															false	false	
24378			5	218	3	219	2	1454	83	1995	15	1822	2	486															false	false	
24453			8	279	11	1489	42	17958	160	4306	48	6172	23	8010			0	0	1	176	0	0	0	0	0	0	0	0	false	false	
24659			50	1393	17	2146	21	7528	231	5696	24	3311	14	4939			28	1126	17	2105	11	3290	73	1857	14	1507	11	2279	false	false	
24668			13	577	50	5954	112	49196	322	9078	197	20495	270	92418			19	494	6	531	4	935	4	58	2	12	0	0	false	false	
24949			26	1329	41	5301	67	26676	189	3516	22	1997	20	4489			5	279	2	120	1	296	1	13	0	0	0	0	false	false	
25357			118	3971	61	8021	58	22113	348	6298	31	3145	11	4069			127	5254	103	13591	47	13788	564	11860	170	17670	61	14697	false	false	
25647			14	884	52	8495	90	41676	763	23979	204	31090	55	25628			0	0	1	83	0	0	0	0	0	0	0	0	false	false	
26457			10	294	3	398	1	174	24	748	4	318	0	0			42	1016	30	2970	14	3536	37	704	4	170	2	146	false	false	
26765			26	1137	135	16212	295	130949	631	23163	276	34150	269	91740			3	150	3	345	10	2824	6	120	3	319	2	400	false	false	
27070			23	1015	44	5507	64	24157	167	4375	30	3410	43	11543			2	103	14	1812	2	686	5	113	0	0	1	246	false	false	
27548			71	3136	126	14828	158	60125	641	16465	273	25807	247	72997			2	46	9	1069	2	687	0	0	0	0	0	0	false	false	
27614			23	639	34	3557	26	7988	235	5430	23	2389	15	2964			2	15	4	544	1	292	0	0	0	0	0	0	false	false	
27847			150	5640	103	13156	85	30394	1530	27195	62	6857	30	9191			419	14278	153	20046	95	28724	455	8579	13	1616	2	656	false	false	
28013			21	1704	104	12735	279	104118	565	11805	154	18013	77	22936															false	false	
28152			32	1004	21	2656	19	7103	317	5478	35	4629	14	4786			25	1245	68	7710	23	6426	265	5181	36	3636	16	3756	false	false	
28675			49	2022	20	2411	19	5113	58	1010	7	444	8	1434			41	1614	28	3354	9	2973	36	711	8	568	2	350	false	false	
28732			14	840	17	2268	17	9029	533	7804	18	1495	12	3660			8	402	6	876	3	310	8	104	3	331	0	0	false	false	
