"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							7511	3594	55307	0	0	227	17	714	88671	71051	154	71205	0	962	0	0	17466	1200	88671	0	0	11489	0	0	3500	0	21568	49483			0	22263	21301	1277	0	0	0	0	17466	0	0	
242																																							3065	3354	17435	0	0	565	0	429	53102	43513	22	47885	0	176	4350	0	5217	120	53102	0	0	4886	0	0	120	0	12029	31484			0	25484	25308	91	2946	0	0	0	5217	0	0	
279																																							17182	4889	13714	0	603	6782	209	9168	349989	286800	2210	318654	0	1583	29644	0	31335	1	349989	0	0	31238	0	0	0	0	39243	247557			0	220072	218489	96	40727	0	0	0	31335	0	38226	
354																																							712	532	480	0	0	89	0	118	18200	16438	36	16474	0	177	0	0	1726	100	18200	0	0	690	0	0	936	1245	8275	8162			0	7544	7367	0	7657	0	0	0	1726	0	0	
457																																							10988	949	0	0	0	229	31	1528	62963	48809	139	57948	0	676	9000	0	5015	60	62963	0	0	1015	0	0	3940	0	10674	38135			0	49266	48590	0	618	0	0	0	5015	6	24	
505																																							63214	5284	72392	0	1970	9604	0	17476	696781	615295	9461	638393	58	7772	13637	0	58330	6480	696781	0	0	35578	0	0	18403	0	154283	461012			0	533063	525291	-2131	1550	0	0	0	58388	0	0	
1155																																							39170	8567	27110	0	0	4541	133	7692	288086	258089	1889	259978	0	4170	0	0	28108	1600	288086	0	0	21223	0	0	4900	309	38058	220031			0	204734	200564	385	0	0	0	0	28108	0	0	
1351																																							20168	4254	6386	0	0	4655	89	2054	194721	165553	582	166135	0	1229	0	0	28586	240	194721	0	0	27807	0	0	530	0	30499	135054			0	107430	106201	9	0	0	0	0	28586	0	50914	
1454																																							62673	14145	504855	0	0	4355	0	15347	976962	865995	3447	869442	0	4725	0	0	107520	1000	976962	0	0	103744	0	0	1214	3131	269777	596218			0	377098	372373	1562	0	0	0	0	107520	83	0	
1669																																							20968	7026	97777	0	0	3859	138	16395	384625	332625	279	332904	0	3727	0	0	51721	800	384625	0	0	49647	0	0	800	0	81756	250869			0	210146	206419	474	0	0	0	0	51721	0	32043	
1856																																							8749	655	16764	0	98	423	1100	828	59571	45528	82	48110	0	301	2500	0	11461	500	59571	0	0	-45	0	0	13732	0	4514	41014			-3000	30824	30523	274	431	0	0	0	11461	0	0	
2161																																							7500	4824	61088	0	0	8659	0	11433	279908	243405	3576	246981	0	2314	0	0	32927	1000	279908	0	0	14925	0	0	16949	0	108013	135392			0	187921	185607	53	797	0	0	0	32927	0	0	
2732																																							151595	16654	50541	0	1112	2937	0	4686	686240	579227	2294	581521	0	5043	0	0	104719	0	686240	0	0	98656	0	0	5789	0	183373	395854			0	463758	458715	274	0	0	0	0	104719	0	0	
2750																																							750	653	14694	0	0	232	0	2663	67127	58182	871	59420	0	506	250	0	7707	111	67127	0	0	364	0	0	7100	0	6720	51462			0	42399	41893	132	0	0	117	0	7707	6242	0	
3252																																							2750	14223	162774	0	0	487	0	3831	299539	262667	250	268017	0	3997	5100	0	31522	200	299539	0	0	30436	0	0	300	0	43073	219594			0	117471	113474	586	2000	0	0	0	31522	0	0	
3458																																							2655	1196	13801	0	0	2756	0	2132	70868	58022	569	65373	0	543	4282	0	5495	100	70868	0	0	4330	0	0	1101	0	8634	49388			0	45487	44944	-36	791	0	0	2500	5495	0	2593	
3720																																							91030	7257	87001	0	0	3709	458	11557	357414	313322	2277	315599	0	1708	0	0	41815	2400	357414	0	0	23590	0	0	18600	68	87332	225990			-3805	156427	154719	1030	0	0	0	0	41815	0	1615	
