"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
887854	13539	0	4789	22636	0	27912	0	0	0	0	29640	0	770		4514	10151	866	23123	28870	0	0	0	0	0	1669	2029	1282	156	3698	502	312	0	0	622	814	0	0	814	0	true							
888002	1708980	0	2667	230872	0	258957	0	0	0	0	4911555	0	34554		540124	2007207	294910	256069	4859584	221	17417	151898	0	0	247106	426061	200053	43274	673167	65791	122987	74743	15352	376371	278873	0	0	188778	0	true	86472	16140	1606483	385127	129513	1285	
888141	49007	0	25409	31748	0	147198	0	0	0	0	82477	0	3620		14558	12742	3271	121595	78857	194	0	121	0	0	5596	10063	2603	1368	15659	783	315	0	0	5071	1098	0	0	1098	0	true							
888271	130061	0	8346	106041	0	106041	0	0	0	0	240237	0	6360		48765	29713	29714	97695	233877	0	0	14044	0	0	11297	23211	25090	11443	34508	565	2805	4280	1773	22276	9423	0	0	3370	0	true							
888552	73285	0	8637	36864	0	70588	0	0	2955	0	517657	0	34777		23005	390535	5668	61951	482135	0	745	2679	0	0	8620	24208	6640	1920	32828	1014	6833	3598	1005	18382	12450	2955	0	7847	0	false							
888833	46660	41	57527	127542	0	348975	0	0	0	0	167376	0	19867		34812	53631	18340	291054	147509	353	0	7452	0	0	18637	23852	7381	3778	34812	9061	3206	1170	0	18836	13437	0	0	9926	0	true							
890050	250610	0	4499	49227	0	53727	0	0	0	0	503563	0	49026		20026	163530	8411	49093	454537	135	0	3356	0	0	11593	25751	10390	3765	37344	14890	11374	8856	2804	31473	37924	0	0	26264	0	true							
890078	29951	0	223	19511	0	19511	0	0	0	0	48862	0	1479		11239	0	2632	19288	44894	0	2489	354	0	0	3094	6093	3970	4457	9187	614	682	0	0	6375	1296	0	0	1296	2489	true							
890649	23208	0	11267	23747	0	65439	0	0	0	0	70956	0	1413		14994	27233	3171	54172	69543	0	0	0	0	0	7329	8354	3156	605	15683	546	524	0	0	4451	1070	0	0	1070	0	true							
890742	520942	0	13367	55287	0	85985	0	0	0	0	1154449	0	260111		160987	261575	38516	72618	894338	0	0	13127	0	0	43275	100943	73482	18670	144218	94455	25556	12868	2683	75383	135562	0	0	120011	0	true							
890957	12596	0	3723	18931	0	36222	0	0	0	0	45991	0	3595		13145	9967	1859	32499	42396	0	0	106	0	0	3844	12075	4505	0	15919	0	2691	313	0	7279	3004	0	0	2691	0	false							
891226	89564	4	7178	172236	0	244226	0	0	14287	0	370183	0	18691		83296	94559	20568	236795	351002	249	490	8711	14287	10292	28600	78780	41034	3220	107380	8046	16122	10258	0	68338	34426	43697	0	24168	0	true							
891253	11488	535	261	39744	0	52806	0	0	0	0	54638	0	3		3386	32178	1441	52010	54635	0	0	523	0	0	3026	3850	0	0	6559	3274	821	0	0	3490	4095	0	0	4095	0	false							
892205	791099	969	16098	148867	0	148867	0	0	25253	0	2040665	0	86707		252143	795750	101079	131008	1928201	792	25757	40389	25253	25253	79945	238260	56355	5365	318205	13217	51073	9601	0	127782	73891	3655	0	64290	0	true	57820	7505	534955	179083	785240	106	
892223	18322	0	10840	33030	0	71881	0	0	0	0	59401	0	2657		8621	21912	2880	61041	56744	0	0	402	0	0	1534	7053	4237	689	8527	871	3850	932	0	4892	5653	0	0	4721	0	true							
893248	183243	0	2202	16509	0	28594	0	0	0	0	294953	0	32393		37214	49678	10580	26391	262560	1	0	2230	0	0	6695	25737	18510	1747	32432	3501	4201	1641	0	15474	9343	0	0	7702	0	true							
893640	15747	0	6016	61407	0	61407	0	0	4234	0	122330	0	19972		19546	60597	5986	55391	101319	0	1039	1534	0	0	9739	12893	13901	117	22632	5262	3192	884	0	17104	9338	0	0	8454	0	true							
893855	82805	0	69	199916	0	199916	0	0	386371	0	458266	0	5675		316333	43955	2614	199847	452591	0	0	1713	327009	159126	29753	132404	158519	142	162157	3999	5265	1423	0	4486	10687	3573	1000	9263	0	true							
894272	41990	0	23558	37396	0	70394	0	0	0	0	155328	0	17450		37541	12867	16947	46836	137878	0	0	8159	0	0	12102	27208	23450	3671	39310	11062	10155	11291	1532	28890	34040	0	0	21217	0	true							
894348	37809	0	18531	214782	0	228208	0	0	39990	0	495543	0	44333		77745	321652	16591	209429	445383	248	5827	5458	39990	2006	11434	30413	34197	33708	41847	1633	10221	12779	1697	32006	26330	84313	0	11854	3724	true							
894544	334680	0	4406	24346	0	86372	0	0	5000	0	411217	0	46421		58026	0	15580	81966	364716	0	80	2950	5000	0	9773	31458	19428	12055	41231	632	1545	1646	0	14688	3823	0	0	2177	0	true							
894834	4679	0	1340	19834	0	26210	0	0	0	0	14362	0	589		4862	0	1024	24870	13773	0	0	439	0	0	2444	5068	1318	0	7512	590	263	0	0	3968	853	0	0	853	0	true							
895055	29755	0	31649	174746	0	202613	0	0	172649	0	443639	1577	58515		175986	86241	6273	168480	362464	2484	21083	2920	170312	36033	19057	83342	117428	44825	102398	10159	17970	30610	4252	88666	62991	111169	449	28129	41308	true							
895448	18701	0	2610	12011	0	23272	0	0	19268	0	96170	0	11923		11635	7942	4388	20662	57455	0	26792	1807	18025	7362	9980	24698	18915	6196	34678	1550	4856	3332	0	48154	9738	0	0	6406	15265	true							
895710	226508	0	129626	840966	0	972291	0	0	44094	0	983392	0	115923		142660	437029	79883	839930	834754	2735	32715	20923	32465	31969	93658	66116	59079	16304	137951	16820	44469	17448	5961	92497	84698	96686	9424	60592	5529	true							
896155	51347	0	12344	60120	0	90733	0	0	0	0	131146	0	10281		21954	39536	10520	78389	120865	0	0	4615	0	0	4967	13665	8956	4501	18632	0	4078	3136	961	10135	8175	0	0	4078	0	true							
896427	67367	440	52084	89010	0	126147	0	0	4456	0	154319	42	35801		20005	13471	9014	73623	118476	0	0	5037	4456	4456	11521	7473	9106	4082	15833	31596	8003	1141	559	12177	41299	8355	0	39256	0	true							
897170	145239	0	864	315953	0	359447	0	0	97751	0	891610	0	67300		169497	303106	35277	344950	601759	13633	222551	12829	97751	41009	55454	131735	58628	92683	187189	17191	50694	27457	9422	169004	104764	184704	0	67885	66518	true							
897237	7960	0	648	8383	0	13585	0	0	2002	0	23558	0	21		3002	6797	1764	12937	23537	0	0	555	0	0	278	3044	609	1664	3322	252	2954	0	0	2593	3206	0	2002	3206	0	true							
897330	10905	0	2748	22963	0	30793	0	0	0	0	37546	0	5598		9888	874	4054	25835	31948	2210	0	2048	0	0	1032	4652	7060	5128	5684	2920	1701	2029	1246	7983	7896	0	0	4621	0	false							
897451	21816	0	2484	30118	0	34694	0	0	0	0	41236	0	4137		10033	2811	2414	32210	37099	0	0	675	0	0	2172	10770	2273	439	12942	0	639	318	0	5620	957	0	0	639	0	true							
897648	12589	0	16657	38358	0	62788	0	0	500	0	58292	0	3136		9588	10207	3844	46131	55156	0	0	3824	500	500	7219	13635	1184	0	20854	2880	10578	0	0	12450	13458	0	0	13458	0	false							
897853	9319	0	5888	20790	0	42437	0	0	0	0	54599	0	4382		13364	20873	5560	36549	50217	0	0	983	0	0	2855	9510	6015	1850	12365	1183	2994	0	0	6867	4177	0	0	4177	0	true							
898458	75718	0	38759	530573	0	631080	0	0	0	0	583669	0	89865		15848	420966	7985	592295	491831	26	1973	2131	0	0	6811	16282	10228	6307	19925	5816	32662	5760	3119	23780	47357	100417	0	38478	0	false							
898579	64826	0	0	53103	0	181413	0	0	0	0	283473	0	0		63308	40429	29587	181413	283473	0	0	12620	0	0	23231	43400	41740	14893	66336	9603	16064	26592	2694	59956	54954	0	0	25667	4721	true							
898627	69538	0	13309	220863	0	369192	0	0	0	0	286137	0	14906		52866	130089	14772	355883	271231	0	0	4982	0	0	23527	41572	9990	2534	64273	886	6861	1139	0	24757	8886	0	0	7747	0	true							
898850	1924	0	10372	175817	0	188444	0	0	3217	0	282384	0	18976		32290	110098	6324	177575	233306	497	30102	4133	3217	3000	52598	53905	27224	918	106503	12084	16107	6835	692	102353	35718	95033	0	28191	28320	true							
899008	32448	0	1233	220816	0	220816	0	0	0	0	308168	0	73		65027	100950	26539	219583	307521	0	574	10493	0	0	29134	58382	31153	2027	87516	9658	27523	16564	329	55669	54074	0	0	37181	0	true							
