"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
	TOTAL ASSETS	ALLOCATED TRANSFER RISK RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	RISK-WEIGHTED ASSETS	AVG TOT ASSET NET DEDUCTIONS	ACCUMULATED OTH COMPREHENSIVE INCOME	OTHR DEDUCT FR ASSETS FOR LEVRGE CAP	TOTAL LEVERAGE EXPOSURE	ADVANCED APPROACHES ONLY: SUPPLEMENT	CAPTIAL CONSERVATION BUFFER	ELIGIBLE RETAINED INCOME	DIST AND DISCRE BONUS PAYMENTS QTR	Amount of allowances for credit loss	Amount of allowances for credit loss	Amount of allowances for credit loss	Retained Earning	Average total consolidated asset	Trading assets and trading liabiliti	Trading assets and trading liabiliti	Off-balance sheet exposures: Unused	Off-balance sheet exposures: Securit	Off-balance sheet exposures: Other o	Total off-balance sheet exposures (s	Total off-balance sheet exposures (s	Less: Investments in the capital of	Less: MSAs, net of associated DTLs,	LESS: DTAs arising from temporary di	Investments in the [Tier 2] capital	COMMON EQUITY TIER 1 CAPITAL	CAP RATIO COM EQTY TIER1 CAP RATIO	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NT UNRLZD GNS (LSSES) AFS SECURITIES	ACC NT GN LS CSHFLW HDGS	AOCI ATTRBTD DEFND BENFT POSTETRMNT	NT UNRLZD GNS (LSSES) HTM SEC AOCI	NET GNS (LSSES) HTM SEC AOCI	OTH THRSHLD DEDS COMEQTY TIER1 CAP	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	DEDS COMEQTY TIER1 CAP ADD TIER1 CAP	CUMULATIVE CHANGE IN FAIR VALUE	UNCONDITIONALLY  OR OTHER AMOUNT	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	RISK-WEIGHTED ASSETS	TOTAL APPLICABLE CAPITAL BUFFER	CAP RATIO COM EQTY TIER1 CAP RATIO	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	COMSTK 10PCT EQTY TIER1 CAP THRSHLD	MSA DTL 10PCT EQTY TIER1 CAP THRS	DTAS CAP CMSTK 15PCT TIER1 CAP THRSH	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL ASSETS	ALLOCATED TRANSFER RISK RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	RISK-WEIGHTED ASSETS	AVG TOT ASSET NET DEDUCTIONS	ACCUMULATED OTH COMPREHENSIVE INCOME	OTHR DEDUCT FR ASSETS FOR LEVRGE CAP	TOTAL LEVERAGE EXPOSURE	ADVANCED APPROACHES ONLY: SUPPLEMENT	CAPTIAL CONSERVATION BUFFER	ELIGIBLE RETAINED INCOME	DIST AND DISCRE BONUS PAYMENTS QTR	To be completed only by institutions	Amount of allowances for credit loss	Amount of allowances for credit loss	Amount of allowances for credit loss	Retained Earning	Average total consolidated asset	Trading assets and trading liabiliti	Trading assets and trading liabiliti	Off-balance sheet exposures: Unused	Off-balance sheet exposures: Securit	Off-balance sheet exposures: Other o	Total off-balance sheet exposures (s	Total off-balance sheet exposures (s	Less: Investments in the capital of	Less: MSAs, net of associated DTLs,	LESS: DTAs arising from temporary di	Investments in the [Tier 2] capital	Do you qualify for and opt-in to CBL	COMMON EQUITY TIER 1 CAPITAL	CAP RATIO COM EQTY TIER1 CAP RATIO	AOCI OPT-OUT ELECTION	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NT UNRLZD GNS (LSSES) AFS SECURITIES	ACC NT GN LS CSHFLW HDGS	AOCI ATTRBTD DEFND BENFT POSTETRMNT	NT UNRLZD GNS (LSSES) HTM SEC AOCI	NET GNS (LSSES) HTM SEC AOCI	OTH THRSHLD DEDS COMEQTY TIER1 CAP	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	DEDS COMEQTY TIER1 CAP ADD TIER1 CAP	CUMULATIVE CHANGE IN FAIR VALUE	UNCONDITIONALLY  OR OTHER AMOUNT	TOTAL APPLICABLE CAPITAL BUFFER	
37																																																																																				75528	0				18.3882%			16189		88040	1277	0										11489	88040	0	0.0000%	0	0	4	4	0.0045%	0	0	0	0	1	4700		1	0	17466	0	0	0	1277	0	0	0		0	16189	0	0	16189	0	0	0	0	0	0						0	0	313		
242																																																																																				40945	0				9.5593%			5126		53623	91	0										4886	53623	0	0.0000%	3383	0	36	3419	6.4386%	0	0	0	0	1	240		1	0	5217	0	0	0	91	0	0	0		0	5126	0	0	5126	0	0	0	0	0	0						0	0	0		
279																																																																																				267688	0				9.3446%			30644		327933	96	0										31238	328528	0	0.0000%	10977	0	0	10977	3.1364%	0	0	0	0	1	1		1	0	31335	0	595	0	96	0	0	0		0	30644	0	0	30644	0	0	0	0	0	0						595	0	12000		
354																																																																																				14369	0				8.8813%			1726		19434	0	0										690	19434	0	0.0000%	0	0	0	0	0.0000%	0	0	0	0	1	1036		1	0	1726	0	0	0	0	0	0	0		0	1726	0	0	1726	0	0	0	0	0	0						0	0	196		
457																																																																																						5574	559	559	7.8470%	12.4910%	11.2383%	5015	44624	63910	0	0			4.4910%							1015	63910								0	0	0		0	4000	11.2383%	1	0	5015	0	0	0	0	0	0	0		0	5015	0	0	5015	0	0	0	0	0	0	0	0	0	559	0	0	0			
505																																																																																						65406	6130	6130	8.3949%	13.3836%	12.1293%	59276	488701	706097	-2131	0			5.3836%							35578	707283								0	0	0		0	24883	12.1293%	1	0	58330	1186	0	0	1454	-773	-2813	0		0	59276	0	0	59276	0	0	0	0	0	0	0	0	0	6130	0	1186	0			
1155																																																																																				258760	0				9.3649%			27723		296031	385	0										21223	296031	0	0.0000%	23264	0	111	23375	8.1139%	0	0	0	0	1	6500		1	0	28108	0	0	0	385	0	0	0		0	27723	0	0	27723	0	0	0	0	0	0						0	0	28975		
1351																																																																																				172266	0				14.7565%			28586		193718	9	0										27807	193718	0	0.0000%	4819	0	712	5531	2.8405%	0	0	0	0	1	770		1	0	28586	0	0	0	0	0	0	0		0	28586	0	0	28586	0	0	0	0	0	0						0	0	0		
1454																																																																																				778228	0				10.3854%			105958		1020260	1562	0										103744	1020260	0	0.0000%	0	0	28306	28306	2.8973%	0	0	0	0	1	2214		1	0	107520	0	0	0	1562	0	0	0		0	105958	0	0	105958	0	0	0	0	0	0						0	0	49604		
1669																																																																																				287939	0				13.8871%			51247		369027	474	0										49647	369027	0	0.0000%	16799	0	268	17067	4.4373%	0	0	0	0	1	1600		1	0	51721	0	0	0	474	0	0	0		0	51247	0	0	51247	0	0	0	0	0	0						0	0	0		
1856																																																																																				59571	0				17.1383%			11089		64703	274	0										-45	64801	0	0.0000%	6716	0	0	6716	11.2739%	0	0	0	0	1	11232		1	0	11461	98	0	0	274	0	0	0		0	11089	0	0	11089	0	0	0	0	0	0						98	0	0		
2161																																																																																						35188	2314	2314	11.5937%	17.2402%	16.1065%	32874	204104	283550	53	0			9.2402%							14925	283550								0	0	0		0	17949	16.1065%	1	0	32927	0	0	0	53	0	0	0		0	32874	0	0	32874	0	0	0	0	0	0	0	0	0	2314	0	0	0			
2732																																																																																				617722	0				14.9163%			103333		692752	274	0										98656	693864	0	0.0000%	76780	0	606	77386	11.2768%	0	0	0	0	1	5789		1	0	104719	0	1112	0	274	0	0	0		0	103333	0	0	103333	0	0	0	0	0	0						1112	0	5396		
2750																																																																																						8091	516	516	11.1114%	16.8275%	15.7543%	7575	48082	68173	132	0			8.8275%							364	68173								0	0	0		0	7211	15.7543%	1	0	7707	0	0	0	132	0	0	0		0	7575	0	0	7575	0	0	0	0	0	0	0	0	0	516	0	0	0			
3252																																																																																						32586	1650	1650	10.9232%	25.1301%	23.8577%	30936	129669	283213	586	0			17.1301%							30436	283213								0	0	0		0	500	23.8577%	1	0	31522	0	0	0	586	0	0	0		0	30936	0	0	30936	0	0	0	0	0	0	0	0	0	1650	0	0	0			
3458																																																																																						6074	543	543	7.7752%	12.0272%	10.9520%	5531	50502	71136	-36	0			4.0272%							4330	71136								0	0	0		0	1201	10.9520%	1	0	5495	0	0	0	-36	0	0	0		0	5531	0	0	5531	0	0	0	0	0	0	0	0	0	543	0	0	0			
3720																																																																																				278854	0				11.5866%			40785		352001	1030	0										23590	352001	0	0.0000%	19545	0	338	19883	5.5630%	0	0	0	0	1	17195		1	0	41815	0	0	0	1030	0	0	0		0	40785	0	0	40785	0	0	0	0	0	0						0	0	0		
3971																																																																																						112874	7477	7477	12.2336%	14.2286%	13.2861%	105397	793290	861540	-607	0			6.2286%							9384	866451								0	0	0		0	100925	13.2861%	1	0	109702	363	4511	38	-607	0	0	0		0	105397	0	0	105397	0	0	0	0	0	0	0	0	0	7477	0	4911	0			
4156																																																																																				236634	0				8.4047%			23496		279558	608	0										17422	281341	0	0.0000%	27875	0	313	28188	10.0414%	0	0	0	0	1	7857		1	0	25887	1783	0	0	608	0	0	0		0	23496	0	0	23496	0	0	0	0	0	0						1783	0	0		
4231																																																																																				123204	0				13.4880%			19200		142349	797	0										6603	142352	0	0.0000%	3008	0	0	3008	2.1121%	0	0	0	0	1	12600		1	0	20000	0	0	3	797	0	0	0		0	19200	0	0	19200	0	0	0	0	0	0						3	0	1671		
5069																																																																																						204150	4735	4735	45.2678%	54.4659%	53.2026%	199415	374822	440523	1465	0			46.4659%							190786	440523								0	0	0		0	8629	53.2026%	1	0	200880	0	0	0	1465	0	0	0		0	199415	0	0	199415	0	0	0	0	0	0	0	0	0	4735	0	0	0			
5135																																																																																				509232	0				15.3222%			83883		547462	-27	0										59883	548504	0	0.0000%	63263	0	988	64251	11.8638%	0	0	0	0	1	25042		1	0	84898	1042	0	0	-27	0	0	0		0	83883	0	0	83883	0	0	0	0	0	0						1042	0	2073		
5210																																																																																						258015	19677	19677	9.0283%	16.3969%	15.1464%	238338	1573563	2639913	-9053	-9795			8.3969%							155798	2660716								0	0	0		0	113138	15.1464%	1	0	259883	27842	2756	0	742	0	-9795	0		0	238338	0	0	238338	0	0	0	0	0	0	0	0	0	19677	0	30598	0			
5461																																																																																				625024	0				9.2862%			74883		806387	4019	0										68660	806464	0	0.0000%	44431	0	707	45138	5.6343%	0	0	0	0	1	6300		1	0	78979	0	77	0	4019	0	0	0		0	74883	0	0	74883	0	0	0	0	0	0						77	0	7604		
5751																																																																																				218701	0				15.2568%			38255		250741	1271	0										30017	251855	0	0.0000%	24922	0	381	25303	9.9933%	0	0	0	0	1	9352		1	0	40640	1089	25	0	1271	0	0	0		0	38255	0	0	38255	0	0	0	0	0	0						1114	0	104		
6039																																																																																				288245	0				9.3645%			34774		371338	86	0										3737	371338	0	0.0000%	29287	0	539	29826	7.8453%	0	0	0	0	1	31037		1	0	34860	0	0	0	86	0	0	0		0	34774	0	0	34774	0	0	0	0	0	0						0	0	0		
6329																																																																																						119674	11737	11737	8.7129%	12.8254%	11.5675%	107937	933105	1238823	-294	0			4.8254%							68724	1239610								0	0	0		0	40000	11.5675%	1	0	108430	0	0	787	-294	0	0	0		0	107937	0	0	107937	0	0	0	0	0	0	0	0	0	11737	0	787	0			
7009																																																																																						100881	0	0	10.5150%	20.6282%	20.6282%	100881	489045	959402	661	0			12.6282%							99829	959402								0	0	0		0	1052	20.6282%	1	0	101542	0	0	0	661	0	0	0		0	100881	0	0	100881	0	0	0	0	0	0	0	0	0	0	0	0	0			
7045																																																																																				203791	0				8.7394%			23572		269720	2261	0										21147	269720	0	0.0000%	9479	0	110	9589	3.6484%	0	0	0	0	1	2425		1	0	25833	0	0	0	2261	0	0	0		0	23572	0	0	23572	0	0	0	0	0	0						0	0	0		
7072																																																																																						39721	3068	3068	9.6895%	15.5936%	14.3891%	36653	254727	378274	127	0			7.5936%							36983	382664								0	0	0		0	4060	14.3891%	1	0	41170	3707	683	0	204	0	-77	0		0	36653	0	0	36653	0	0	0	0	0	0	0	0	0	3068	0	4390	0			
7456																																																																																						11651	887	887	8.8612%	14.7672%	13.6429%	10764	78898	121473	328	0			6.7672%							3764	121473								0	0	0		0	7000	13.6429%	1	0	11092	0	0	0	328	0	0	0		0	10764	0	0	10764	0	0	0	0	0	0	0	0	0	887	0	0	0			
7634																																																																																				72288	0				12.8798%			10690		82998	214	0										2430	82998	0	0.0000%	1100	0	0	1100	1.3277%	0	0	0	0	1	8260		1	0	10904	0	0	0	214	0	0	0		0	10690	0	0	10690	0	0	0	0	0	0						0	0	721		
8033																																																																																				324436	0				13.7955%			50751		367882	20	0										42751	367882	0	0.0000%	52905	0	789	53694	14.4503%	0	0	0	0	1	8000		1	0	50771	0	0	0	20	0	0	0		0	50751	0	0	50751	0	0	0	0	0	0						0	0	0		
8462																																																																																				162971	0				16.0667%			27083		168566	1217	0										26383	168566	0	0.0000%	0	0	275	275	0.1687%	0	0	0	0	1	700		1	0	28300	0	0	0	1217	0	0	0		0	27083	0	0	27083	0	0	0	0	0	0						0	0	8065		
8631																																																																																				64141	0				10.3285%			7292		70601	-25	0										5992	70601	0	0.0000%	2737	0	205	2942	4.1725%	0	0	0	0	1	1300		1	0	7267	0	0	0	-25	0	0	0		0	7292	0	0	7292	0	0	0	0	0	0						0	0	0		
9357																																																																																				534016	0				12.1670%			77603		637816	517	29871										53811	700555	0	0.0000%	10176	0	2104	12280	1.8204%	0	0	0	0	1	56660		1	0	110988	28667	4201	0	517	0	0	0		0	77603	0	0	77603	0	0	0	0	0	0						32868	0	450115		
9553																																																																																						19456	1212	1212	8.5083%	14.1993%	13.3147%	18244	137021	214425	316	0			6.1993%		0					16143	214425								0	0	0		0	2100	13.3147%	1	0	18559	0	0	0	326	0	0	-11		0	18244	0	0	18244	0	0	0	0	0	0	0	0	0	1212	0	0	0			
