"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37			962	0	5	0	961	4	0																						
242			175	0	18	0	157	0	0																						
279			1583	30	13	0	1561	21	0																						
354			177	0	8	0	169	0	0																						
457			676	0	6	0	681	11	0																						
505			7772	426	2	0	7374	30	0																						
1155			4170	52	102	0	4044	28	0																						
1351			1229	150	74	0	1250	245	0																						
1454			4725	0	30	0	4724	29	0																						
1669			3727	251	29	0	3565	118	0																						
1856			301	4	3	0	294	0	0																						
2161			2314	185	13	0	2122	6	0			0	0																		
2732			5043	0	15	0	5042	14	0																						
2750			506	65	0	0	441	0	0																						
3252			3997	200	214	0	4482	899	0																						
3458			543	65	1	0	478	1	0																						
3720			1708	0	8	0	1700	0	0																						
3971			7477	653	35	0	7022	233	0																						
4156			2742	0	138	0	2605	1	0																						
4231			768	53	8	0	721	14	0																						
5069			7988	0	0	0	7988	0	0																						
5135			4715	250	86	0	4692	313	0																						
5210			20207	50	26	0	20226	95	0																						
5461			6713	0	23	0	6692	2	0																						
5751			2410	0	1	0	2422	13	0																						
6039			3927	325	7	0	3746	151	0			0	0																		
6329			17642	4200	685	0	15831	3074	0				0																		
7009			0	0	0	0	0	0	0																						
7045			1154	75	67	0	1097	85	0			0	0																		
7072			3069	75	109	0	2904	19	0																						
