"IDRSSD"	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
981275	598003	2293162	1288462	1048513	0	119260	5347400	2739	34461	15268	12211	0	6688	0	71367	0	0	0	0	0	
981350																					
981453																					
982142																					
982348																					
982553																					
982937																					
983055																					
983158																					
983457	4560	321225	70476	131991	1678	12922	542852	91	7606	639	3461	52	575	1649	14073						
983550																					
984258																					
984351																					
984379	285978	1041769	265861	160907	1828	7619	1763962	10633	14232	2692	4958	149	138	2156	34958	0	0	0	0	0	
984454																					
984650																					
984856																					
985451																					
985479																					
986159																					
986551																					
986757																					
986935																					
987053																					
987231																					
987259																					
987352																					
987576																					
987651																					
987848																					
988144																					
988153																					
988256																					
988452																					
989141																					
989347																					
989534																					
989730																					
989758																					
989851																					
990053																					
990352																					
990642																					
991078																					
991135																					
991340	156703	817195	529055	3851084	0	129008	5483045	3100	19155	5901	106506	0	1699	0	136361	0	0	0	0	0	
991359																					
991555																					
991621																					
991854																					
992851																					
993250																					
994435																					
994770																					
995076																					
995272																					
995517																					
995571																					
995674																					
995955																					
996260																					
997052																					
997155																					
997557																					
997650																					
997847																					
998358																					
998648																					
998657																					
998844																					
999355																					
999935																					
1000052																					
1000100	661833	3268749	546096	514448	0	9921	5001047	22293	31821	1589	8161	0	436	0	64300	0	0	0	0	0	
