"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
37						CONF	CONF			
242						CONF	CONF			
279						CONF	CONF			
354	3444	1245				CONF	CONF			
457						CONF	CONF			
505	1764	0				CONF	CONF			
1155						CONF	CONF			
1351						CONF	CONF			
1454	8338	3131				CONF	CONF			
1669						CONF	CONF			
1856						CONF	CONF			
2161	0	0	0	0	0	CONF	CONF	0	0	
2732						CONF	CONF			
2750						CONF	CONF			
3252						CONF	CONF			
3458						CONF	CONF			
3720						CONF	CONF			
3971						CONF	CONF			
4156						CONF	CONF			
4231						CONF	CONF			
5069						CONF	CONF			
5135						CONF	CONF			
5210	75974	0				CONF	CONF			
5461						CONF	CONF			
5751						CONF	CONF			
6039	0	0	0	0	0	CONF	CONF	0	0	
6329	55841	6188	0	54306	0	CONF	CONF	0	1493	
7009						CONF	CONF			
7045	0	0	0	0	0	CONF	CONF	0	0	
7072						CONF	CONF			
7456						CONF	CONF			
7634						CONF	CONF			
8033						CONF	CONF			
8462						CONF	CONF			
8631						CONF	CONF			
9357						CONF	CONF			
9553						CONF	CONF			
9807						CONF	CONF			
9955						CONF	CONF			
10250						CONF	CONF			
10849						CONF	CONF			
11145						CONF	CONF			
11640						CONF	CONF			
11837						CONF	CONF			
12030						CONF	CONF			
12142						CONF	CONF			
12311	2758430	1391162	1596792	668723	8315	CONF	CONF	8919	67913	
12647						CONF	CONF			
12656						CONF	CONF			
12946	9094	8270				CONF	CONF			
13103	6086	728	14601	0	0	CONF	CONF	0	140	
13251						CONF	CONF			
13457						CONF	CONF			
14155						CONF	CONF			
14650						CONF	CONF			
14753						CONF	CONF			
14865						CONF	CONF			
14977	0	0	0	0	0	CONF	CONF	0	0	
16551						CONF	CONF			
17110	0	0	0	0	0	CONF	CONF	0	0	
17147	130638	18483	107867	0	0	CONF	CONF	0	7683	
17259						CONF	CONF			
17950						CONF	CONF			
17978						CONF	CONF			
18050						CONF	CONF			
18827						CONF	CONF			
18836						CONF	CONF			
18854						CONF	CONF			
19356						CONF	CONF			
19936						CONF	CONF			
19972						CONF	CONF			
20053						CONF	CONF			
20633						CONF	CONF			
20857						CONF	CONF			
21256						CONF	CONF			
21359						CONF	CONF			
21658						CONF	CONF			
22048						CONF	CONF			
22543	30056	1980				CONF	CONF			
22552						CONF	CONF			
22730						CONF	CONF			
23456						CONF	CONF			
23504	13059	1441	13330	0	0	CONF	CONF	0	432	
23643						CONF	CONF			
23755	23310	0				CONF	CONF			
24006						CONF	CONF			
24378						CONF	CONF			
24453	62282	1062				CONF	CONF			
24659						CONF	CONF			
24668						CONF	CONF			
24949	11776	1420				CONF	CONF			
25357						CONF	CONF			
25647						CONF	CONF			
26457						CONF	CONF			
26765						CONF	CONF			
27070						CONF	CONF			
27548	49196	6469				CONF	CONF			
27614						CONF	CONF			
27847						CONF	CONF			
28013						CONF	CONF			
28152						CONF	CONF			
28675						CONF	CONF			
28732						CONF	CONF			
29476						CONF	CONF			
29636						CONF	CONF			
29878						CONF	CONF			
30052						CONF	CONF			
30502						CONF	CONF			
30650						CONF	CONF			
30810						CONF	CONF			
31134						CONF	CONF			
31255	0	0	0	0	0	CONF	CONF	0	0	
31657						CONF	CONF			
31826						CONF	CONF			
31835						CONF	CONF			
32234						CONF	CONF			
32766						CONF	CONF			
32971	12886	538				CONF	CONF			
33147						CONF	CONF			
33259						CONF	CONF			
33268						CONF	CONF			
33370						CONF	CONF			
33839						CONF	CONF			
33857	39573	3864	36349	0	0	CONF	CONF	0	1127	
34434						CONF	CONF			
34537	131220	40445	113419	0	0	CONF	CONF	127	2909	
34555	0	0	0	0	0	CONF	CONF	0	0	
34742	20989	6940				CONF	CONF			
35057	0	0	0	0	0	CONF	CONF	0	0	
35301	0	0	0	0	0	CONF	CONF	0	0	
35570	2065	0	688	0	0	CONF	CONF	380	41	
35646						CONF	CONF			
35879						CONF	CONF			
36456						CONF	CONF			
36933						CONF	CONF			
37051						CONF	CONF			
37341						CONF	CONF			
37435	34498	2798				CONF	CONF			
37640	61893	17459	60859	0	496	CONF	CONF	0	2076	
37659	0	0	0	0	0	CONF	CONF	0	0	
37949						CONF	CONF			
38740						CONF	CONF			
39327						CONF	CONF			
39756						CONF	CONF			
40033						CONF	CONF			
40499	619273	103886	512885	0	0	CONF	CONF	1189	21530	
40855						CONF	CONF			
41553						CONF	CONF			
41629						CONF	CONF			
41825	18479	205				CONF	CONF			
41955						CONF	CONF			
42037						CONF	CONF			
42354						CONF	CONF			
42372						CONF	CONF			
42420	87111	17340	89466	0	0	CONF	CONF	0	3447	
42448	0	0	0	0	0	CONF	CONF	0	0	
42457						CONF	CONF			
43052						CONF	CONF			
43351						CONF	CONF			
43856						CONF	CONF			
43959						CONF	CONF			
44040						CONF	CONF			
44433						CONF	CONF			
44741	8519	395				CONF	CONF			
44750						CONF	CONF			
44929						CONF	CONF			
45038	0	0	0	0	0	CONF	CONF	0	0	
45047						CONF	CONF			
45056						CONF	CONF			
45430						CONF	CONF			
45458						CONF	CONF			
45551	8221	2939				CONF	CONF			
45560	37166	7371	32412	0	0	CONF	CONF	0	1130	
45775						CONF	CONF			
46053						CONF	CONF			
46941						CONF	CONF			
47247	127432	90944	120502	0	0	CONF	CONF	0	4341	
47256						CONF	CONF			
47452						CONF	CONF			
47500						CONF	CONF			
48057						CONF	CONF			
48150						CONF	CONF			
48374	40071	9670				CONF	CONF			
48440	13494	80				CONF	CONF			
49054						CONF	CONF			
49148						CONF	CONF			
49241						CONF	CONF			
49652						CONF	CONF			
49858						CONF	CONF			
49951						CONF	CONF			
50144						CONF	CONF			
50461						CONF	CONF			
51253	0	0	0	0	0	CONF	CONF	0	0	
51356						CONF	CONF			
51459						CONF	CONF			
51842	11555	195	11750	0	0	CONF	CONF	0	258	
52719	0	0	0	0	0	CONF	CONF	0	0	
52951						CONF	CONF			
53051						CONF	CONF			
54058						CONF	CONF			
54656	0	0	0	0	0	CONF	CONF	0	0	
54973	111811	50877	77084	0	0	CONF	CONF	72	1922	
55336						CONF	CONF			
55635						CONF	CONF			
55653						CONF	CONF			
55970	13774	1478				CONF	CONF			
56258						CONF	CONF			
56351	22357	3729	20250	0	0	CONF	CONF	0	610	
56548	16519	474				CONF	CONF			
56717						CONF	CONF			
57040	0	0	0	0	0	CONF	CONF	0	0	
57451						CONF	CONF			
58225						CONF	CONF			
58243	319524	53478	274870	0	0	CONF	CONF	500	8088	
58355						CONF	CONF			
58551						CONF	CONF			
58636						CONF	CONF			
58757						CONF	CONF			
58971	52651	7058	49772	0	108	CONF	CONF	0	1633	
59316						CONF	CONF			
59352						CONF	CONF			
59370						CONF	CONF			
59754						CONF	CONF			
60143	57000	8000	50000	0	0	CONF	CONF	0	1000	
60330	0	0	0	0	0	CONF	CONF	0	0	
60545						CONF	CONF			
60554						CONF	CONF			
60648						CONF	CONF			
61122	9632	1443	9645	0	0	CONF	CONF	0	364	
61355	86134	6240				CONF	CONF			
61476						CONF	CONF			
61757	9326	802	7263	0	0	CONF	CONF	0	278	
61832						CONF	CONF			
