"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	0					43	0	55307					0	0	0			0	46046	0	0										0		
242	0	1467					204	0	17435					4350	0	0			0	9996	0	0										0		
279	0	0					2031	38226	13714					29644	0	0			3561	892	0	0										0		
354	0	0					21	0	480					0	0	0			0	0	0	0										0		
457	0	0					478	24	0					9000	0	0			24	0	0	0										6		
505	0	0					5395	0	72392					13637	0	0			0	38232	0	0										0		
1155	0	1287					361	0	27110					0	0	0			0	21678	0	0										0		
1351	0	0					224	50914	6386					0	0	0			10316	0	0	0										0		
1454	0	34629					1394	0	504855					0	0	0			0	165315	0	0										83		
1669	0	48299					209	32043	97777					0	0	0			32043	0	0	0										0		
1856	0	0					433	0	16764					2500	0	0			0	0	0	0										0		
2161	0	0					622	0	61088					0	0	0			0	43321	0	0										0		
2732	0	0					1014	0	50541					0	0	0			0	24166	0	0										0		
2750	0	0					204	0	14694					250	0	0			0	9238	0	0										6242		
3252	0	60466					668	0	162774					5100	0	0			0	42168	0	0										0		
3458	0	96					400	2593	13801					4282	0	0			2593	7182	0	2500										0		
3720	0	2699					283	1615	87001					0	0	0			1615	26836	0	0										0		
3971	0	12636					5425	0	112277					110082	0	0			0	5866	0	0										1008		
4156	0	2065					577	0	61511					3750	0	0			0	41453	0	7857										112		
4231	0	0					0	0	54320					0	0	0			0	33694	0	0										0		
5069	0	0					0	0	8908					0	0	0			0	2158	0	0										1008		
5135	0	33498					881	0	80454					16329	0	0			0	1591	0	0										0		
5210	0	0					2888	8139	385834					34561	0	0			0	37468	0	29758										1050		
5461	0	996					3246	0	265691					0	0	0			0	115899	0	0										0		
5751	0	0					338	0	84079					7500	0	0			0	47645	0	0										154		
6039	0	18995					222	0	23896					0	0	0			0	2916	0	0										0		
6329	0	0					767	0	87373					5000	0	0			0	10609	0	0										0		
7009	0	192004					0	0	309083					0	0	0			0	92088	0	0										14103		
7045	0	0					759	0	154968					0	0	0			0	57934	0	0										0		
7072	0	0					3453	37082	26642					10586	0	0			5631	4002	0	0										0		
7456	0	0					471	0	33144					0	0	0			0	28045	0	0										0		
7634	0	0					78	0	13762					0	0	0			0	7858	0	0										0		
8033	0	0					1529	0	3773					10136	0	0			0	2273	0	0										0		
8462	0	0					21	0	88512					0	0	0			0	17722	0	0										0		
8631	0	0					331	0	11405					0	0	0			0	841	0	0										0		
9357	0	0					2473	0	38541					0	0	0			0	0	0	0										992		
9553	0	0					2769	28787	42486					60548	0	0			28787	14754	0	0										0		
9807	0	55196					5770	0	293423					0	0	0			0	223952	0	31971										1270		
9955	0	0					2691	0	68242					20647	0	0			0	53225	0	0										0		
10250	0	2045					2413	0	197381					0	0	0			0	89680	0	0										0		
10849	0	0					602	0	76606					4000	0	0			0	20649	0	0										0		
11145	0	0					1350	0	66598					23733	0	0			0	50500	0	0										0		
11640	0	0					2358	0	136508					0	0	0			0	87411	0	0										0		
11837	0	0					67	0	63697					0	0	0			0	6132	0	0										0		
12030	0	25192					11441	904	36686					0	0	0			602	0	0	0										0		
12142	0	0					708	90	130541					0	0	0			89	56717	0	0										0		
12311	0	5000	0	0	0	194716	625516	11415000	22913769	222878	174643159	0	155530881	3438043	908358	263505	219844	283502	2477	3661336	0	258485	6301690	13366067	4890989	3848049	0	1550799	0	4300	0	6590	1271894	
12647	0	0					2015	39666	0					5000	0	0			22648	0	0	0										0		
12656	104	0					14	2662	0					0	0	0			2010	0	0	0										75		
12946	0	0					8839	0	344869					46637	0	0			0	241540	0	0										3971		
13103	0	49757					2377	0	422581					9542	0	0			0	50440	0	554										208934		
13251	0	1441					373	0	6303					0	0	0			0	2823	0	0										0		
13457	0	768					0	0	7132					0	0	0			0	4427	0	0										0		
14155	0	3030					635	0	26018					3000	0	0			0	17374	0	0										0		
14650	0	0					61	4584	0					0	0	0			4577	0	0	0										0		
14753	0	0					182	3577	7177					0	0	0			3394	5472	0	0										58		
14865	0	0					994	1277	19684					0	0	0			1277	762	0	0										0		
14977	0	0					214	0	0					0	0	0			0	0	0	0										0		
16551	0	50417					1250	20326	82849					0	0	0			18576	27509	0	0										0		
17110	100	0					219	100	0					0	0	0			0	0	0	0										71737		
17147	0	0					28740	1721659	2422788					334243	0	0			863426	1451845	0	146904										0		
17259	0	498					265	985	16635					0	0	0			985	10163	0	0										0		
17950	0	17801					1938	0	373564					0	0	0			0	80399	0	0										0		
17978	30483	0					3355	125892	0					247	0	0			8214	0	0	0										0		
18050	0	0					953	12309	325222					0	0	0			11161	139911	0	0										0		
18827	0	10598					7491	0	139165					50000	0	0			0	45249	0	0										1254		
18836	0	2016					595	0	31637					3221	0	0			0	8721	0	0										0		
18854	0	0					1187	0	0					0	0	0			0	0	0	0										0		
19356	0	0					499	0	13233					0	0	0			0	13233	0	0										0		
19936	0	4083					537	2067	108309					6512	0	0			287	12214	0	0										0		
19972	0	0					33	27311	0					0	0	0			27242	0	0	0										0		
20053	0	0					195	0	8573					5000	0	0			0	4395	0	0										0		
20633	0	1008					908	0	51803					8847	0	0			0	21408	0	0										783		
20857	0	84601					1224	0	193322					16932	0	0			0	94372	0	0										0		
21256	0	0					57	0	3401					0	0	0			0	0	0	0										0		
21359	0	3225					316	240	15862					4	0	0			0	1963	0	0										0		
21658	0	12628					36	0	76616					5438	0	0			0	25999	0	0										1094		
22048	0	0					1125	0	45785					9491	0	0			0	16770	0	0										0		
22543	0	16891					900	0	30666					10000	0	0			0	3954	0	0										49		
22552	0	2500					566	452	5474					7768	0	0			452	0	0	0										46		
22730	0	0					423	0	126030					318	0	0			0	61607	0	7733										0		
23456	0	500					733	192	115120					268	0	0			192	37594	0	0										0		
23504	0	167998					22449	0	1258788					25000	0	0			0	41452	0	1841										0		
23643	0	0					1724	0	91666					0	0	0			0	44247	0	0										0		
23755	0	0					442	0	84855					5000	0	0			0	43312	0	0										265		
24006	0	0					4538	347473	57387					76614	4232	4232			67514	7115	0	0										0		
24378	0	0					468	1699	7046					0	0	0			1699	552	0	0										0		
24453	0	0					1417	0	13070					0	0	0			0	0	0	0										0		
24659	4255	0					58	8285	0					0	0	0			4030	0	0	0										0		
24668	0	0					5872	0	342860					0	0	0			0	297212	0	3033										0		
24949	0	0					1581	0	42392					11400	0	0			0	0	0	0										0		
25357	0	0					3747	5231	24931					0	0	0			0	5039	0	0										0		
25647	0	0					1440	0	26354					82880	0	0			0	0	0	0										0		
26457	0	17567					0	0	17567					0	0	0			0	0	0	0										0		
26765	0	0					9488	1058	144236					0	0	0			957	3930	0	0										0		
27070	0	0					1916	0	206872					13000	0	0			0	98800	0	0										0		
27548	0	9017					2343	0	445550					5000	0	0			0	94786	0	0										2521		
27614	0	0					1826	0	269080					12500	0	0			0	124501	0	0										0		
27847	0	0					2197	92	159936					10000	0	0			0	105242	0	0										0		
28013	0	0					24575	6417	1097423					481886	13475	790			0	78	0	50000										219		
28152	0	7560					636	0	49529					0	0	0			0	25445	0	1000										0		
28675	0	0					1484	0	100479					25500	0	0			0	2541	0	0										15		
28732	0	479					262	370	9394					0	0	0			370	5440	0	0										0		
29476	0	0					618	2928	2306					1346	0	0			2928	2043	0	0										0		
29636	0	0					1597	0	542169					0	0	0			0	125005	0	67286										500		
29878	0	0					2837	0	43307					12000	0	0			0	0	0	0										0		
30052	0	0					119	3018	0					103	0	0			3018	0	0	0										0		
30502	0	0					922	0	287016					0	0	0			0	20261	0	96553										27522		
30650	0	0					405	0	19825					0	0	0			0	6819	0	0										0		
30810																																		
31134	0	2262					105	0	30268					0	0	0			0	19640	0	0										0		
31255	0	5545					2865	0	165626					0	0	0			0	133604	0	0										0		
31657	0	0					373	98704	0					0	0	0			11833	0	0	0										0		
31826	0	0					627	0	44063					0	0	0			0	26739	0	0										0		
31835	0	0					1914	2210	30340					1600	0	0			2210	10574	0	0										0		
32234	0	1943					1927	0	153609					9218	0	0			0	110697	0	0										0		
32766	0	0					71	0	0					0	0	0			0	0	0	0										0		
32971	0	949					1355	1	38833					15000	0	0			0	35292	0	0										45		
33147	0	0					784	0	15230					0	0	0			0	2532	0	0										0		
33259	0	61297					1117	0	87176					0	0	0			0	4231	0	0										0		
33268	0	1039					0	0	88774					0	0	0			0	46746	0	0										0		
33370	0	0					463	238	0					2656	0	0			0	0	0	0										0		
33839	0	0					61	0	6371					0	0	0			0	2498	0	0										0		
